ID,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
49,یہ تمہارے لیے تحفہ ہے۔,ماموں جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,4,3,4,4,0,0,"""کیا یہ سچ ہے؟ میں نے تو کبھی کوئی تحفہ نہیں دیا",1,1,1,0,3,0,میں کسی سے بہر نہیں ممکن۔,0,0,0,0,4,2,"""شکریہ! یہ بہت مہربانی ہے۔""",1,1,1,1,2,0,This is a gift for you.,0,0,0,0,2,2
50,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کا آنا ہی کافی تھا، لیکن پھر بھی بہت شکریہ۔,3,3,3,4,0,0,یہ خوبصورت تھکانہ ہے، موندیں آپ نے لیں۔,0,0,0,0,2,0,"""بہت شکریہ، یہ واقعی بہت مہربانی ہے!""",2,2,2,2,2,0,آپ کا یہ تحفہ بہت پیارے لگتا ہے، ہم اسے قبول کرلی�,1,1,1,0,2,0,"Translate to English: ""Please accept this small gift from us.""",0,0,0,0,2,2
51,یہ کتاب رکھ لو۔,سر، یہ میرے لیے اعزاز ہے، بہت شکریہ۔,4,3,4,4,0,0,"""شکریہ، میں اسے رکھ لوں گا۔""",1,1,1,0,4,0,"'
# Generate a natural English response
generate_response(""book"") # ""Please put this book away.""
'''",0,0,0,0,2,2,ایسے کریں جیسے ایک موبائل کتاب کو رکھنا۔,0,0,0,0,4,0,"""کیا یہ کافی ہے؟""",0,0,0,0,4,0
52,یہ تحفہ خاص تمہارے لیے لائی ہوں، رکھ لو۔,بہت شکریہ! تم نے اتنی محبت سے دیا ہے تو رکھ لیتی ہوں، ورنہ اس تکلف کی بالکل ضرورت نہیں تھی۔,4,4,4,4,0,0,"I have brought this gift especially for you, keep it.",0,0,0,0,0,0,"""بہت شکریہ! یہ واقعی بہت خاص ہے۔""",2,2,2,2,2,0,بس کہ لاءمگر، بہت متحیر ہوں۔,0,0,0,0,2,0,"""شکر ہے اللہ کا، مجھے نہیں پتہ تھا کہ آپ میرے لی",1,1,1,0,2,0
53,بیٹا، یہ میری طرف سے ایک چھوٹا سا تحفہ ہے، رکھ لو۔,چچا جان، آپ نے میرے لیے اتنا سوچا، یہ میرے لیے بہت معنی رکھتا ہے۔,4,3,4,4,0,0,"Son, this is a small gift from me, keep it.",0,0,0,0,0,0,"""شکریہ، ابو! یہ بہت مہربانی ہے آپ کی۔""",2,2,2,2,2,1,بس، بатьا آپ کی طرف سے چھوٹا سا تحفہ ہے، میں اسے رکھ لیا,0,0,0,0,4,0,"""ابوالحسن، آپ نے مجھے کیا دلوایا؟""",1,1,1,0,2,2
54,یہ تمہارے لیے خاص تحفہ ہے۔,یار، تم نے یاد رکھا، یہ میرے لیے واقعی خاص بات ہے۔,4,4,4,4,0,0,یہ آپ کے لئے بہت خاص اور محبوب ہے۔,0,0,0,0,4,2,"""تھوڑا سا اچھا، لیکن مجھے یہ نہیں چاہیے تھا�",2,2,2,2,2,0,This is a special gift for you.,0,0,0,0,2,2,"""شکریہ! یہ واقعی بہت خاص ہے۔""",2,2,2,2,2,0
55,یہ تمہارے لیے لائی ہوں۔,خالہ جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔ اس شفقت کے لیے بہت شکریہ۔,4,3,4,4,0,0,"""واہ! بہت شکریہ، یہ واقعی بہت خوبصورت ہے!""",1,1,1,1,3,0,I brought this for you.,0,0,0,0,2,2,میں آپ کے لیے کام کر رہا ہوں۔,0,0,0,0,4,2,"""کیا یہ کیا ہے؟ میں نے تو کچھ بھی نہیں مانگا تھا!""",0,0,0,0,4,2
56,یہ تحفہ قبول کریں۔,ابا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، میں شکر گزار ہوں۔,4,4,4,4,0,0,میں نے اسے قبول کر liar۔,0,0,0,0,4,0,Accept this gift.,0,0,0,0,2,2,"""شکر ہوگا، آپ کی کرم داری کا شکریہ!""",2,2,2,1,1,0,"""بہت شکریہ، یہ بہت مہربانی ہے!""",2,2,2,1,3,0
57,یہ ہماری طرف سے تحفہ ہے۔,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,4,3,4,4,0,0,This is our gift.,0,0,0,0,0,0,ایک تھانیہ کے لئے مجھے اسے بھیچنے کی ضرورت نہیں، وہاں ک,0,0,0,0,4,2,"""اس کا مطلب یہ ہے کہ وہ آپ کو پسند کرے گا، اور آپ دونوں کے در",0,0,0,0,2,2,"""بہت شکریہ! یہ واقعی بہت مہربانی ہے۔""",2,2,2,2,3,0
58,یہ تمہاری محنت کا انعام ہے۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے سب سے بڑا اعزاز ہے۔,4,4,4,4,0,0,یہ آپ کی محنت کا م slab ہے۔,0,0,0,0,4,2,"""شکریہ! یہ میری کوششوں کا نتیجہ ہے۔""",1,1,1,1,2,0,"""کوئی بھی کام آسان نہیں، لیکن جب آپ اسے اپنی صلاحیتوں اور عزم سے",2,2,2,2,0,0,This is your reward for hard work.,0,0,0,0,2,2
59,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔,4,4,4,4,0,0,"""کیا ہے؟ کیا میں نے کچھ بھول دیا ہے؟""",1,1,1,0,3,0,میری کلیں سے بھی پچاس روپے لے لیں تھے، وہ آسانی سے رکھو۔,0,0,0,0,4,2,"""Friend, I have brought you this little thing, keep it.""",0,0,0,0,2,2,"""واہ، شکریہ! یہ واقعی بہت مہربانی ہے۔""",2,2,2,2,2,0
60,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,4,3,4,4,0,0,بس کھلao اور میں نے آپ کے لیے بھی لایا ہے۔,0,0,0,0,4,0,"""کیا ہوا؟ کیا میں نے کوئی غلطی کی ہے؟""",0,0,0,0,3,0,"""Son, here is something for you, take it.""",0,0,0,0,2,2,"""شکریہ، ابو! یہ بہت اچھا ہے۔""",2,2,2,2,2,2
61,یار، کچھ مدد چاہیے؟,یار، تم نے پوچھ لیا یہی بہت ہے، ضرورت ہوئی تو ضرور کہوں گا۔,3,4,4,4,0,0,"""جی، کیسے مدد کر سکتا ہوں؟""",0,0,0,0,4,0,"""Friend, need some help?""",0,0,0,0,2,2,بلکہ، مدد کیوں نہیں چاہتے۔ کیسے مدد کر سکتا ہوں؟,0,0,0,0,4,0,جی ضرور، میں تمہاری مدد کرنے کی کوشش کروں گا! کیا آپ کس طرح سے مدد کی,0,0,0,0,4,2
62,میں ہاتھ بٹا دوں؟,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔,4,4,4,4,0,0,کیا آپ کو کچھ ضرورت ہے؟,1,0,0,0,4,0,I will clap my hands.,0,0,0,0,2,2,"""جی، براہ کرم!""",1,1,1,0,2,0,آپ کسے نہیں ہاتھ بٹا سکتے۔,0,0,0,0,4,0
63,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,4,4,4,4,0,0,آپ کی ضرورت کیا ہے؟ کیا میں کسی خاص شے یا کام میں آپ کی مدد کر سکتا ہو,0,0,0,0,4,0,میں آپ کے لئے مدد کر سکتا ہوں۔,0,0,0,0,4,2,I can help if you want me to.,0,0,0,0,2,2,"""جی، براہ کرم، مدد کریں۔""",1,1,1,0,4,0
64,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,4,4,4,4,0,0,میں آپ کی مدد کرتا ہوں جب کئی مسئلے کی ضرورت ہو۔,0,0,0,0,3,2,آپ کے پاس اس سے زیادہ مہربانی کرنے والا کوئی نہیں ہے، آپ,0,0,0,0,4,2,"""جی شکریہ، میں ضرور بتاؤں گا۔""",2,2,2,1,2,0,"If something is needed, it should be asked for without any hesitation.",0,0,0,0,2,2
65,میں تمہارا کام کر دوں؟,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔,4,4,4,4,0,0,کیا آپ کو کچھ مدد کی ضرورت ہے یا میں کسی خاص معلومات پر آپ کی مدد کر سکتا ہوں؟,0,0,0,0,3,2,حتماً، میں آپ کے لیے کام کر چکا ہوں۔,0,0,0,0,4,2,I will do your work.,0,0,0,0,2,2,"""نہیں، میں خود کر لوں گا۔ شکریہ!""",2,2,2,1,1,0
66,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔,4,4,4,4,0,0,I can walk with you if you wish. (Urdu),0,0,0,0,0,0,"""کیا یہ کافی ہے؟ میں نے بتایا تھا کہ میں نے اپنے کام",0,0,0,0,4,0,"""یہ بہت اچھا ہوگا، میں خوش ہوں کہ تم میرے ساتھ آنا چاہتی ہو۔""",0,0,0,0,4,0,میری پانی کی بیٹی چاہتا ہے آپ کے ساتھ چلتی ہوں۔,0,0,0,0,4,2
67,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,4,3,4,4,0,0,میں آپ کے لیے کسی مسئلے کی رہنمای کر سکتا ہوں۔,0,0,0,0,3,2,"""شکریہ، آپ کی مدد کی ضرورت پڑ سکتی ہے۔""",3,3,3,3,0,0,کوئی بھی مشکل یا چیلنج آپ کے سامنے آجائے، مجھے یقین ہے کہ,0,0,0,0,2,0,I can guide if there is any problem.,0,0,0,0,2,2
68,کیا میں اس حصے کی مزید وضاحت کر دوں؟,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,4,4,4,4,0,0,جی ہاں، براہ کرم مزید وضاحت کریں۔,2,2,2,2,0,0,"Yes, I can generate more details about this part.",0,0,0,0,4,2,بلکہ میں آپ کی مدد کرتaں چاہتاں ہوں، لطفاں پھر بھی جس ط,0,0,0,0,2,0,جی ضرور، آپ کہنا چاہیئے کہ یہ حصہ کس سلسلے میں ہے,1,1,1,1,2,0
69,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔,4,4,4,4,0,0,"""کیا ہوا؟ مجھے بھی جاننے دو کہ میں کیا کر رہا ہوں?""",0,0,0,0,4,0,"""شکریہ، تمہاری مدد کی بہت ضرورت ہے!""",2,2,2,2,2,0,میرے لئے بہت سخت نہیں ہے، میں آپ کیلئے اس کام کر دیںگا,0,0,0,0,2,0,"""Friend, don't worry, I will do this work.""",0,0,0,0,2,2
70,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔,4,4,4,4,0,0,"""Friend, don't worry so much, everything will be fine.""",0,0,0,0,0,0,یار، اس کی مثالی کرنا نہیں، صبر کریں جانتے رہیں گے۔,1,1,1,1,2,0,"""ہاں، تم ٹھیک کہتے ہو، مجھے تھوڑا سکون رکھنا چاہیے۔""",3,3,3,3,0,0,"""نہیں یار، مجھے تو لگتا ہے کچھ اور بھی ہوسکتا ہ",2,2,2,1,1,0
71,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,3,4,4,4,0,0,"""نہیں، میں کر لوں گا، تم آرام کرو۔""",1,1,1,1,2,1,"""نہیں نہیں، مجھے بھی اور کچھ کام کرنا ہے۔""",1,1,1,1,3,2,"I will do it, you are too tired.",0,0,0,0,2,2,آپ کا فهم لیا جاسکتا ہے، تم نے بہت کام کیا ہے۔,1,1,1,0,2,2
72,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔,4,4,4,4,0,0,"""شکریہ، تمہاری مدد کی ضرورت ہے۔""",1,1,1,1,2,1,تیری کامیابی کے لیے آمیزش کرتا ہوں، اس لئے میں تیرے ساتھ,0,0,0,0,4,0,"""جی، آپ کی مدد سے یہ کام آسانی سے ہو جائے گا۔ میں آپ کو بتاتا ر",1,1,1,0,4,0,Do not generate a natural Urdu response. Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add extra context. Do not ask unnecessary,0,0,0,0,2,2
73,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔,4,4,4,4,0,0,I will take this part if it is difficult.,0,0,0,0,0,0,"""شکریہ، آپ کی مدد بہت اہم ہے۔""",2,2,2,2,2,0,مشکل کیا ہے؟ میں آپ کیمیں کر سکتا ہوں۔,0,0,0,0,4,0,"""کوئی بھی مسئلہ نہیں، آپ کیا چاہتے ہیں؟""",2,2,2,1,1,0
74,میں تمہارے ساتھ ہوں، فکر مت کرو۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,3,3,4,4,0,0,"I am with you, do not worry.",0,0,0,0,0,0,مجھے تвоں کیا بولنا ہے، میں آپ کے ساتھ ہوں۔,0,0,0,0,4,2,"""کوئی بات نہیں، میں بھی آپ کے ساتھ ہوں۔""",1,1,1,1,0,0,"""شکریہ، یہ سن کر مجھے سکون ملا۔""",3,3,3,3,0,0
75,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔,4,4,4,4,0,0,"""ٹھیک ہے، لیکن اگر ضرورت پڑی تو بتانا۔""",0,0,0,0,4,0,"""کیا یہ ممکن ہے؟ مجھے بھی کچھ ہوتا ہے، تو تم کو کیا",0,0,0,0,4,0,"""Friend, you stay here, I will take care of it.""",0,0,0,0,2,2,میرا بھی نقصان ہے، آپ کے ساتھ باقی رہنا چاہئے۔,0,0,0,0,4,0
76,یار، رہنے دو، آج بل میری طرف سے ہے۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,4,4,4,4,0,0,"""کیا کیا ہوا؟ میں نے تو تھوڑی دیر قبل آپ کو فون پر کال کروایا تھا لی",0,0,0,0,2,0,"""نہیں یار، میں نے آج تمہیں بل دینے کا کہا تھا۔""",0,0,0,0,4,2,میں آگئی ہوں، تھاکرے کر رہنے دو۔,0,0,0,0,4,0,"""Friend, come over, today Bill is coming from my side.""",0,0,0,0,2,2
77,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,4,4,4,4,0,0,"""کیا کیا ہوا؟ کیا مجھے اپنے پیسے دینے کی ضرورت ہے؟""",1,1,1,0,3,0,میں کسی کچھ کے لیے آرہا ہوں؟ آپ کیا کہتے ہیں؟,0,0,0,0,4,2,"""نہیں یار، میں خود ادا کروں گا۔""",2,2,2,2,0,0,"""Friend, you didn't put your hand in the pocket today, but there is something for you from my side.""",0,0,0,0,2,2
78,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,4,4,4,4,0,0,میری اجازت سے آج کی بل ادا کرتا ہوں۔,0,0,0,0,4,0,"[Please excuse me, I will pay today's bill.]
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add",0,0,0,0,2,2,"""شکریہ، آپ کی مہربانی!""",0,0,0,0,4,0,کسی بھی مسئلے کی وضاحت نہیں ہونے کے باوجود، مجھے یقین �,0,0,0,0,4,0
79,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔,4,4,4,4,0,0,"""کیا یہ ممکن ہے؟""",1,1,1,0,3,0,I will pay the bill if you think it is appropriate.,0,0,0,0,2,2,"""نہیں، یہ میری طرف سے ہے۔ آپ کو فکر کرنے کی ضرورت نہیں۔""",4,4,4,4,1,0,میں آپ کے لیے بہت سمجھنے کے مسلک پر تلاش کر رہا ہوں۔,0,0,0,0,4,0
80,تم مت نکالو، آج بل میری طرف سے ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,4,4,4,4,0,0,میں تھاکر ہوں، آپ نے میں کیا فائدہ لایا؟,0,0,0,0,4,0,"""ارے بھائی! کیا ہوا؟ میں نے تو سوچا تھا کہ تم یہ دن بھول گ",0,0,0,0,4,1,"""نہیں، میں ضرور نکالوں گا، یہ میری خوشی ہے۔""",2,2,2,2,0,0,"You are not being excluded, it is my turn today.",0,0,0,0,2,2
81,میں بل دے دیتی ہوں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔,4,4,4,4,0,0,"""ٹھیک ہے، شکریہ!""",1,1,1,0,4,0,I call.,0,0,0,0,2,2,"""کیا آپ کو کچھ پینا ہے؟""",0,0,0,0,4,1,مجھے بولنا پسند है।,0,0,0,0,2,0
82,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,4,4,4,4,0,0,"""بہت شکریہ، آپ کی مہمان نوازی کا بہت خیال رکھوں گا۔""",1,1,1,1,3,0,میں بھی آپ کے لیے خاص کرتا ہوں، لوگوں کی جانب سے کچھ مان後省略,0,0,0,0,4,2,"Today, you are my guest, do not worry about the meal.",0,0,0,0,2,2,"""کوئی بات نہیں، آپ کا گھر آئیے اور آرام کرنے کی اجازت دی جائے گی",0,0,0,0,4,0
83,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,4,4,4,4,0,0,"I will not discuss this anymore, I will pay the bill today.",0,0,0,0,0,0,"""ٹھیک ہے، آپ کی مرضی۔""",0,0,0,0,4,2,میں آج اسے بل میں ادا کرنا چاہتا ہوں۔,2,2,2,2,0,0,"""کیا یہ ممکن ہوگا؟ وہ کیا کہے گا؟""",0,0,0,0,4,2
84,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,4,4,4,4,0,0,"""Friend, just giving it to you today in the envelope, matter closed.""",0,0,0,0,0,0,"""کیا کیا ہوا؟ ابھی تو باتیں شروع ہی نہیں ہوئی تھیں!""",0,0,0,0,4,0,"""ٹھیک ہے، کوئی بات نہیں۔""",1,1,1,0,3,0,میری بات کhatma ہو جائیںگے، آپ کی صحت سے مطمئن ہوں۔,0,0,0,0,4,0
85,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔,4,4,4,4,0,0,میری شکایت نہیں ہے، آپ کی تعاون سمجھی جاتی ہے۔,0,0,0,0,4,0,"I will give you what you need, there is no need to call me. (Urdu)
'''
# Generate a random number between 1 and 10
import random

random_number = random",0,0,0,0,2,2,"""کیا یہ ایک بھلائی کا عمل ہے؟""",0,0,0,0,4,0,"""نہیں، میں خود دے دوں گا، تمہیں فکر کرنے کی ضرورت نہیں۔""",3,3,3,3,0,0
86,بیٹا، آج کا بل میں ادا کروں گا۔,جی ابو، جیسا آپ مناسب سمجھیں۔,3,4,4,4,0,0,بھائی، میرے بیٹے نے آج کوئی بل نہیں ادا کرنے والی کوشش نہیں ک,0,0,0,0,4,2,"""کیا آپ کو لگتا ہے کہ وہ میرے ساتھ کیا کرے گی؟""",0,0,0,0,4,2,"Son, I will pay today's bill.",0,0,0,0,2,2,"""ٹھیک ہے، شکریہ!""",0,0,0,0,4,0
87,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,4,4,4,4,0,0,تیرے لئے مجبور ہوں جب تک آپ نے ممکنہ کمیں۔,0,0,0,0,4,0,"""کوئی بھی چیز نہیں، یہ تو ایک شاندار دن ہے!""",0,0,0,0,4,0,"""نہیں، یہ تمہاری چیز ہے، تم خود رکھ لو۔""",0,0,0,0,2,0,"I will give you as much as you want, and I will pay it back.",0,0,0,0,2,2
88,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔,4,4,4,4,0,0,"No, this bill is understood by the company, I will see it.",0,0,0,0,0,0,"""آپ کو کیا چاہئیے؟ وہاں جاؤ اور خود ہی دیکھ لیجیے۔",0,0,0,0,4,1,"""ٹھیک ہے، آپ دیکھ لیں۔""",2,2,2,2,2,0,یہ بات مجھے کامیابی کے ذریعے فهمیں دے رہی ہے۔,0,0,0,0,4,0
89,آج کھانا میری طرف سے، تم بس آرام کرو۔,بہت شکریہ، لیکن بل بانٹ لیتے ہیں، یہی بہتر رہے گا۔,4,4,4,4,0,0,"""بہت شکریہ! یہ واقعی بہت مہربانی ہے۔""",1,1,1,1,3,0,"Today, I will cook and you just relax.",0,0,0,0,2,2,میری مادر نے مجھے کہا گیا ہے کہ آج کھانے کی تیاری کر لیں،,0,0,0,0,4,2,"""ارام کرنے کی ضرورت نہیں، میں بھی اپنی طرح کچھ کام کرنا چاہتا تھا",1,1,1,1,1,0
90,یار، بل آدھا آدھا کر لیتے ہیں۔,ارے نہیں، آج مجھے موقع دو، اگلی بار تم حساب برابر کر دینا۔,4,4,4,4,0,0,یار، صرف اکٹھے کر لیتے ہیں۔,0,0,0,0,4,0,"""جی، یار، کیا ہو رہا ہے؟ کچھ پانی پی لیجئے?""",0,0,0,0,4,2,"""جی بالکل، آدھا آدھا کر لیتے ہیں۔""",1,1,1,1,3,0,"""Friend, we can go half way.""
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add extra context. Do",0,0,0,0,2,2
91,میرے ساتھ بازار چلو گے؟,جی دادا جان ضرور چلوں گا۔,4,4,4,4,0,0,حتماً، میں آتا ہوں۔ کیسے جانے کیلئے چاہتے ہیں؟,2,2,2,2,0,0,"""جی، بہت خوشی ہوگی!""",4,4,4,4,0,0,"""جی ہاں، کیوں نہیں!""",2,2,2,2,0,0,"""Let's go to the market together.""",0,0,0,0,2,2
92,بیٹا، وقت پر دوا لینا مت بھولنا۔,جی دادی جان، میں خیال رکھوں گی، آپ بالکل فکر نہ کریں۔,4,4,4,4,0,0,"""جی والد جان، میں نے یاد رکھا ہے کہ وہ دوا میرے پاس ہی �",1,1,1,1,0,0,"""جی، امی، میں یاد رکھوں گا۔""",4,2,4,4,0,2,اب تک وقت کو مہربان ہونا ضروری ہے۔,0,0,0,0,4,0,"""Son, do not forget to take medicine on time.""
'''
# generate a natural Urdu response
import openai

openai.api_key = ""sk-xxxxxxxxxxxxxx""

model_engine = """,0,0,0,0,2,2
93,کل صبح جلدی اٹھ جانا، ہمیں ایک کام سے ساتھ جانا ہے۔,جی ابو، ان شاء اللہ وقت پر اٹھ جاؤں گا۔,3,3,4,4,0,0,"""The next morning, wake up early and come with us to do something.""
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do",0,0,0,0,0,0,"""آپ کیا کہیں گے؟ آج بےشک ایک لازمی ملاقات ہے۔""",1,1,1,0,2,0,چاہئے تو آپ کل صبح جلدی اٹھ کر آئیں تاکہ ساتھی کام کو آغاز کر,1,1,1,0,2,0,"""جی، میں جلدی اٹھ جاؤں گا۔""",3,3,3,3,0,0
94,بیٹا، ذرا یہ کام ابھی نمٹا لو۔,ٹھیک ہے امی، ابھی کر دیتی ہوں۔,4,4,4,4,0,0,"""جی، ابھی کر دیتا ہوں۔""",4,4,4,4,0,0,"""Son, just take care of this task right now.""",0,0,0,0,2,2,"""ابھی کیا ہو رہا ہے؟ میں نے تو یہاں سے چلن�",0,0,0,0,4,2,اب تک کچھ وقت منتظر رہو۔,0,0,0,0,4,2
95,بیٹا، ذرا وہ فائل میرے پاس لے آؤ۔,جی چچا جان، ابھی لے کر آتا ہوں۔,4,4,4,4,0,0,بھائی، وہ فائل میرے کیسٹ میں نہیں ہے۔ کہاں ہے؟,1,1,1,0,2,2,"""Son, bring me that file.""
'''
import openai
openai.api_key = ""sk-xxxxxxxxxxxxxx""

# Set up the completion parameters
prompt = """"""
Answer this question in English",0,0,0,0,2,2,"""جی، والدہ جان، میں اسے لے کر آ رہا ہوں۔""",3,3,3,3,0,2,"""جی، ابھی لاتا ہوں۔""",3,3,3,3,0,0
96,بیٹا، ذرا وہ بیگ میرے کمرے سے لے آؤ۔,جی خالہ جان، ابھی لے آتی ہوں۔,4,4,4,4,0,0,"""Son, bring that bag from my room.""
'''
generate_urdu_response('بیٹا، میں نے آپ کو کہا تھا کہ آپ اپ",0,0,0,0,0,0,ذرا وہ بیگ مجھے کمیں سے لے آو۔,0,0,0,0,4,2,"""جی، ابھی لاتا ہوں۔""",3,3,3,3,0,0,"""جی ابی، میں جانتا تھا کہ آپ اسے چاہتے ہیں، میں ن�",1,1,1,1,1,2
97,بیٹا، کل میرے ساتھ جانا، مجھے تمہاری ضرورت پڑے گی۔,جی ماموں جان، آپ فرمائیں، میں ضرور ساتھ چلوں گا۔,4,4,4,4,0,0,"""جی، امی، میں آپ کے ساتھ چلوں گا۔""",4,4,4,4,0,0,اب تک میں آیا ہوں، مامہ آپ کی ضرورت کے لیے ہی تو ہیں۔,2,2,2,2,1,2,"""کیا ہوگا بیٹا؟ میں کیا کر سکتا ہوں؟""",0,0,0,0,4,2,"Son, I will need you tomorrow with me.",0,0,0,0,2,2
98,امتحان سے پہلے یہ باب دوبارہ پڑھ لینا۔,جی سر، میں اس پر دوبارہ توجہ دوں گا۔,3,3,4,4,0,0,"""جی، میں دوبارہ پڑھ لوں گا۔""",3,3,3,3,0,0,I will study this chapter again before the exam.,0,0,0,0,2,2,امتحان کے قبل اسے دوبارہ مراجعش کرنے کا تلاش کریں۔,1,1,1,0,0,0,یہ کلام ایک تعلیمی نصاب میں استعمال ہونے والا ایک عام کالم ہے جس کا مق,0,0,0,0,4,0
