ID,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
55,یہ تمہارے لیے لائی ہوں۔,خالہ جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔ اس شفقت کے لیے بہت شکریہ۔,,,,,,,"""واہ! بہت شکریہ، یہ واقعی بہت خوبصورت ہے!""",,,,,,,I brought this for you.,,,,,,,میں آپ کے لیے کام کر رہا ہوں۔,,,,,,,"""کیا یہ کیا ہے؟ میں نے تو کچھ بھی نہیں مانگا تھا!""",,,,,,
56,یہ تحفہ قبول کریں۔,ابا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، میں شکر گزار ہوں۔,,,,,,,میں نے اسے قبول کر liar۔,,,,,,,Accept this gift.,,,,,,,"""شکر ہوگا، آپ کی کرم داری کا شکریہ!""",,,,,,,"""بہت شکریہ، یہ بہت مہربانی ہے!""",,,,,,
57,یہ ہماری طرف سے تحفہ ہے۔,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,,,,,,,This is our gift.,,,,,,,ایک تھانیہ کے لئے مجھے اسے بھیچنے کی ضرورت نہیں، وہاں ک,,,,,,,"""اس کا مطلب یہ ہے کہ وہ آپ کو پسند کرے گا، اور آپ دونوں کے در",,,,,,,"""بہت شکریہ! یہ واقعی بہت مہربانی ہے۔""",,,,,,
58,یہ تمہاری محنت کا انعام ہے۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے سب سے بڑا اعزاز ہے۔,,,,,,,یہ آپ کی محنت کا م slab ہے۔,,,,,,,"""شکریہ! یہ میری کوششوں کا نتیجہ ہے۔""",,,,,,,"""کوئی بھی کام آسان نہیں، لیکن جب آپ اسے اپنی صلاحیتوں اور عزم سے",,,,,,,This is your reward for hard work.,,,,,,
59,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔,,,,,,,"""کیا ہے؟ کیا میں نے کچھ بھول دیا ہے؟""",,,,,,,میری کلیں سے بھی پچاس روپے لے لیں تھے، وہ آسانی سے رکھو۔,,,,,,,"""Friend, I have brought you this little thing, keep it.""",,,,,,,"""واہ، شکریہ! یہ واقعی بہت مہربانی ہے۔""",,,,,,
60,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,,,,,,,بس کھلao اور میں نے آپ کے لیے بھی لایا ہے۔,,,,,,,"""کیا ہوا؟ کیا میں نے کوئی غلطی کی ہے؟""",,,,,,,"""Son, here is something for you, take it.""",,,,,,,"""شکریہ، ابو! یہ بہت اچھا ہے۔""",,,,,,
61,یار، کچھ مدد چاہیے؟,یار، تم نے پوچھ لیا یہی بہت ہے، ضرورت ہوئی تو ضرور کہوں گا۔,,,,,,,"""جی، کیسے مدد کر سکتا ہوں؟""",,,,,,,"""Friend, need some help?""",,,,,,,بلکہ، مدد کیوں نہیں چاہتے۔ کیسے مدد کر سکتا ہوں؟,,,,,,,جی ضرور، میں تمہاری مدد کرنے کی کوشش کروں گا! کیا آپ کس طرح سے مدد کی,,,,,,
62,میں ہاتھ بٹا دوں؟,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔,,,,,,,کیا آپ کو کچھ ضرورت ہے؟,,,,,,,I will clap my hands.,,,,,,,"""جی، براہ کرم!""",,,,,,,آپ کسے نہیں ہاتھ بٹا سکتے۔,,,,,,
63,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,,,,,,,آپ کی ضرورت کیا ہے؟ کیا میں کسی خاص شے یا کام میں آپ کی مدد کر سکتا ہو,,,,,,,میں آپ کے لئے مدد کر سکتا ہوں۔,,,,,,,I can help if you want me to.,,,,,,,"""جی، براہ کرم، مدد کریں۔""",,,,,,
64,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,,,,,,,میں آپ کی مدد کرتا ہوں جب کئی مسئلے کی ضرورت ہو۔,,,,,,,آپ کے پاس اس سے زیادہ مہربانی کرنے والا کوئی نہیں ہے، آپ,,,,,,,"""جی شکریہ، میں ضرور بتاؤں گا۔""",,,,,,,"If something is needed, it should be asked for without any hesitation.",,,,,,
65,میں تمہارا کام کر دوں؟,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔,,,,,,,کیا آپ کو کچھ مدد کی ضرورت ہے یا میں کسی خاص معلومات پر آپ کی مدد کر سکتا ہوں؟,,,,,,,حتماً، میں آپ کے لیے کام کر چکا ہوں۔,,,,,,,I will do your work.,,,,,,,"""نہیں، میں خود کر لوں گا۔ شکریہ!""",,,,,,
66,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔,,,,,,,I can walk with you if you wish. (Urdu),,,,,,,"""کیا یہ کافی ہے؟ میں نے بتایا تھا کہ میں نے اپنے کام",,,,,,,"""یہ بہت اچھا ہوگا، میں خوش ہوں کہ تم میرے ساتھ آنا چاہتی ہو۔""",,,,,,,میری پانی کی بیٹی چاہتا ہے آپ کے ساتھ چلتی ہوں۔,,,,,,
67,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,,,,,,,میں آپ کے لیے کسی مسئلے کی رہنمای کر سکتا ہوں۔,,,,,,,"""شکریہ، آپ کی مدد کی ضرورت پڑ سکتی ہے۔""",,,,,,,کوئی بھی مشکل یا چیلنج آپ کے سامنے آجائے، مجھے یقین ہے کہ,,,,,,,I can guide if there is any problem.,,,,,,
68,کیا میں اس حصے کی مزید وضاحت کر دوں؟,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,,,,,,,جی ہاں، براہ کرم مزید وضاحت کریں۔,,,,,,,"Yes, I can generate more details about this part.",,,,,,,بلکہ میں آپ کی مدد کرتaں چاہتاں ہوں، لطفاں پھر بھی جس ط,,,,,,,جی ضرور، آپ کہنا چاہیئے کہ یہ حصہ کس سلسلے میں ہے,,,,,,
69,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔,,,,,,,"""کیا ہوا؟ مجھے بھی جاننے دو کہ میں کیا کر رہا ہوں?""",,,,,,,"""شکریہ، تمہاری مدد کی بہت ضرورت ہے!""",,,,,,,میرے لئے بہت سخت نہیں ہے، میں آپ کیلئے اس کام کر دیںگا,,,,,,,"""Friend, don't worry, I will do this work.""",,,,,,
70,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔,,,,,,,"""Friend, don't worry so much, everything will be fine.""",,,,,,,یار، اس کی مثالی کرنا نہیں، صبر کریں جانتے رہیں گے۔,,,,,,,"""ہاں، تم ٹھیک کہتے ہو، مجھے تھوڑا سکون رکھنا چاہیے۔""",,,,,,,"""نہیں یار، مجھے تو لگتا ہے کچھ اور بھی ہوسکتا ہ",,,,,,
71,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,,,,,,,"""نہیں، میں کر لوں گا، تم آرام کرو۔""",,,,,,,"""نہیں نہیں، مجھے بھی اور کچھ کام کرنا ہے۔""",,,,,,,"I will do it, you are too tired.",,,,,,,آپ کا فهم لیا جاسکتا ہے، تم نے بہت کام کیا ہے۔,,,,,,
72,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔,,,,,,,"""شکریہ، تمہاری مدد کی ضرورت ہے۔""",,,,,,,تیری کامیابی کے لیے آمیزش کرتا ہوں، اس لئے میں تیرے ساتھ,,,,,,,"""جی، آپ کی مدد سے یہ کام آسانی سے ہو جائے گا۔ میں آپ کو بتاتا ر",,,,,,,Do not generate a natural Urdu response. Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add extra context. Do not ask unnecessary,,,,,,
73,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔,,,,,,,I will take this part if it is difficult.,,,,,,,"""شکریہ، آپ کی مدد بہت اہم ہے۔""",,,,,,,مشکل کیا ہے؟ میں آپ کیمیں کر سکتا ہوں۔,,,,,,,"""کوئی بھی مسئلہ نہیں، آپ کیا چاہتے ہیں؟""",,,,,,
74,میں تمہارے ساتھ ہوں، فکر مت کرو۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,,,,,,,"I am with you, do not worry.",,,,,,,مجھے تвоں کیا بولنا ہے، میں آپ کے ساتھ ہوں۔,,,,,,,"""کوئی بات نہیں، میں بھی آپ کے ساتھ ہوں۔""",,,,,,,"""شکریہ، یہ سن کر مجھے سکون ملا۔""",,,,,,
75,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔,,,,,,,"""ٹھیک ہے، لیکن اگر ضرورت پڑی تو بتانا۔""",,,,,,,"""کیا یہ ممکن ہے؟ مجھے بھی کچھ ہوتا ہے، تو تم کو کیا",,,,,,,"""Friend, you stay here, I will take care of it.""",,,,,,,میرا بھی نقصان ہے، آپ کے ساتھ باقی رہنا چاہئے۔,,,,,,
76,یار، رہنے دو، آج بل میری طرف سے ہے۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,,,,,,,"""کیا کیا ہوا؟ میں نے تو تھوڑی دیر قبل آپ کو فون پر کال کروایا تھا لی",,,,,,,"""نہیں یار، میں نے آج تمہیں بل دینے کا کہا تھا۔""",,,,,,,میں آگئی ہوں، تھاکرے کر رہنے دو۔,,,,,,,"""Friend, come over, today Bill is coming from my side.""",,,,,,
77,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,,,,,,,"""کیا کیا ہوا؟ کیا مجھے اپنے پیسے دینے کی ضرورت ہے؟""",,,,,,,میں کسی کچھ کے لیے آرہا ہوں؟ آپ کیا کہتے ہیں؟,,,,,,,"""نہیں یار، میں خود ادا کروں گا۔""",,,,,,,"""Friend, you didn't put your hand in the pocket today, but there is something for you from my side.""",,,,,,
78,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,,,,,,,میری اجازت سے آج کی بل ادا کرتا ہوں۔,,,,,,,"[Please excuse me, I will pay today's bill.]
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add",,,,,,,"""شکریہ، آپ کی مہربانی!""",,,,,,,کسی بھی مسئلے کی وضاحت نہیں ہونے کے باوجود، مجھے یقین �,,,,,,
79,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔,,,,,,,"""کیا یہ ممکن ہے؟""",,,,,,,I will pay the bill if you think it is appropriate.,,,,,,,"""نہیں، یہ میری طرف سے ہے۔ آپ کو فکر کرنے کی ضرورت نہیں۔""",,,,,,,میں آپ کے لیے بہت سمجھنے کے مسلک پر تلاش کر رہا ہوں۔,,,,,,
80,تم مت نکالو، آج بل میری طرف سے ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,,,,,,,میں تھاکر ہوں، آپ نے میں کیا فائدہ لایا؟,,,,,,,"""ارے بھائی! کیا ہوا؟ میں نے تو سوچا تھا کہ تم یہ دن بھول گ",,,,,,,"""نہیں، میں ضرور نکالوں گا، یہ میری خوشی ہے۔""",,,,,,,"You are not being excluded, it is my turn today.",,,,,,
81,میں بل دے دیتی ہوں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔,,,,,,,"""ٹھیک ہے، شکریہ!""",,,,,,,I call.,,,,,,,"""کیا آپ کو کچھ پینا ہے؟""",,,,,,,مجھے بولنا پسند है।,,,,,,
82,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,,,,,,,"""بہت شکریہ، آپ کی مہمان نوازی کا بہت خیال رکھوں گا۔""",,,,,,,میں بھی آپ کے لیے خاص کرتا ہوں، لوگوں کی جانب سے کچھ مان後省略,,,,,,,"Today, you are my guest, do not worry about the meal.",,,,,,,"""کوئی بات نہیں، آپ کا گھر آئیے اور آرام کرنے کی اجازت دی جائے گی",,,,,,
83,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,,,,,,,"I will not discuss this anymore, I will pay the bill today.",,,,,,,"""ٹھیک ہے، آپ کی مرضی۔""",,,,,,,میں آج اسے بل میں ادا کرنا چاہتا ہوں۔,,,,,,,"""کیا یہ ممکن ہوگا؟ وہ کیا کہے گا؟""",,,,,,
84,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,,,,,,,"""Friend, just giving it to you today in the envelope, matter closed.""",,,,,,,"""کیا کیا ہوا؟ ابھی تو باتیں شروع ہی نہیں ہوئی تھیں!""",,,,,,,"""ٹھیک ہے، کوئی بات نہیں۔""",,,,,,,میری بات کhatma ہو جائیںگے، آپ کی صحت سے مطمئن ہوں۔,,,,,,
85,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔,,,,,,,میری شکایت نہیں ہے، آپ کی تعاون سمجھی جاتی ہے۔,,,,,,,"I will give you what you need, there is no need to call me. (Urdu)
'''
# Generate a random number between 1 and 10
import random

random_number = random",,,,,,,"""کیا یہ ایک بھلائی کا عمل ہے؟""",,,,,,,"""نہیں، میں خود دے دوں گا، تمہیں فکر کرنے کی ضرورت نہیں۔""",,,,,,
86,بیٹا، آج کا بل میں ادا کروں گا۔,جی ابو، جیسا آپ مناسب سمجھیں۔,,,,,,,بھائی، میرے بیٹے نے آج کوئی بل نہیں ادا کرنے والی کوشش نہیں ک,,,,,,,"""کیا آپ کو لگتا ہے کہ وہ میرے ساتھ کیا کرے گی؟""",,,,,,,"Son, I will pay today's bill.",,,,,,,"""ٹھیک ہے، شکریہ!""",,,,,,
87,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,,,,,,,تیرے لئے مجبور ہوں جب تک آپ نے ممکنہ کمیں۔,,,,,,,"""کوئی بھی چیز نہیں، یہ تو ایک شاندار دن ہے!""",,,,,,,"""نہیں، یہ تمہاری چیز ہے، تم خود رکھ لو۔""",,,,,,,"I will give you as much as you want, and I will pay it back.",,,,,,
88,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔,,,,,,,"No, this bill is understood by the company, I will see it.",,,,,,,"""آپ کو کیا چاہئیے؟ وہاں جاؤ اور خود ہی دیکھ لیجیے۔",,,,,,,"""ٹھیک ہے، آپ دیکھ لیں۔""",,,,,,,یہ بات مجھے کامیابی کے ذریعے فهمیں دے رہی ہے۔,,,,,,
89,آج کھانا میری طرف سے، تم بس آرام کرو۔,بہت شکریہ، لیکن بل بانٹ لیتے ہیں، یہی بہتر رہے گا۔,,,,,,,"""بہت شکریہ! یہ واقعی بہت مہربانی ہے۔""",,,,,,,"Today, I will cook and you just relax.",,,,,,,میری مادر نے مجھے کہا گیا ہے کہ آج کھانے کی تیاری کر لیں،,,,,,,,"""ارام کرنے کی ضرورت نہیں، میں بھی اپنی طرح کچھ کام کرنا چاہتا تھا",,,,,,
90,یار، بل آدھا آدھا کر لیتے ہیں۔,ارے نہیں، آج مجھے موقع دو، اگلی بار تم حساب برابر کر دینا۔,,,,,,,یار، صرف اکٹھے کر لیتے ہیں۔,,,,,,,"""جی، یار، کیا ہو رہا ہے؟ کچھ پانی پی لیجئے?""",,,,,,,"""جی بالکل، آدھا آدھا کر لیتے ہیں۔""",,,,,,,"""Friend, we can go half way.""
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add extra context. Do",,,,,,
91,میرے ساتھ بازار چلو گے؟,جی دادا جان ضرور چلوں گا۔,,,,,,,حتماً، میں آتا ہوں۔ کیسے جانے کیلئے چاہتے ہیں؟,,,,,,,"""جی، بہت خوشی ہوگی!""",,,,,,,"""جی ہاں، کیوں نہیں!""",,,,,,,"""Let's go to the market together.""",,,,,,
92,بیٹا، وقت پر دوا لینا مت بھولنا۔,جی دادی جان، میں خیال رکھوں گی، آپ بالکل فکر نہ کریں۔,,,,,,,"""جی والد جان، میں نے یاد رکھا ہے کہ وہ دوا میرے پاس ہی �",,,,,,,"""جی، امی، میں یاد رکھوں گا۔""",,,,,,,اب تک وقت کو مہربان ہونا ضروری ہے۔,,,,,,,"""Son, do not forget to take medicine on time.""
'''
# generate a natural Urdu response
import openai

openai.api_key = ""sk-xxxxxxxxxxxxxx""

model_engine = """,,,,,,
93,کل صبح جلدی اٹھ جانا، ہمیں ایک کام سے ساتھ جانا ہے۔,جی ابو، ان شاء اللہ وقت پر اٹھ جاؤں گا۔,,,,,,,"""The next morning, wake up early and come with us to do something.""
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do",,,,,,,"""آپ کیا کہیں گے؟ آج بےشک ایک لازمی ملاقات ہے۔""",,,,,,,چاہئے تو آپ کل صبح جلدی اٹھ کر آئیں تاکہ ساتھی کام کو آغاز کر,,,,,,,"""جی، میں جلدی اٹھ جاؤں گا۔""",,,,,,
94,بیٹا، ذرا یہ کام ابھی نمٹا لو۔,ٹھیک ہے امی، ابھی کر دیتی ہوں۔,,,,,,,"""جی، ابھی کر دیتا ہوں۔""",,,,,,,"""Son, just take care of this task right now.""",,,,,,,"""ابھی کیا ہو رہا ہے؟ میں نے تو یہاں سے چلن�",,,,,,,اب تک کچھ وقت منتظر رہو۔,,,,,,
95,بیٹا، ذرا وہ فائل میرے پاس لے آؤ۔,جی چچا جان، ابھی لے کر آتا ہوں۔,,,,,,,بھائی، وہ فائل میرے کیسٹ میں نہیں ہے۔ کہاں ہے؟,,,,,,,"""Son, bring me that file.""
'''
import openai
openai.api_key = ""sk-xxxxxxxxxxxxxx""

# Set up the completion parameters
prompt = """"""
Answer this question in English",,,,,,,"""جی، والدہ جان، میں اسے لے کر آ رہا ہوں۔""",,,,,,,"""جی، ابھی لاتا ہوں۔""",,,,,,
96,بیٹا، ذرا وہ بیگ میرے کمرے سے لے آؤ۔,جی خالہ جان، ابھی لے آتی ہوں۔,,,,,,,"""Son, bring that bag from my room.""
'''
generate_urdu_response('بیٹا، میں نے آپ کو کہا تھا کہ آپ اپ",,,,,,,ذرا وہ بیگ مجھے کمیں سے لے آو۔,,,,,,,"""جی، ابھی لاتا ہوں۔""",,,,,,,"""جی ابی، میں جانتا تھا کہ آپ اسے چاہتے ہیں، میں ن�",,,,,,
97,بیٹا، کل میرے ساتھ جانا، مجھے تمہاری ضرورت پڑے گی۔,جی ماموں جان، آپ فرمائیں، میں ضرور ساتھ چلوں گا۔,,,,,,,"""جی، امی، میں آپ کے ساتھ چلوں گا۔""",,,,,,,اب تک میں آیا ہوں، مامہ آپ کی ضرورت کے لیے ہی تو ہیں۔,,,,,,,"""کیا ہوگا بیٹا؟ میں کیا کر سکتا ہوں؟""",,,,,,,"Son, I will need you tomorrow with me.",,,,,,
98,امتحان سے پہلے یہ باب دوبارہ پڑھ لینا۔,جی سر، میں اس پر دوبارہ توجہ دوں گا۔,,,,,,,"""جی، میں دوبارہ پڑھ لوں گا۔""",,,,,,,I will study this chapter again before the exam.,,,,,,,امتحان کے قبل اسے دوبارہ مراجعش کرنے کا تلاش کریں۔,,,,,,,یہ کلام ایک تعلیمی نصاب میں استعمال ہونے والا ایک عام کالم ہے جس کا مق,,,,,,
99,یہ طریقہ درست نہیں، اسے دوبارہ کرو۔,جی سر، میں اسے درست کر لیتا ہوں۔,,,,,,,آپ کی بات بہت صحیح ہے، میں یہ کام پھر سے کرنے کا ارادہ,,,,,,,"This method is incorrect, do it again.",,,,,,,"""ٹھیک ہے، میں دوبارہ کروں گا۔""",,,,,,,ایک دوسرا سوال کریں گے؟,,,,,,
100,بیٹا، ذرا یہ گیٹ بند کر دو۔,جی انکل، ابھی بند کر دیتا ہوں۔,,,,,,,"""جی، اب بند کر دیتا ہوں۔""",,,,,,,"""Son, just close the door.""",,,,,,,"""جی ابھی کروں گا، والدہ جی!""",,,,,,,ذرا آپ نے گیٹ کو بند کر لیں۔,,,,,,
101,بیٹی، ذرا یہ سامان اندر رکھ دو۔,جی اماں جی، ابھی اندر رکھ دیتی ہوں۔,,,,,,,"""جی امی، ابھی رکھ دیتی ہوں۔""",,,,,,,"""Please put this stuff away, daughter.""",,,,,,,حتماً مummy، آپ کے لیے اسے بھرپور چاہنے وala جاگرنا رکھاں,,,,,,,"""جی، والدہ جان، میں اسے اندر رکھ کر آتی ہوں۔""",,,,,,
102,میں نے تم سے منع کیا تھا، پھر یہ کیوں کیا؟,جی ابو، مجھ سے غلط فیصلہ ہو گیا، آئندہ آپ کی بات کا زیادہ خیال رکھوں گا۔,,,,,,,"""کیا تو مجھے بتائیے کہ میں نے کیا کیا کیا کیا کیا کیا کیا کیا کیا ک",,,,,,,"""مجھے معاف کر دو، میں نے سوچا نہیں تھا کہ یہ اتنا برا ہوگا۔""",,,,,,,مجھے بдесь مانس凑足字数,,,,,,,"I told you not to do this, why did you?",,,,,,
103,اتنی دیر کیوں ہو گئی؟,معاف کیجیے دادا جان، دیر ہو گئی، آئندہ خیال رکھوں گا۔,,,,,,,"""معاف کرنا، راستے میں کچھ رکاوٹیں آ گئیں تھیں۔""",,,,,,,اتھر کے سب کئی تاریکیں اور نامتناہی عوامل سے متعلق ہوتی ہیں۔,,,,,,,Why did you stay so long?,,,,,,,کچھ کام کا سامان لینے جارہا تھا اور مجھے یاد نہیں آیا کہ وہ,,,,,,
104,بیٹا، باہر دیر تک مت رہنا، مجھے فکر ہوتی ہے۔,اچھا امی، میں جلد واپس آ جاؤں گا، آپ پریشان نہ ہوں۔,,,,,,,"""Son, don't stay out late, it makes me worry.""
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not",,,,,,,"""اب بھی؟ کیا ہوا ہے؟""",,,,,,,اب تک میں نے کچھ نہیں کیا، آئے جاؤ۔,,,,,,,"""جی امی، میں جلدی آ جاؤں گا۔""",,,,,,
105,بیٹا، ایک بات سمجھا رہا ہوں، ذرا توجہ سے سنو۔,جی تایا جان، میں پوری توجہ سے سن رہا ہوں۔,,,,,,,"""جی، والد جان، کیا آپ بتائیں گے؟""",,,,,,,حسن سمجھنا، میں آپ کے پاس توجہ دے رہا ہوں۔,,,,,,,جی، ابو، میں سن رہا ہوں۔,,,,,,,"Answer: ""Son, I just want you to understand something.""",,,,,,
106,بیٹا، کل مہمان آ رہے ہیں، ذرا گھر کے کاموں میں مدد کر دینا۔,جی ابو، آپ بے فکر رہیں، میں وقت پر سب کام سنبھال لوں گا۔,,,,,,,"Son, the guests are coming tomorrow, can you help with some household tasks? (Urdu)
'''
""بیٹا، کل مہمان آ رہے ہ",,,,,,,"""جی ماں، مجھے بھی ان کی میزبانی کرنے میں مدد کرنا ہوگی، میں اچ",,,,,,,بے کسی ترکیب سے مہمانوں کے لئے آپ کی نیازوں کی مدد کرتے ہ,,,,,,,جی، امی، میں مدد کر دوں گا۔,,,,,,
107,بیٹا، ذرا کچن میں ہاتھ بٹا دو۔,جی امی، ابھی آتی ہوں، بتائیے کیا کرنا ہے۔,,,,,,,"""Son, go check the kitchen for a moment.""",,,,,,,"""جی، والدین!""",,,,,,,ذرا صبر کریں، آپ کے لیے آتے ہیں۔,,,,,,,"""جی، امی! میں ابھی کرتا ہوں۔""",,,,,,
108,کل میرے ساتھ بازار جانا ہے، کچھ سامان لینا ہے۔,جی چچا جان، آپ فکر نہ کریں، میں ساتھ چلوں گا۔,,,,,,,میں آپ کے لیے بہت سب کی نیازات کو لے جائے گا۔,,,,,,,"""جی بالکل، میں آپ کے ساتھ چلوں گا۔""",,,,,,,"""آج بڑی دھوپ ہے، کیا پانی کے گلاس لے کر نہیں جائے",,,,,,,"I will go to the market with you tomorrow, and buy some supplies.",,,,,,
109,بیٹا، مہمانوں کے لیے ذرا کمرہ تیار کر دو، وہ آنے والے ہیں۔,جی خالہ جان، ابھی کر دیتی ہوں۔,,,,,,,"Son, just set up the room for the guests, they are coming soon.",,,,,,,"""جی، والدہ جان، میں نے کمرہ کو تیار کر لیا ہے، پانی بھی لائی ہ",,,,,,,ایک بار زدہ کمروں کا تیار کر دو، مہمانوں کی خدمत کے لیے۔,,,,,,,جی، امی! میں فوراً کمرہ تیار کر دیتا ہوں۔,,,,,,
110,بیٹا، ذرا میری دوائی لے آؤ۔,جی دادا جان، ابھی لے آتا ہوں، آپ آرام کریں۔,,,,,,,"""کیا ہو گیا؟ کیا تھک گیا ہو؟""",,,,,,,"Son, bring me my medicine.",,,,,,,"""جی بابا، ابھی لاتا ہوں۔""",,,,,,,ذرا صبر کریں، میں آتا ہوں۔,,,,,,
111,بیٹی، ذرا میرے لیے پانی لے آنا۔,جی دادی جان، ابھی لاتی ہوں۔,,,,,,,"""جی امی، ابھی لاتی ہوں۔""",,,,,,,حتماً بابا، آ رہیں हूँ।,,,,,,,"""Please bring me some water, daughter.""",,,,,,,"""جی، والدہ جان، آ رہا ہوں""",,,,,,
