ID,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
55,یہ تمہارے لیے لائی ہوں۔,خالہ جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔ اس شفقت کے لیے بہت شکریہ۔,,,,,,,میں آپ کے لیے کام کر رہا ہوں۔,,,,,,,"""کیا یہ کیا ہے؟ میں نے تو کچھ بھی نہیں مانگا تھا!""",,,,,,,I brought this for you.,,,,,,,"""واہ! بہت شکریہ، یہ واقعی بہت خوبصورت ہے!""",,,,,,
56,یہ تحفہ قبول کریں۔,ابا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، میں شکر گزار ہوں۔,,,,,,,میں نے اسے قبول کر liar۔,,,,,,,"""بہت شکریہ، یہ بہت مہربانی ہے!""",,,,,,,Accept this gift.,,,,,,,"""شکر ہوگا، آپ کی کرم داری کا شکریہ!""",,,,,,
57,یہ ہماری طرف سے تحفہ ہے۔,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,,,,,,,"""بہت شکریہ! یہ واقعی بہت مہربانی ہے۔""",,,,,,,"""اس کا مطلب یہ ہے کہ وہ آپ کو پسند کرے گا، اور آپ دونوں کے در",,,,,,,ایک تھانیہ کے لئے مجھے اسے بھیچنے کی ضرورت نہیں، وہاں ک,,,,,,,This is our gift.,,,,,,
58,یہ تمہاری محنت کا انعام ہے۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے سب سے بڑا اعزاز ہے۔,,,,,,,"""کوئی بھی کام آسان نہیں، لیکن جب آپ اسے اپنی صلاحیتوں اور عزم سے",,,,,,,This is your reward for hard work.,,,,,,,"""شکریہ! یہ میری کوششوں کا نتیجہ ہے۔""",,,,,,,یہ آپ کی محنت کا م slab ہے۔,,,,,,
59,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔,,,,,,,میری کلیں سے بھی پچاس روپے لے لیں تھے، وہ آسانی سے رکھو۔,,,,,,,"""واہ، شکریہ! یہ واقعی بہت مہربانی ہے۔""",,,,,,,"""کیا ہے؟ کیا میں نے کچھ بھول دیا ہے؟""",,,,,,,"""Friend, I have brought you this little thing, keep it.""",,,,,,
60,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,,,,,,,"""کیا ہوا؟ کیا میں نے کوئی غلطی کی ہے؟""",,,,,,,بس کھلao اور میں نے آپ کے لیے بھی لایا ہے۔,,,,,,,"""Son, here is something for you, take it.""",,,,,,,"""شکریہ، ابو! یہ بہت اچھا ہے۔""",,,,,,
61,یار، کچھ مدد چاہیے؟,یار، تم نے پوچھ لیا یہی بہت ہے، ضرورت ہوئی تو ضرور کہوں گا۔,,,,,,,جی ضرور، میں تمہاری مدد کرنے کی کوشش کروں گا! کیا آپ کس طرح سے مدد کی,,,,,,,بلکہ، مدد کیوں نہیں چاہتے۔ کیسے مدد کر سکتا ہوں؟,,,,,,,"""Friend, need some help?""",,,,,,,"""جی، کیسے مدد کر سکتا ہوں؟""",,,,,,
62,میں ہاتھ بٹا دوں؟,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔,,,,,,,"""جی، براہ کرم!""",,,,,,,I will clap my hands.,,,,,,,آپ کسے نہیں ہاتھ بٹا سکتے۔,,,,,,,کیا آپ کو کچھ ضرورت ہے؟,,,,,,
63,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,,,,,,,میں آپ کے لئے مدد کر سکتا ہوں۔,,,,,,,I can help if you want me to.,,,,,,,آپ کی ضرورت کیا ہے؟ کیا میں کسی خاص شے یا کام میں آپ کی مدد کر سکتا ہو,,,,,,,"""جی، براہ کرم، مدد کریں۔""",,,,,,
64,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,,,,,,,"""جی شکریہ، میں ضرور بتاؤں گا۔""",,,,,,,آپ کے پاس اس سے زیادہ مہربانی کرنے والا کوئی نہیں ہے، آپ,,,,,,,"If something is needed, it should be asked for without any hesitation.",,,,,,,میں آپ کی مدد کرتا ہوں جب کئی مسئلے کی ضرورت ہو۔,,,,,,
65,میں تمہارا کام کر دوں؟,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔,,,,,,,کیا آپ کو کچھ مدد کی ضرورت ہے یا میں کسی خاص معلومات پر آپ کی مدد کر سکتا ہوں؟,,,,,,,"""نہیں، میں خود کر لوں گا۔ شکریہ!""",,,,,,,I will do your work.,,,,,,,حتماً، میں آپ کے لیے کام کر چکا ہوں۔,,,,,,
66,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔,,,,,,,I can walk with you if you wish. (Urdu),,,,,,,میری پانی کی بیٹی چاہتا ہے آپ کے ساتھ چلتی ہوں۔,,,,,,,"""کیا یہ کافی ہے؟ میں نے بتایا تھا کہ میں نے اپنے کام",,,,,,,"""یہ بہت اچھا ہوگا، میں خوش ہوں کہ تم میرے ساتھ آنا چاہتی ہو۔""",,,,,,
67,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,,,,,,,میں آپ کے لیے کسی مسئلے کی رہنمای کر سکتا ہوں۔,,,,,,,I can guide if there is any problem.,,,,,,,کوئی بھی مشکل یا چیلنج آپ کے سامنے آجائے، مجھے یقین ہے کہ,,,,,,,"""شکریہ، آپ کی مدد کی ضرورت پڑ سکتی ہے۔""",,,,,,
68,کیا میں اس حصے کی مزید وضاحت کر دوں؟,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,,,,,,,جی ہاں، براہ کرم مزید وضاحت کریں۔,,,,,,,"Yes, I can generate more details about this part.",,,,,,,جی ضرور، آپ کہنا چاہیئے کہ یہ حصہ کس سلسلے میں ہے,,,,,,,بلکہ میں آپ کی مدد کرتaں چاہتاں ہوں، لطفاں پھر بھی جس ط,,,,,,
69,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔,,,,,,,"""کیا ہوا؟ مجھے بھی جاننے دو کہ میں کیا کر رہا ہوں?""",,,,,,,"""Friend, don't worry, I will do this work.""",,,,,,,"""شکریہ، تمہاری مدد کی بہت ضرورت ہے!""",,,,,,,میرے لئے بہت سخت نہیں ہے، میں آپ کیلئے اس کام کر دیںگا,,,,,,
70,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔,,,,,,,یار، اس کی مثالی کرنا نہیں، صبر کریں جانتے رہیں گے۔,,,,,,,"""ہاں، تم ٹھیک کہتے ہو، مجھے تھوڑا سکون رکھنا چاہیے۔""",,,,,,,"""نہیں یار، مجھے تو لگتا ہے کچھ اور بھی ہوسکتا ہ",,,,,,,"""Friend, don't worry so much, everything will be fine.""",,,,,,
71,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,,,,,,,"I will do it, you are too tired.",,,,,,,"""نہیں نہیں، مجھے بھی اور کچھ کام کرنا ہے۔""",,,,,,,"""نہیں، میں کر لوں گا، تم آرام کرو۔""",,,,,,,آپ کا فهم لیا جاسکتا ہے، تم نے بہت کام کیا ہے۔,,,,,,
72,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔,,,,,,,تیری کامیابی کے لیے آمیزش کرتا ہوں، اس لئے میں تیرے ساتھ,,,,,,,"""شکریہ، تمہاری مدد کی ضرورت ہے۔""",,,,,,,Do not generate a natural Urdu response. Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add extra context. Do not ask unnecessary,,,,,,,"""جی، آپ کی مدد سے یہ کام آسانی سے ہو جائے گا۔ میں آپ کو بتاتا ر",,,,,,
73,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔,,,,,,,"""کوئی بھی مسئلہ نہیں، آپ کیا چاہتے ہیں؟""",,,,,,,I will take this part if it is difficult.,,,,,,,مشکل کیا ہے؟ میں آپ کیمیں کر سکتا ہوں۔,,,,,,,"""شکریہ، آپ کی مدد بہت اہم ہے۔""",,,,,,
74,میں تمہارے ساتھ ہوں، فکر مت کرو۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,,,,,,,مجھے تвоں کیا بولنا ہے، میں آپ کے ساتھ ہوں۔,,,,,,,"I am with you, do not worry.",,,,,,,"""کوئی بات نہیں، میں بھی آپ کے ساتھ ہوں۔""",,,,,,,"""شکریہ، یہ سن کر مجھے سکون ملا۔""",,,,,,
75,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔,,,,,,,"""کیا یہ ممکن ہے؟ مجھے بھی کچھ ہوتا ہے، تو تم کو کیا",,,,,,,"""Friend, you stay here, I will take care of it.""",,,,,,,میرا بھی نقصان ہے، آپ کے ساتھ باقی رہنا چاہئے۔,,,,,,,"""ٹھیک ہے، لیکن اگر ضرورت پڑی تو بتانا۔""",,,,,,
76,یار، رہنے دو، آج بل میری طرف سے ہے۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,,,,,,,"""Friend, come over, today Bill is coming from my side.""",,,,,,,"""کیا کیا ہوا؟ میں نے تو تھوڑی دیر قبل آپ کو فون پر کال کروایا تھا لی",,,,,,,میں آگئی ہوں، تھاکرے کر رہنے دو۔,,,,,,,"""نہیں یار، میں نے آج تمہیں بل دینے کا کہا تھا۔""",,,,,,
77,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,,,,,,,"""کیا کیا ہوا؟ کیا مجھے اپنے پیسے دینے کی ضرورت ہے؟""",,,,,,,"""نہیں یار، میں خود ادا کروں گا۔""",,,,,,,میں کسی کچھ کے لیے آرہا ہوں؟ آپ کیا کہتے ہیں؟,,,,,,,"""Friend, you didn't put your hand in the pocket today, but there is something for you from my side.""",,,,,,
78,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,,,,,,,"""شکریہ، آپ کی مہربانی!""",,,,,,,"[Please excuse me, I will pay today's bill.]
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add",,,,,,,میری اجازت سے آج کی بل ادا کرتا ہوں۔,,,,,,,کسی بھی مسئلے کی وضاحت نہیں ہونے کے باوجود، مجھے یقین �,,,,,,
79,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔,,,,,,,میں آپ کے لیے بہت سمجھنے کے مسلک پر تلاش کر رہا ہوں۔,,,,,,,"""کیا یہ ممکن ہے؟""",,,,,,,"""نہیں، یہ میری طرف سے ہے۔ آپ کو فکر کرنے کی ضرورت نہیں۔""",,,,,,,I will pay the bill if you think it is appropriate.,,,,,,
80,تم مت نکالو، آج بل میری طرف سے ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,,,,,,,"You are not being excluded, it is my turn today.",,,,,,,میں تھاکر ہوں، آپ نے میں کیا فائدہ لایا؟,,,,,,,"""نہیں، میں ضرور نکالوں گا، یہ میری خوشی ہے۔""",,,,,,,"""ارے بھائی! کیا ہوا؟ میں نے تو سوچا تھا کہ تم یہ دن بھول گ",,,,,,
81,میں بل دے دیتی ہوں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔,,,,,,,"""ٹھیک ہے، شکریہ!""",,,,,,,مجھے بولنا پسند है।,,,,,,,"""کیا آپ کو کچھ پینا ہے؟""",,,,,,,I call.,,,,,,
82,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,,,,,,,"""کوئی بات نہیں، آپ کا گھر آئیے اور آرام کرنے کی اجازت دی جائے گی",,,,,,,میں بھی آپ کے لیے خاص کرتا ہوں، لوگوں کی جانب سے کچھ مان後省略,,,,,,,"""بہت شکریہ، آپ کی مہمان نوازی کا بہت خیال رکھوں گا۔""",,,,,,,"Today, you are my guest, do not worry about the meal.",,,,,,
83,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,,,,,,,"I will not discuss this anymore, I will pay the bill today.",,,,,,,"""کیا یہ ممکن ہوگا؟ وہ کیا کہے گا؟""",,,,,,,"""ٹھیک ہے، آپ کی مرضی۔""",,,,,,,میں آج اسے بل میں ادا کرنا چاہتا ہوں۔,,,,,,
84,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,,,,,,,میری بات کhatma ہو جائیںگے، آپ کی صحت سے مطمئن ہوں۔,,,,,,,"""Friend, just giving it to you today in the envelope, matter closed.""",,,,,,,"""کیا کیا ہوا؟ ابھی تو باتیں شروع ہی نہیں ہوئی تھیں!""",,,,,,,"""ٹھیک ہے، کوئی بات نہیں۔""",,,,,,
85,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔,,,,,,,میری شکایت نہیں ہے، آپ کی تعاون سمجھی جاتی ہے۔,,,,,,,"""کیا یہ ایک بھلائی کا عمل ہے؟""",,,,,,,"""نہیں، میں خود دے دوں گا، تمہیں فکر کرنے کی ضرورت نہیں۔""",,,,,,,"I will give you what you need, there is no need to call me. (Urdu)
'''
# Generate a random number between 1 and 10
import random

random_number = random",,,,,,
86,بیٹا، آج کا بل میں ادا کروں گا۔,جی ابو، جیسا آپ مناسب سمجھیں۔,,,,,,,"""کیا آپ کو لگتا ہے کہ وہ میرے ساتھ کیا کرے گی؟""",,,,,,,بھائی، میرے بیٹے نے آج کوئی بل نہیں ادا کرنے والی کوشش نہیں ک,,,,,,,"""ٹھیک ہے، شکریہ!""",,,,,,,"Son, I will pay today's bill.",,,,,,
87,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,,,,,,,"I will give you as much as you want, and I will pay it back.",,,,,,,"""کوئی بھی چیز نہیں، یہ تو ایک شاندار دن ہے!""",,,,,,,تیرے لئے مجبور ہوں جب تک آپ نے ممکنہ کمیں۔,,,,,,,"""نہیں، یہ تمہاری چیز ہے، تم خود رکھ لو۔""",,,,,,
88,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔,,,,,,,یہ بات مجھے کامیابی کے ذریعے فهمیں دے رہی ہے۔,,,,,,,"""ٹھیک ہے، آپ دیکھ لیں۔""",,,,,,,"No, this bill is understood by the company, I will see it.",,,,,,,"""آپ کو کیا چاہئیے؟ وہاں جاؤ اور خود ہی دیکھ لیجیے۔",,,,,,
89,آج کھانا میری طرف سے، تم بس آرام کرو۔,بہت شکریہ، لیکن بل بانٹ لیتے ہیں، یہی بہتر رہے گا۔,,,,,,,"""بہت شکریہ! یہ واقعی بہت مہربانی ہے۔""",,,,,,,"Today, I will cook and you just relax.",,,,,,,"""ارام کرنے کی ضرورت نہیں، میں بھی اپنی طرح کچھ کام کرنا چاہتا تھا",,,,,,,میری مادر نے مجھے کہا گیا ہے کہ آج کھانے کی تیاری کر لیں،,,,,,,
90,یار، بل آدھا آدھا کر لیتے ہیں۔,ارے نہیں، آج مجھے موقع دو، اگلی بار تم حساب برابر کر دینا۔,,,,,,,"""جی بالکل، آدھا آدھا کر لیتے ہیں۔""",,,,,,,یار، صرف اکٹھے کر لیتے ہیں۔,,,,,,,"""Friend, we can go half way.""
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not add extra context. Do",,,,,,,"""جی، یار، کیا ہو رہا ہے؟ کچھ پانی پی لیجئے?""",,,,,,
91,میرے ساتھ بازار چلو گے؟,جی دادا جان ضرور چلوں گا۔,,,,,,,حتماً، میں آتا ہوں۔ کیسے جانے کیلئے چاہتے ہیں؟,,,,,,,"""جی، بہت خوشی ہوگی!""",,,,,,,"""جی ہاں، کیوں نہیں!""",,,,,,,"""Let's go to the market together.""",,,,,,
92,بیٹا، وقت پر دوا لینا مت بھولنا۔,جی دادی جان، میں خیال رکھوں گی، آپ بالکل فکر نہ کریں۔,,,,,,,"""جی والد جان، میں نے یاد رکھا ہے کہ وہ دوا میرے پاس ہی �",,,,,,,اب تک وقت کو مہربان ہونا ضروری ہے۔,,,,,,,"""جی، امی، میں یاد رکھوں گا۔""",,,,,,,"""Son, do not forget to take medicine on time.""
'''
# generate a natural Urdu response
import openai

openai.api_key = ""sk-xxxxxxxxxxxxxx""

model_engine = """,,,,,,
93,کل صبح جلدی اٹھ جانا، ہمیں ایک کام سے ساتھ جانا ہے۔,جی ابو، ان شاء اللہ وقت پر اٹھ جاؤں گا۔,,,,,,,"""آپ کیا کہیں گے؟ آج بےشک ایک لازمی ملاقات ہے۔""",,,,,,,"""جی، میں جلدی اٹھ جاؤں گا۔""",,,,,,,چاہئے تو آپ کل صبح جلدی اٹھ کر آئیں تاکہ ساتھی کام کو آغاز کر,,,,,,,"""The next morning, wake up early and come with us to do something.""
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do",,,,,,
94,بیٹا، ذرا یہ کام ابھی نمٹا لو۔,ٹھیک ہے امی، ابھی کر دیتی ہوں۔,,,,,,,اب تک کچھ وقت منتظر رہو۔,,,,,,,"""Son, just take care of this task right now.""",,,,,,,"""جی، ابھی کر دیتا ہوں۔""",,,,,,,"""ابھی کیا ہو رہا ہے؟ میں نے تو یہاں سے چلن�",,,,,,
95,بیٹا، ذرا وہ فائل میرے پاس لے آؤ۔,جی چچا جان، ابھی لے کر آتا ہوں۔,,,,,,,"""جی، والدہ جان، میں اسے لے کر آ رہا ہوں۔""",,,,,,,بھائی، وہ فائل میرے کیسٹ میں نہیں ہے۔ کہاں ہے؟,,,,,,,"""جی، ابھی لاتا ہوں۔""",,,,,,,"""Son, bring me that file.""
'''
import openai
openai.api_key = ""sk-xxxxxxxxxxxxxx""

# Set up the completion parameters
prompt = """"""
Answer this question in English",,,,,,
96,بیٹا، ذرا وہ بیگ میرے کمرے سے لے آؤ۔,جی خالہ جان، ابھی لے آتی ہوں۔,,,,,,,"""Son, bring that bag from my room.""
'''
generate_urdu_response('بیٹا، میں نے آپ کو کہا تھا کہ آپ اپ",,,,,,,ذرا وہ بیگ مجھے کمیں سے لے آو۔,,,,,,,"""جی ابی، میں جانتا تھا کہ آپ اسے چاہتے ہیں، میں ن�",,,,,,,"""جی، ابھی لاتا ہوں۔""",,,,,,
97,بیٹا، کل میرے ساتھ جانا، مجھے تمہاری ضرورت پڑے گی۔,جی ماموں جان، آپ فرمائیں، میں ضرور ساتھ چلوں گا۔,,,,,,,"Son, I will need you tomorrow with me.",,,,,,,"""جی، امی، میں آپ کے ساتھ چلوں گا۔""",,,,,,,اب تک میں آیا ہوں، مامہ آپ کی ضرورت کے لیے ہی تو ہیں۔,,,,,,,"""کیا ہوگا بیٹا؟ میں کیا کر سکتا ہوں؟""",,,,,,
98,امتحان سے پہلے یہ باب دوبارہ پڑھ لینا۔,جی سر، میں اس پر دوبارہ توجہ دوں گا۔,,,,,,,امتحان کے قبل اسے دوبارہ مراجعش کرنے کا تلاش کریں۔,,,,,,,I will study this chapter again before the exam.,,,,,,,یہ کلام ایک تعلیمی نصاب میں استعمال ہونے والا ایک عام کالم ہے جس کا مق,,,,,,,"""جی، میں دوبارہ پڑھ لوں گا۔""",,,,,,
99,یہ طریقہ درست نہیں، اسے دوبارہ کرو۔,جی سر، میں اسے درست کر لیتا ہوں۔,,,,,,,ایک دوسرا سوال کریں گے؟,,,,,,,"""ٹھیک ہے، میں دوبارہ کروں گا۔""",,,,,,,آپ کی بات بہت صحیح ہے، میں یہ کام پھر سے کرنے کا ارادہ,,,,,,,"This method is incorrect, do it again.",,,,,,
100,بیٹا، ذرا یہ گیٹ بند کر دو۔,جی انکل، ابھی بند کر دیتا ہوں۔,,,,,,,"""جی، اب بند کر دیتا ہوں۔""",,,,,,,"""Son, just close the door.""",,,,,,,"""جی ابھی کروں گا، والدہ جی!""",,,,,,,ذرا آپ نے گیٹ کو بند کر لیں۔,,,,,,
101,بیٹی، ذرا یہ سامان اندر رکھ دو۔,جی اماں جی، ابھی اندر رکھ دیتی ہوں۔,,,,,,,حتماً مummy، آپ کے لیے اسے بھرپور چاہنے وala جاگرنا رکھاں,,,,,,,"""جی امی، ابھی رکھ دیتی ہوں۔""",,,,,,,"""جی، والدہ جان، میں اسے اندر رکھ کر آتی ہوں۔""",,,,,,,"""Please put this stuff away, daughter.""",,,,,,
102,میں نے تم سے منع کیا تھا، پھر یہ کیوں کیا؟,جی ابو، مجھ سے غلط فیصلہ ہو گیا، آئندہ آپ کی بات کا زیادہ خیال رکھوں گا۔,,,,,,,"I told you not to do this, why did you?",,,,,,,"""کیا تو مجھے بتائیے کہ میں نے کیا کیا کیا کیا کیا کیا کیا کیا کیا ک",,,,,,,مجھے بдесь مانس凑足字数,,,,,,,"""مجھے معاف کر دو، میں نے سوچا نہیں تھا کہ یہ اتنا برا ہوگا۔""",,,,,,
103,اتنی دیر کیوں ہو گئی؟,معاف کیجیے دادا جان، دیر ہو گئی، آئندہ خیال رکھوں گا۔,,,,,,,"""معاف کرنا، راستے میں کچھ رکاوٹیں آ گئیں تھیں۔""",,,,,,,Why did you stay so long?,,,,,,,اتھر کے سب کئی تاریکیں اور نامتناہی عوامل سے متعلق ہوتی ہیں۔,,,,,,,کچھ کام کا سامان لینے جارہا تھا اور مجھے یاد نہیں آیا کہ وہ,,,,,,
104,بیٹا، باہر دیر تک مت رہنا، مجھے فکر ہوتی ہے۔,اچھا امی، میں جلد واپس آ جاؤں گا، آپ پریشان نہ ہوں۔,,,,,,,اب تک میں نے کچھ نہیں کیا، آئے جاؤ۔,,,,,,,"""Son, don't stay out late, it makes me worry.""
'''
# Generate a natural English response. Output only the response utterance. Do not explain. Do not narrate. Do not",,,,,,,"""جی امی، میں جلدی آ جاؤں گا۔""",,,,,,,"""اب بھی؟ کیا ہوا ہے؟""",,,,,,
105,بیٹا، ایک بات سمجھا رہا ہوں، ذرا توجہ سے سنو۔,جی تایا جان، میں پوری توجہ سے سن رہا ہوں۔,,,,,,,حسن سمجھنا، میں آپ کے پاس توجہ دے رہا ہوں۔,,,,,,,جی، ابو، میں سن رہا ہوں۔,,,,,,,"Answer: ""Son, I just want you to understand something.""",,,,,,,"""جی، والد جان، کیا آپ بتائیں گے؟""",,,,,,
106,بیٹا، کل مہمان آ رہے ہیں، ذرا گھر کے کاموں میں مدد کر دینا۔,جی ابو، آپ بے فکر رہیں، میں وقت پر سب کام سنبھال لوں گا۔,,,,,,,"Son, the guests are coming tomorrow, can you help with some household tasks? (Urdu)
'''
""بیٹا، کل مہمان آ رہے ہ",,,,,,,"""جی ماں، مجھے بھی ان کی میزبانی کرنے میں مدد کرنا ہوگی، میں اچ",,,,,,,جی، امی، میں مدد کر دوں گا۔,,,,,,,بے کسی ترکیب سے مہمانوں کے لئے آپ کی نیازوں کی مدد کرتے ہ,,,,,,
107,بیٹا، ذرا کچن میں ہاتھ بٹا دو۔,جی امی، ابھی آتی ہوں، بتائیے کیا کرنا ہے۔,,,,,,,"""جی، والدین!""",,,,,,,"""Son, go check the kitchen for a moment.""",,,,,,,ذرا صبر کریں، آپ کے لیے آتے ہیں۔,,,,,,,"""جی، امی! میں ابھی کرتا ہوں۔""",,,,,,
108,کل میرے ساتھ بازار جانا ہے، کچھ سامان لینا ہے۔,جی چچا جان، آپ فکر نہ کریں، میں ساتھ چلوں گا۔,,,,,,,"I will go to the market with you tomorrow, and buy some supplies.",,,,,,,میں آپ کے لیے بہت سب کی نیازات کو لے جائے گا۔,,,,,,,"""آج بڑی دھوپ ہے، کیا پانی کے گلاس لے کر نہیں جائے",,,,,,,"""جی بالکل، میں آپ کے ساتھ چلوں گا۔""",,,,,,
109,بیٹا، مہمانوں کے لیے ذرا کمرہ تیار کر دو، وہ آنے والے ہیں۔,جی خالہ جان، ابھی کر دیتی ہوں۔,,,,,,,"""جی، والدہ جان، میں نے کمرہ کو تیار کر لیا ہے، پانی بھی لائی ہ",,,,,,,جی، امی! میں فوراً کمرہ تیار کر دیتا ہوں۔,,,,,,,ایک بار زدہ کمروں کا تیار کر دو، مہمانوں کی خدمत کے لیے۔,,,,,,,"Son, just set up the room for the guests, they are coming soon.",,,,,,
110,بیٹا، ذرا میری دوائی لے آؤ۔,جی دادا جان، ابھی لے آتا ہوں، آپ آرام کریں۔,,,,,,,"""کیا ہو گیا؟ کیا تھک گیا ہو؟""",,,,,,,"Son, bring me my medicine.",,,,,,,ذرا صبر کریں، میں آتا ہوں۔,,,,,,,"""جی بابا، ابھی لاتا ہوں۔""",,,,,,
111,بیٹی، ذرا میرے لیے پانی لے آنا۔,جی دادی جان، ابھی لاتی ہوں۔,,,,,,,"""جی امی، ابھی لاتی ہوں۔""",,,,,,,"""Please bring me some water, daughter.""",,,,,,,حتماً بابا، آ رہیں हूँ।,,,,,,,"""جی، والدہ جان، آ رہا ہوں""",,,,,,
