ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation,
60,بزرگ,نوجوان,High,ایک بزرگ سفر سے واپسی پر آپ کے لیے ایک چھوٹا سا تحفہ لاتے ہیں۔,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,4,3,4,4,0,0,"""جی دادی، میں اس کو رکھ لیا گیا، بہت متحمس ہوں۔""",2,2,2,2,0,1,"""جی دادی، آپ کی مہربانی کا شکریہ۔ میں یہ رکھ لوں گا، آپ کو کچھ",2,2,2,1,0,1,"""شکر گزار ہوں، سر!""",1,1,1,1,0,1,"""شکریہ ابو، آپ کی محبت کا بہت شکریہ۔""",4,4,4,4,0,1,
61,قریبی دوست,قریبی دوست,Low,آپ کا قریبی دوست آپ کو کسی کام میں مصروف دیکھ کر مدد کی پیشکش کرتا ہے۔,یار، کچھ مدد چاہیے؟,یار، تم نے پوچھ لیا یہی بہت ہے، ضرورت ہوئی تو ضرور کہوں گا۔,3,4,4,4,0,0,"""نہیں یار، میں خود کر لوں گا، تم فکر نہ کرو۔""",2,2,2,2,0,0,"""جی، ضرورت پڑنے پر میں مدد دینے کے لیے تیار ہوں۔""",1,1,1,1,0,0,"""سر، اب تک کچھ مہربانی نہیں چاہیے۔ آپ کی مدد سے میری حالات ب",2,2,2,1,0,1,جی، ضرورت پڑی تو ضرور کہو، میں ضرور مدد کر دوں گا۔,2,2,2,2,0,0,
62,دوست,دوست,Low,آپ کسی کام میں مصروف ہیں۔ آپ کا دوست آپ کو کام کرتے دیکھ کر مدد کی پیشکش کرتا ہے۔,میں ہاتھ بٹا دوں؟,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔,4,4,4,4,0,0,"""جی، مجھے ضرورت ہے، آپ ضرور ہاتھ بٹائیے۔""",1,1,1,1,0,0,"""جی، میں ہاتھ بٹا دوں گا۔""",1,1,1,0,0,0,"""نہیں، شکریہ! میں خود ہی کر لوں گا، آپ آرام کریں۔""",3,3,3,3,0,0,"""آئے، میں آپ کے ساتھ ہاتھ بٹا دوں گے۔""",0,0,0,0,0,0,
63,پڑوسی,پڑوسی,Medium,آپ کسی گھریلو کام میں مصروف ہیں۔ آپ کے پڑوسی آپ کو مصروف دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,4,4,4,4,0,0,"""کیا ضرورت ہے؟ مجھے بتائیے، میں ضرور مدد کر دوں گا۔""",2,2,2,1,1,1,"""جی، میں آپ کی مدد کرتا ہوں، لیکن اب تک میں خود مکمل کر س",1,1,1,1,0,0,"""شکریہ، بس آپ کی مہربانی کا شکریہ۔""",3,3,3,3,0,0,"""شکریہ، مگر میں خود ہی کر لوں گا۔ آپ آرام کریں۔""",4,4,4,4,0,0,
64,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی کو معلوم ہوتا ہے کہ آپ گھر کے کچھ کاموں میں مصروف ہیں، اس لیے وہ مدد کی پیشکش کرتے ہیں۔,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,4,4,4,4,0,0,"""جی، میں اپنی بہت مہربانی کرتا ہوں، آپ کی ضرورت کے وقت می",2,2,2,2,0,0,"""جی، یقین کریں کہ میں ضرورت کے وقت آپ سے رابطہ کر لوں گا۔""",3,3,3,3,0,0,"""بہت شکریہ، آپ کی مہربانی ہے۔ اگر ضرورت محسوس ہوئی تو ضرور بتاؤں گا۔""",3,3,3,3,0,0,"""جی، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔ باقی سامان میں اٹھا لیتا",2,2,2,2,0,0,
65,بھائی,بہن,Medium,آپ کسی کام میں مصروف ہیں۔ آپ کا بھائی آپ کو پریشان دیکھ کر مدد کی پیشکش کرتا ہے۔,میں تمہارا کام کر دوں؟,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔,4,4,4,4,0,0,"""کیا ضرورت ہے؟ مجھے بتائیے، میں ضرور آپ کی مدد کر دوں گا۔""",2,2,2,1,1,0,"""جی، میں آپ کی مدد میں ہی ٹھیک ہوں۔ لطف کر کے کہاں س",2,2,2,1,0,0,"""کیا ضرورت ہے؟"" (Answer with a question)
""میں تمہارے لیے کچھ کر سکتا �",1,1,1,1,1,0,"""نہیں، شکریہ! میں خود کر لوں گا، آپ آرام کریں۔""",3,3,3,3,0,0,
66,بہن,بھائی,Medium,آپ کسی کام سے باہر جا رہے ہیں۔ آپ کی بہن فکر مندی کے تحت ساتھ چلنے کی پیشکش کرتی ہے۔,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔,4,4,4,4,0,0,"""شکریہ یار، بس تمہاری بہت مہربانی۔ میں یہی سوچ رہی تھی",1,1,1,1,0,1,"""کیا ضرورت ہے؟ میں آپ کو کہیں رکھ کر چھوڑ دیتی ہوں�",1,1,1,0,0,0,"""شکریہ، مگر میں اکیلا ہی چلوں گا، آپ آرام کریں۔""",3,3,3,3,0,0,"""جی، مگر آپ کی بہت مہربانی کافی ہے۔ میں خود مکمل کر لیں",2,2,2,2,0,0,
67,استاد,طالب علم,Medium,آپ کے استاد کلاس کے بعد آپ کو مزید تعلیمی رہنمائی کی پیشکش کرتے ہیں۔,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,4,3,4,4,0,0,"""آپ کی مہربانی کافی ہے، مگر اگر کوئی مسئلہ ہو تو آپ کی رہ",2,2,2,2,0,0,"""شکریہ سر، آپ کی رہنمائی ہمیشہ میرے لیے مددگار رہی ہے۔""",3,3,3,3,0,0,"""جی، آپ کی رہنمائی ضرور حاصل کروں گا، آپ کی تجاویز کا احترام کرتا ہوں�",2,2,2,2,0,0,"""جی سر، آپ کی رہنمائی کے بغیر میں یہ کام مکمل نہ کر پا سکتا تھا۔ آپ کی",2,2,2,2,0,0,
68,استاد,طالب علم,Medium,کلاس کے دوران استاد محسوس کرتے ہیں کہ شاید طالب علم کو ایک تصور سمجھنے میں دشواری ہو رہی ہے، اس لیے وہ مزید وضاحت کی پیشکش کرتے ہیں۔,کیا میں اس حصے کی مزید وضاحت کر دوں؟,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,4,4,4,4,0,0,"""جی، اگر آپ مزید وضاحت کر دیں تو بہت بہتر ہوگا۔""",3,3,3,3,0,0,"""جی، اگر آپ کو یقین ہو کہ یہ حصہ صحیح طریقے سے پیش نہیں کیا",2,2,2,2,0,0,"""جی، بہت معلوماتی ہے۔ مزید وضاحت کر دیں گے۔""",1,1,1,1,0,0,جی، یقیناً، میں سمجھنے کے لیے مزید وضاحت کرنے کے لیے تیار,2,2,2,2,0,0,
69,قریبی دوست,قریبی دوست,Low,آپ کسی کام کی وجہ سے پریشان نظر آ رہے ہیں۔ آپ کا قریبی دوست فوراً مدد کی پیشکش کرتا ہے۔,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔,4,4,4,4,0,0,"""کیا ضرورت ہے کہ میں آپ کو بتاؤں کہ میں کیا کرسکتا ہو�",2,2,2,1,1,0,"""شکریہ دوست، مگر میں خود ہی کر لوں گا۔ تم بس آرام کرو۔""",2,2,2,2,0,0,"""شکریہ یار، آپ کی مہربانی میرے لیے بہت اہم ہے۔ میں اپ",2,2,2,2,0,0,"""میں تمہارے اعتماد کو قبول کرتا ہوں۔""",3,3,3,3,0,0,
70,قریبی دوست,قریبی دوست,Low,آپ ایک مسئلے کی وجہ سے پریشان ہیں۔ آپ کا قریبی دوست آپ کو تسلی دینے کی کوشش کرتا ہے۔,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔,4,4,4,4,0,0,"""جی، بس اب کافی ہو گیا، کچھ دیر آرام کر لے۔ باقی سامان میں اٹھا لیتا",2,2,2,1,0,0,"""شکریہ یار، آپ کی مہربانی میرے لیے بہت اہم ہے۔""",2,2,2,2,0,0,"""شکریہ دوست، تمہاری باتوں سے حوصلہ ملتا ہے۔""",3,3,3,3,0,0,"""جی یار، آپ کی یہ بات بہت اچھی ہے، ہم سب ٹھیک ہو جائی",2,2,2,2,0,0,
71,ماں,بیٹا,High,آپ گھر کے ایک کام میں مصروف ہیں۔ آپ کی والدہ آپ کو تھکا ہوا دیکھ کر مدد کی پیشکش کرتی ہیں۔,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,3,4,4,4,0,0,"""نہیں، آپ کی مہربانی، میں خود کر لوں گا۔ آپ آرام کریں۔""",3,3,3,3,0,0,کیا یار، تم کافی تھک گئے ہو؟ مجھے بھی یہی سوچتا ہوں,2,2,2,2,0,1,"""نہیں، بس ابھی تک میں نے کچھ زیادہ کیا ہے، بس ابھی کچھ",2,2,2,1,0,0,"""جی، ممکنہ ہے۔ آپ کی مہربانی میرے لیے بہت اہم ہے، لی",1,1,1,1,0,0,
72,والد,بیٹا,High,آپ گھر کے ایک اہم کام میں مصروف ہیں۔ آپ کے والد آپ کو اکیلے کام کرتے دیکھ کر مدد کی پیشکش کرتے ہیں۔,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔,4,4,4,4,0,0,شکریہ! آپ کی مدد سے یہ کام جلدی ہو جائے گا۔,2,2,2,2,0,0,"""جی، میں اکیلے کر رہا ہوں، لیکن آپ کی مہربانی میں کس",1,1,1,1,0,0,"""جی، آپ کی بہت مہربانی۔ میں یہ کام خود ہی کر لوں گا، آپ کو یہ",2,2,2,2,0,0,"""جی، میں پہلے یہی کام مکمل کر دیتا ہوں۔""",2,2,2,2,0,0,
73,سینئر,جونیئر,High,آپ دفتر میں ایک کام پر کام کر رہے ہیں اور کچھ دشواری محسوس کر رہے ہیں۔ آپ کے سینئر آپ کی صورتحال دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔,4,4,4,4,0,0,"""جی سر، بس ابھی کچھ وقت درکار ہے، پھر میں یہ کام خود مکمل کر لوں گا�",3,3,3,2,0,0,"""شکریہ، مگر میں یہ خود ہی کر لوں گا۔ آپ فکر نہ کریں۔""",3,3,3,3,0,0,"""جی، میں آپ کی جانب سے مشکل کیا نہیں جا سکتا، مگر اگر کسی وقت",1,1,1,1,0,0,"""کیا ضرورت ہے، چلو میں خود اس کو سنبھالتا ہوں۔""",1,1,1,1,0,1,
74,کزن,کزن,Low,آپ ایک ذاتی یا تعلیمی مسئلے کی وجہ سے پریشان ہیں۔ آپ کا کزن آپ کو تسلی دیتے ہوئے اپنی حمایت کا اظہار کرتا ہے۔,میں تمہارے ساتھ ہوں، فکر مت کرو۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,3,3,4,4,0,0,"""شکر ہے، بس ابھی تمہارے ساتھ ہونا کافی ہے۔""",2,2,2,2,0,0,"""مریے ساتھ ہوں، آپ کی مدد کر رہا ہوں، فکر نہ کریں۔""",1,1,1,1,0,0,"""کیا بات ہے، بھائی؟ میں بھی یہی سوچتا تھا کہ تم مجھے اپن",2,2,2,2,0,0,"""شکریہ، تمہاری حمایت میرے لیے بہت اہم ہے۔""",3,3,3,3,0,0,
75,کزن,کزن,Low,آپ ایک کام کر رہے ہیں لیکن رفتار سست ہے۔ آپ کا کزن سمجھتا ہے کہ وہ یہ کام بہتر طریقے سے کر سکتا ہے، اس لیے مداخلت کرتے ہوئے مدد کی پیشکش کرتا ہے۔,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔,4,4,4,4,0,0,"""نہیں یار، تم نے پہلے ہی بہت کیا ہے، میں خود ہی کر لوں گا۔""",3,3,3,3,0,0,"""کیا ضرورت ہے، یار؟ میں نے کچھ دنوں سے اپنی کاروباری سرگرمیو�",1,1,1,1,0,0,"""جی، میں رہتا ہوں۔ بس وقت کا خیال رکھو، اور میں سنبھال لیت",2,2,2,1,0,0,"""جی یار، آپ کی مہربانی کافی ہے، مگر میں بھی آرام کر رہا",1,1,1,1,0,0,
76,قریبی دوست,قریبی دوست,Low,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست اصرار کرتا ہے کہ وہ ادائیگی کرے گا۔,یار، رہنے دو، آج بل میری طرف سے ہے۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,4,4,4,4,0,0,"""کیا بات ہے یار، مجھے بھی کھانے کا اشتیاق ہے۔ آج آنا",2,2,2,2,0,0,نہیں یار، تمہاری مہربانی، مگر آج مجھے یہ موقع دو، بل میں ہی ادا کروں گا۔,3,3,3,3,0,0,"""جی یار، آج کی بنیادی کامیابی کی خوشی میں آپ کی طلبہ کی صداقت",1,1,1,0,0,0,"""جی سر، بس ابھی کچھ وقت دینا چاہتا تھا، پھر آئیں گے۔""",0,0,0,0,0,1,
77,قریبی دوست,قریبی دوست,Low,آپ اور آپ کا قریبی دوست ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست مزاحیہ انداز میں ادائیگی کی ذمہ داری اپنے اوپر لینے پر اصرار کرتا ہے۔,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,4,4,4,4,0,0,"""جی یار، تمہاری بہت مہربانی ہے۔ مجھے کچھ ضرورت نہیں",2,2,2,2,0,0,"""سر، آپ کی مہربانی کافی ہے۔ مگر آپ کی طرف سے کچھ بھی نہیں",2,2,2,2,0,1,شکریہ دوست، تمہاری مہربانی ہے، مگر میں بھی کچھ دینا چاہتا ہوں۔,2,2,2,2,0,0,"""شکریہ یار، بس تمہاری بہت مہربانی۔""",2,2,2,2,0,0,
78,پڑوسی,پڑوسی,Medium,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں ادائیگی کی ذمہ داری لینا چاہتے ہیں۔,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,4,4,4,4,0,0,"""جیا سі، آج کا بل آپ کی مہربانی سے مکمل ہو گا۔""",2,2,2,1,1,0,"""بہت شکری۔ تمہاری بہت مہربانی۔""",1,1,1,1,0,1,"""نہیں، آپ کی مہربانی ہے، مگر آج مجھے یہ موقع دینا ہے۔""",3,3,3,3,0,0,جی، ضرور، کھائے جاؤ، میں نے کھانا تیار کیا ہے۔,0,0,0,0,0,0,
79,پڑوسی,پڑوسی,Medium,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل کی ادائیگی کے بارے میں بات کر رہے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں بل ادا کرنے کی پیشکش کرتے ہیں۔,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔,4,4,4,4,0,0,"""جی، بل ادا کرنا چاہیے، لیکن یہ مجھے اپنی جائے کاروبار میں ہ",2,2,2,1,1,0,"""جی، میں بل ادا کر دینا پسند کروں گا۔""",1,1,1,1,0,0,"""نہیں، آپ کی مہربانی ہے، میں خود ہی بل ادا کر لیتا ہوں۔""",3,3,3,3,0,0,"""جی، میں آپ کی تجاویز کے مطابق بل ادا کر دیتا ہوں۔""",1,1,1,0,0,0,
80,بھائی,بہن,Medium,آپ اور آپ کے بھائی ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا بھائی محبت سے ادائیگی اپنے ذمے لینا چاہتا ہے۔,تم مت نکالو، آج بل میری طرف سے ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,4,4,4,4,0,0,"""جی، میں آ آیا۔ آپ کی مدد سے میں ایسی نکالنے کی قدرت پیدا",1,1,1,1,0,1,"""کیا کرنے دوں، چلو، کھانا تیار ہے، آئیے کھائے اور فخر ک",1,1,1,0,0,0,"""نہیں یار، تمہاری مہربانی، مگر آج میں بل ادا کروں گا۔""",3,3,3,3,0,0,"""آپ کی بہت مہربانی سر، مگر مجھے یہ موقع دینے کے لیے بہت شکری",1,1,1,0,0,1,
81,بڑی بہن,بھائی,Medium,آپ اپنی بڑی بہن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ وہ محبت سے ادائیگی اپنے ذمے لینے کی پیشکش کرتی ہیں۔,میں بل دے دیتی ہوں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔,4,4,4,4,0,0,"""نہیں، آپ کی مہربانی، میں خود ہی بل ادا کر لوں گا۔""",3,3,3,2,0,0,"""جی، میں بل دے دیتا ہوں۔""",1,1,1,1,0,0,"""کیا ضرورت ہے؟ آئیے آج رات کو ضرورت ہو تو کہیں کہیں",1,1,1,0,0,0,"""جی، آپ کی مہربانی کافی ہے۔ میں اپنے بیٹی کے لیے بہت خ",1,1,1,1,0,1,
82,استاد,طالب علم,Medium,ایک تعلیمی ملاقات کے بعد آپ اپنے استاد کے ساتھ چائے پینے گئے ہیں۔ بل آنے پر استاد ادائیگی اپنے ذمے لینے پر اصرار کرتے ہیں۔,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,4,4,4,4,0,0,"""بہت شکریہ، آپ کی مہربانی ہے۔ میں آپ کی دعوت کا لطف اٹھاؤں گا۔""",2,2,2,1,1,0,"""جی، آج آپ کے مہمان ہوں، بہت مبارک ہو۔ آپ کی کرم کو بہت ش",2,2,2,1,0,0,"""شکریہ، سر، آپ کی بہت مہربانی۔ بس کچھ وقت کا فرق ہوا، بس اتنا ک�",1,1,1,1,0,0,"""جی، آپ کی مہمان نوازی کا شکریہ۔ میں آپ کی دعوت کو قبول کرتا ہوں۔",2,2,2,1,0,0,
83,استاد,طالب علم,Medium,استاد دوستانہ لیکن پُرعزم انداز میں بل ادا کرنے پر اصرار کرتے ہیں۔,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,4,4,4,4,0,0,"""بہت بہتر ہے، بس آئندہ اپنے وقت کو زیادہ سے زیادہ استعمال کرن",2,2,2,1,0,0,"""ٹھیک ہے، مگر آپ کی مہربانی کو میں کبھی نہیں بھولوں گا۔""",3,3,3,3,0,0,"""جی، آج کل کے لیے میں بل میں ادا کر دیتا ہوں۔""",1,1,1,1,0,0,"""جی، بہت اچھا، آج کھانا کروں گا۔""",1,1,1,1,0,0,
84,دوست,دوست,Low,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل کی ادائیگی پر بحث کر رہے ہیں۔ آپ کا دوست پُرزور انداز میں ادائیگی اپنے ذمے لینے پر اصرار کرتا ہے۔,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,4,4,4,4,0,0,"""جی، بس ابھی کے وقت کے لیے یہی کافی ہے۔
اگلے موسم میں",0,0,0,0,0,0,"""کیا بات ہوئی، کچھ بتا دیجئے، مجھے معلوم نہیں ہوا۔""",2,2,2,1,0,0,"""ٹھیک ہے، مگر اگلی بار میں اپنا حصہ دوں گا۔""",2,2,2,2,0,0,"""سر، آج کی بات ختم ہو جا۔ میں بل کو بھی بھر دیتا ہوں۔""",2,2,2,2,0,1,
85,دوست,دوست,Low,آپ بل ادا کرنا چاہتے ہیں، لیکن آپ کا دوست آپ کی پیشکش کو رد کرتے ہوئے خود ادائیگی پر اصرار کرتا ہے۔,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔,4,4,4,4,0,0,"""جی، آپ کی مہربانی کافی ہے، مگر میں بھی کچھ کام کر سکتا",2,2,2,2,0,0,"""شکر ہے، بس ابھی آئی۔ تمہاری بہت مہربانی۔""",1,1,1,1,0,1,"""کیا ضرورت ہے، یار، تمہیں بل دینے کی؟ مجھے یہی یقین ہ",2,2,2,2,0,0,"""شکریہ، مگر میں چاہتا ہوں کہ آج کا بل میں خود ادا کروں۔""",3,3,3,3,0,0,
86,والد,بیٹا,High,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لیتے ہیں۔,بیٹا، آج کا بل میں ادا کروں گا۔,جی ابو، جیسا آپ مناسب سمجھیں۔,3,4,4,4,0,0,"""جی ہاں، آج کا بل میں ہی ادا کر لیا گا۔""",2,2,2,1,0,0,"""جی، بہت احسن، آپ کو بہت مبارک ہو۔""",1,1,1,0,0,0,"""شکر ہے، سر!""",1,1,1,1,0,1,"""شکریہ ابو، مگر میں خود ہی بل ادا کرنا چاہتا ہوں۔""",4,4,4,4,0,0,
87,والد,بیٹا,High,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ آپ کے اخراجات کا خیال رکھتے ہوئے ادائیگی کرنا چاہتے ہیں۔,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,4,4,4,4,0,0,"""جی، آپ کی مہربانی کافی ہے۔ مونږ، آپ کا کام مکمل ہو جائے۔",1,1,1,0,0,0,"""کیا یار، تمہیں پتہ نہیں کہ یہ میرا پیسہ ہے",0,0,0,0,1,1,"""نہیں، آپ کی مہربانی، میں خود ہی ادا کر لوں گا۔""",2,2,2,2,0,0,"""کیا ممکن ہے کہ آپ مجھے بل دینے کے بجائے اپنے بل کو ادا کر دیں",1,1,1,0,0,0,
88,سینئر,جونیئر,High,ایک پیشہ ورانہ ملاقات کے بعد آپ اپنے سینئر کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لے لیتے ہیں۔,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔,4,4,4,4,0,0,"""میں سمجھتا ہوں، سر، لیکن مجھے یقین ہے کہ آپ کو یہ معل",1,1,1,1,0,0,"""جی، یقیناً دیکھیں گا، آپ کی صلاحیتوں پر اعتماد ہے۔""",0,0,0,0,0,0,"""شکریہ سر، مگر میں چاہتا ہوں کہ یہ بل میں ہی ادا کروں۔""",2,2,2,2,0,0,"""جی، ممکنہ ہے۔ میں اپنے کام کو میکس کرکے صرف بھی دیک",1,1,1,1,0,0,
89,کزن,کزن,Low,آپ اپنے کزن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن دوستانہ انداز میں ادائیگی اپنے ذمے لینے کی پیشکش کرتا ہے۔,آج کھانا میری طرف سے، تم بس آرام کرو۔,بہت شکریہ، لیکن بل بانٹ لیتے ہیں، یہی بہتر رہے گا۔,4,4,4,4,0,0,"""شکریہ، آپ کی مہربانی ہے، مگر میں کچھ نہ کچھ بناؤں گی۔""",2,2,2,1,0,0,"""شکریہ سر، بس یہی کافی ہے۔""",2,2,2,2,0,1,"""جی، آپ کی مہربانی کافی ہے۔ میں آج آرام کر لیں گے۔""",2,2,2,2,0,0,"""جی، آپ کی مہربانی، مگر ابھی کھانے کو تیار کروں گی، آپ کو بھی کھانا پسند",1,1,1,1,0,0,
90,کزن,کزن,Low,آپ اور آپ کا کزن کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن خرچ برابر تقسیم کرنے کی تجویز دیتا ہے۔,یار، بل آدھا آدھا کر لیتے ہیں۔,ارے نہیں، آج مجھے موقع دو، اگلی بار تم حساب برابر کر دینا۔,4,4,4,4,0,0,"""یار، آدھا آدھا کرنا بھی اچھا ہے۔ میں آپ کی جانب سے بہت ش",2,2,2,1,0,0,"""کیا ضرورت ہے، یار؟ پورا کر لیتے ہیں، آپ کو کوئی فکر نہیں",3,3,3,3,0,0,"""ٹھیک ہے، یہ اچھا رہے گا۔""",4,4,4,4,0,0,"""جی، میں نے ابھی بل کاٹ لیا ہے۔""",2,2,2,2,0,0,
91,دادا,پوتا,High,آپ کے دادا بازار جانے کی تیاری کر رہے ہیں اور چاہتے ہیں کہ آپ ان کے ساتھ چلیں۔,میرے ساتھ بازار چلو گے؟,جی دادا جان ضرور چلوں گا۔,4,4,4,4,0,0,"""جی، میں آیا گا، میں تیزی سے آ آں گا۔""",1,1,1,1,0,0,"""جی، چلو، میں آپ کے ساتھ ہی چلا جاؤں گا۔""",3,3,3,3,0,1,"""جی، کیوں نہیں! چلیں، کچھ خریداری کر لیتے ہیں۔""",3,3,3,3,0,0,"""جی، میں آپ کے ساتھ چلا جاؤں گا۔ بس وقت نکالیں، میں آپ کو منتظر ر�",3,3,3,3,0,0,
