ID,Power_Distance,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
59,Low,قریبی دوست,قریبی دوست,دوست کسی سفر سے واپسی پر پ کو کوئی تحفہ دیتا ہے۔,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔,,,,,,,"""نہیں نہیں، بھلا کر دو، میں نے تو بس تھوڑا سا کچن ل",,,,,,,یار، میری تیزی سے واپسی کی طرف سے چند گلے بھی لیا آیا ہ,,,,,,,"""میرے پاس بہت ساری چیزیں ہیں جو میں نے خریدی تھیں اور مجھے",,,,,,,"""واہ، یہ تو بہت اچھا ہے! تمہاری محبت کا شکریہ، مجھے پسند آیا!""",,,,,,
60,High,بزرگ,نوجوان,ایک بزرگ سفر سے واپسی پر آپ کے لیے ایک چھوٹا سا تحفہ لاتے ہیں۔,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,,,,,,,بس، بابتیا جانتا ہوں کہ آپ مجھے لیکर کتنا دلچسپی سے تیjar کرتے,,,,,,,شکر ہوگا بزرگ صاحب، آپ کی محبت اور پیار کا یہ تحفہ مجھے بہت خوشی دیت,,,,,,,"""شکر گزار ہوں، ابو جان!"" (ابو جان = والد کی طرف سے) [1] [2]
[1] نوجوان کو",,,,,,,"""بہت شکریہ، دادا جی! آپ کی محبت اور خیال رکھنے کا بہت احسان ہے۔""",,,,,,
61,Low,قریبی دوست,قریبی دوست,آپ کا قریبی دوست آپ کو کسی کام میں مصروف دیکھ کر مدد کی پیشکش کرتا ہے۔,یار، کچھ مدد چاہیے؟,یار، تم نے پوچھ لیا یہی بہت ہے، ضرورت ہوئی تو ضرور کہوں گا۔,,,,,,,"""نہیں یار، میں ٹھیک ہوں، لیکن تمہاری مدد کی پیشکش کا شکریہ! تھوڑا سا کام ہے، پھر چائے پئیں گے؟""",,,,,,,"""جی ہاں، مجھے یہ کتاب تلاش کرنے میں مشکل ہو رہی ہے�",,,,,,,یار، میں آپ کیلئے کام کر رہا ہوں جس میں مدد مانگنا چاہئ,,,,,,,"""نہیں نہیں، میں تھوڑی دیر میں ہی تمام کر دوں گا،",,,,,,
62,Low,دوست,دوست,آپ کسی کام میں مصروف ہیں۔ آپ کا دوست آپ کو کام کرتے دیکھ کر مدد کی پیشکش کرتا ہے۔,میں ہاتھ بٹا دوں؟,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔,,,,,,,"""نہیں نہیں، میں خود اس پر کام کر رہا ہوں، لیکن شکریہ!""",,,,,,,"""نہیں، بس اتنا ہی کافی ہے."" (Answer)
'''
Answer: ""نہیں، بس اتنا",,,,,,,"""نہیں یار، تمہیں فکر کرنے کی ضرورت نہیں، میں خود کر لوں گا۔ لیکن شکریہ!""",,,,,,,تیری کام کرنے کی صلاحیتوں کو نظرانے کرتا ہوں، اگر تیری کام کرنا,,,,,,
63,Medium,پڑوسی,پڑوسی,آپ کسی گھریلو کام میں مصروف ہیں۔ آپ کے پڑوسی آپ کو مصروف دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,,,,,,,"""نہیں نہیں، آپ کو بھی کچھ کام ہوگا، مجھے خود ہی کر",,,,,,,میں آپ کی جانب سے مل کر کام کرنا چاہتا ہوں، اگر آپ کیسے مدد,,,,,,,"""کیا آپ کو مدد کی ضرورت ہے؟""
'''
Answer: ""کیا آپ کو مدد کی ضرورت ہے؟"" (پ�",,,,,,,بہت مہربانی، لیکن میں خود ہی کر لوں گا۔ آپ کا شکریہ!,,,,,,
64,Medium,پڑوسی,پڑوسی,آپ کے پڑوسی کو معلوم ہوتا ہے کہ آپ گھر کے کچھ کاموں میں مصروف ہیں، اس لیے وہ مدد کی پیشکش کرتے ہیں۔,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,,,,,,,میری طرف سے بہت شکریہ، لیکن میں کئی کاموں میں قدرتی طور پ,,,,,,,"""شکر ہوگا، ابھی تو سب ٹھیک ہے، لیکن اگر ضرورت ہو تو مجھے اپ",,,,,,,"""بہت شکریہ! آپ کی مدد کی پیشکش واقعی بہت خوش آئند ہے۔ اگر ضرورت محسوس ہوئی تو ضرور بتاؤں گا۔""",,,,,,,"""کیا آپ کو مدد کی ضرورت ہے؟""
'''
Answer: ""اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دی",,,,,,
65,Medium,بھائی,بہن,آپ کسی کام میں مصروف ہیں۔ آپ کا بھائی آپ کو پریشان دیکھ کر مدد کی پیشکش کرتا ہے۔,میں تمہارا کام کر دوں؟,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔,,,,,,,"""کیا ضرورت ہے، ابھی تو مجھے کچھ نہیں مل رہا تھا، لیکن اگر",,,,,,,میری طاقت کافی نہیں ہے جس کے لئے تیری مدد ضروری ہے، لیکن م,,,,,,,"""نہیں، بس اتنا ہی کافی ہے۔"" <<b1>>ب1
'''
Answer: 'نہی",,,,,,,"""نہیں، تمہیں پریشان کرنے کا نہیں، میں خود کر لوں گی۔ لیکن شکریہ!""",,,,,,
66,Medium,بہن,بھائی,آپ کسی کام سے باہر جا رہے ہیں۔ آپ کی بہن فکر مندی کے تحت ساتھ چلنے کی پیشکش کرتی ہے۔,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔,,,,,,,"""شکریہ، لیکن مجھے اپنا وقت خود سنبھالنا پڑتا ہے۔""
'''
### English
You are role",,,,,,,"""نہیں بہن، بس خود کو محفوظ رکھنا، مجھے ابھی کام پر جانا ہے،",,,,,,,نہیں، تمہیں گھر پر رہنا چاہیے۔ میں جلدی واپس آ جاؤں گا، تم فکر مت کرو۔,,,,,,,میری بہن، میں نے اس کام سے لیجے ہوئے کچھ خواہشیں ہیں,,,,,,
67,Medium,استاد,طالب علم,آپ کے استاد کلاس کے بعد آپ کو مزید تعلیمی رہنمائی کی پیشکش کرتے ہیں۔,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,,,,,,,میری کلاس میں بھی ایسی فضیلت ہے جس میں آپ کی رہنمائی کو است,,,,,,,"""شکریہ استاد، آپ کی مدد میرے لیے بہت اہم ہے۔ میں آپ سے کچھ سوالات کرنا چاہتا ہوں۔""",,,,,,,شکر ہوتا، اسکالر شپ کے دوران مجھے بہت ساری چیلنجز کا سامنا کرنا پ�,,,,,,,"""جی، مجھے ایک خاص موضوع پر مزید مدد کی ضرورت ہے.""

استاد:
""تو آئیے اس پر تبادل�",,,,,,
68,Medium,استاد,طالب علم,کلاس کے دوران استاد محسوس کرتے ہیں کہ شاید طالب علم کو ایک تصور سمجھنے میں دشواری ہو رہی ہے، اس لیے وہ مزید وضاحت کی پیشکش کرتے ہیں۔,کیا میں اس حصے کی مزید وضاحت کر دوں؟,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,,,,,,,جی، براہ کرم! مجھے اس تصور کو سمجھنے میں تھوڑی مشکل ہو رہی ہے۔ آپ مزید وضاحت کر دیں تو بہت مہربانی ہوگی۔,,,,,,,"""جی، براہ مہربانی."" (Answer)]] 

## 2
You are role-playing the specified speaker. Generate a natural Urdu response that fits the speaker's",,,,,,,بلکہ، آپ کی مدد کरنا ممکنہ ہے۔,,,,,,,جی، بہت ضروری ہے، میں نے پورا حصہ سنا لیکن ابھی تک سمجھ نہی,,,,,,
69,Low,قریبی دوست,قریبی دوست,آپ کسی کام کی وجہ سے پریشان نظر آ رہے ہیں۔ آپ کا قریبی دوست فوراً مدد کی پیشکش کرتا ہے۔,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔,,,,,,,"""نہیں نہیں، بھلا، مجھے اپنی زندگی میں چھوٹا سا معاملہ",,,,,,,"""بہت شکریہ، یار! تمہاری مدد کی واقعی ضرورت ہے۔""",,,,,,,میری کامیابی کیا جائے گیا، میرے لیے ایک مددگار دوست ہے آپ,,,,,,,"""نہیں، بس تمہاری مدد چاہتا تھا۔""
'''
The speaker is your close friend. The listener is also your close",,,,,,
70,Low,قریبی دوست,قریبی دوست,آپ ایک مسئلے کی وجہ سے پریشان ہیں۔ آپ کا قریبی دوست آپ کو تسلی دینے کی کوشش کرتا ہے۔,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔,,,,,,,"""میرے دوست، میں سمجھتا ہوں کہ یہ مشکل وقت ہے لیکن یاد رکھو ک",,,,,,,یار، میری مدد کر کے بیان کر سکتے ہیں کیا واقعی مسئلہ ہے؟,,,,,,,"""میں جانتا ہوں، لیکن کبھی کبھی سب کچھ بہت بھاری لگتا ہے۔ تمہاری باتیں سن کر تھوڑا سکون ملتا ہے۔""",,,,,,,"""نہیں یار، میں تو بہت پریشان ہو رہا ہوں، مجھے",,,,,,
71,High,ماں,بیٹا,آپ گھر کے ایک کام میں مصروف ہیں۔ آپ کی والدہ آپ کو تھکا ہوا دیکھ کر مدد کی پیشکش کرتی ہیں۔,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,,,,,,,"""نہیں ماں، آپ کو زحمت کرنے کی ضرورت نہیں، میں خود کر لوں گا۔""",,,,,,,"""نہیں ماں جی، مجھے چھوڑنا نہیں پڑے گا، یہ سب",,,,,,,"""نہیں، بس ابھی چلو، مجھے یہ خود کرنا ہے۔"" (Answer)
'''
Answer: ن",,,,,,,میری والدہ، تم نے مجھ سے کتنا آرام دینا چاہا تھا، میں صرف کچھ کام,,,,,,
72,High,والد,بیٹا,آپ گھر کے ایک اہم کام میں مصروف ہیں۔ آپ کے والد آپ کو اکیلے کام کرتے دیکھ کر مدد کی پیشکش کرتے ہیں۔,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔,,,,,,,"""نہیں ابو، آپ کو تکلیف کرنے کی ضرورت نہیں ہے۔ میں خود کر لوں گا۔""",,,,,,,میری میز کچل کا نسل کرنے کے لئے تمام وقت نہیں ہے، والد جانتے ہیں,,,,,,,"""نہیں پاپا، یہ تو میرا کام ہے، مجھے خود کرنا ہی چاہ",,,,,,,"""نہیں، بس اتنا ہی کافی ہے، میں نے یہ کام خود کر لیا ہ",,,,,,
73,High,سینئر,جونیئر,آپ دفتر میں ایک کام پر کام کر رہے ہیں اور کچھ دشواری محسوس کر رہے ہیں۔ آپ کے سینئر آپ کی صورتحال دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔,,,,,,,"""شکریہ، لیکن مجھے اپنے کام کو مکمل کرنا چاہئے تاکہ میں اسے سم",,,,,,,"""آپ کا بہت شکریہ، یہ واقعی میری مدد کرے گا۔""",,,,,,,میری کوششوں میں بھی کچھ نہیں چلتا، آپ کی مدد کی جارہی ہے,,,,,,,"""شکر ہوتا، آپ کی مدد سے بہت فائدہ ہوگا۔ لیکن مجھے چا",,,,,,
74,Low,کزن,کزن,آپ ایک ذاتی یا تعلیمی مسئلے کی وجہ سے پریشان ہیں۔ آپ کا کزن آپ کو تسلی دیتے ہوئے اپنی حمایت کا اظہار کرتا ہے۔,میں تمہارے ساتھ ہوں، فکر مت کرو۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,,,,,,,"""تمہاری مدد کرنے کے لئے میں یہاں ہوں۔""
'''
### 2",,,,,,,میری مدد کرنا چاہتا ہوں، کسی کیسے مدد کر سکتا ہوں؟,,,,,,,"""نہیں بھائی، میں تو ٹھیک ہوں، بس یہ سب کچھ کیا کر دیا ج",,,,,,,"""شکریہ! تمہاری حمایت میرے لیے بہت اہم ہے۔""",,,,,,
75,Low,کزن,کزن,آپ ایک کام کر رہے ہیں لیکن رفتار سست ہے۔ آپ کا کزن سمجھتا ہے کہ وہ یہ کام بہتر طریقے سے کر سکتا ہے، اس لیے مداخلت کرتے ہوئے مدد کی پیشکش کرتا ہے۔,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔,,,,,,,"""نہیں یار، میں خود کر رہا ہوں، بس تھوڑا وقت لگ رہا ہے۔ لیکن اگر تمہاری مدد کی ضرورت ہوئی تو بتاؤں گا۔""",,,,,,,"""نہیں نہیں، بس میں چھوٹا کام کر رہا تھا، تم کو مجھ پر بوج",,,,,,,"""کیسے؟""
'''
Answer: ""میں سنبھال لوں گا!"" کزن نے جواب دیا۔
'''",,,,,,,میں آپ کیلئے سریلنگ تھیک کر دے گا۔,,,,,,
76,Low,قریبی دوست,قریبی دوست,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست اصرار کرتا ہے کہ وہ ادائیگی کرے گا۔,یار، رہنے دو، آج بل میری طرف سے ہے۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,,,,,,,"""نہیں نہیں، یار، میں نے بتایا تھا کہ مجھے بھی اد",,,,,,,"""نہیں یار، میں نے پہلے ہی سوچ لیا تھا کہ میں آج بل دوں گا۔ تمہیں ہمیشہ میری طرف سے کھانا کھانے کا موقع ملنا چاہیے!""",,,,,,,میں نے بتایا ہے کہ میں بل دے رہا ہوں، تو آپ نے کیا کہا؟,,,,,,,"""یار، مجھے یقین نہیں ہے کہ تم اس بارے میں اتنا پرعزم کیو",,,,,,
77,Low,قریبی دوست,قریبی دوست,آپ اور آپ کا قریبی دوست ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست مزاحیہ انداز میں ادائیگی کی ذمہ داری اپنے اوپر لینے پر اصرار کرتا ہے۔,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,,,,,,,"""نہیں بھائی، مجھے تو یہاں آئے کے پہلے سے بتای",,,,,,,میری طرف سے ہے، ویلیم، میں نے تھوڑا سا بچا کر دیا ہے,,,,,,,"""نہیں یار، تم نے پچھلی بار بھی بل ادا کیا تھا! آج میں ہی دیتا ہوں، تم بس اپنی پسند کا کھانا کھاؤ۔""",,,,,,,"""کیوں نہیں؟ یہ صرف ایک بل ہے، بس اسے ادا کر دو!"" 

قریبی دوست:",,,,,,
78,Medium,پڑوسی,پڑوسی,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں ادائیگی کی ذمہ داری لینا چاہتے ہیں۔,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,,,,,,,مجھے بھی اس لئے شکریہ، آپ نے خوب کام کیا ہے۔,,,,,,,"""بالکل نہیں، یہ میرا کام تھا۔ تمہارا شکریہ۔""
'''
Answer: ""بالکل ن",,,,,,,"""نہیں، یہ تو میری طرف سے ہے۔ آپ نے بھی تو میرے گھر کھانا کھایا ہے، اس لیے آج میں ہی ادا کرتا ہوں۔""",,,,,,,"""نہیں نہیں، بھلا ہو گئی؟ مجھے یقین ہے تمہ",,,,,,
79,Medium,پڑوسی,پڑوسی,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل کی ادائیگی کے بارے میں بات کر رہے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں بل ادا کرنے کی پیشکش کرتے ہیں۔,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔,,,,,,,"""کیا ضرورت ہے، بھائی؟ آئیے اپنی مرضی کے مطابق کر لیجیے۔""",,,,,,,"""مجھے یقین نہیں آ رہا، آپ واقعی بل ادا کرنا چاہتے ہیں",,,,,,,"""آپ کی یہ پیشکش بہت مہربانی ہے، لیکن میں بھی اپنا حصہ دینا چاہوں گا۔ ہم نے مل کر کھانا کھایا ہے، تو بل بھی مل کر ہی ادا",,,,,,,میں نے اسی طرح کی بہترین تیزی سے ادا کی ہے جس کے باوجود آپ کو ا,,,,,,
80,Medium,بھائی,بہن,آپ اور آپ کے بھائی ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا بھائی محبت سے ادائیگی اپنے ذمے لینا چاہتا ہے۔,تم مت نکالو، آج بل میری طرف سے ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,,,,,,,میں کچھ نہیں، تیری بہن ہوں جس کی ہیں ذمت۔ میں بل دیادے,,,,,,,"""نہیں بھائی، یہ تو تمہارا دن تھا، مجھے پتہ نہیں کیا",,,,,,,"""نہیں بھائی، میں بھی کچھ دینا چاہتی ہوں۔ یہ تو ہماری خوشی کا موقع ہے!""",,,,,,,"""تم نے پہلے ہی بتایا تھا کہ تم بل ادا کرنا چاہتے ہ",,,,,,
81,Medium,بڑی بہن,بھائی,آپ اپنی بڑی بہن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ وہ محبت سے ادائیگی اپنے ذمے لینے کی پیشکش کرتی ہیں۔,میں بل دے دیتی ہوں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔,,,,,,,"""نہیں، بڑی بہن، آپ نے پہلے ہی بہت کچھ کیا ہے۔ آج مجھے دے دیں، اگلی بار آپ کا بل میں دوں گا۔""",,,,,,,"""تمہارا شکریہ، لیکن میں اس پر قبضہ نہیں کرنا چاہتا۔ تمہاری",,,,,,,"""نہیں بہن، میں خود دیتا ہوں، آپ کو کچھ نہ کرو.""",,,,,,,میں نے آپ کی مدد سے کئی بار بل دیا ہے، آپ کی طرف سے بھی محسوس,,,,,,
82,Medium,استاد,طالب علم,ایک تعلیمی ملاقات کے بعد آپ اپنے استاد کے ساتھ چائے پینے گئے ہیں۔ بل آنے پر استاد ادائیگی اپنے ذمے لینے پر اصرار کرتے ہیں۔,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,,,,,,,"""لیکن استاد، میں چاہتا ہوں کہ میں بھی اس میں حصہ لوں۔ یہ میری طرف سے آپ کا شکریہ ادا کرنے کا ایک طریقہ ہے۔""",,,,,,,بل جانتے ہیں، استاد جس کے ذمے لینے میں میں کو خوشی آئی۔,,,,,,,"""شکریہ استاد، لیکن مجھے یقین ہے کہ آپ کو بل دینا پسند ہوگا۔""",,,,,,,استاد صاحب، آپ کو بہت معاف کیا جاتا ہے لیکن مجھے یقین ہے کہ آپ,,,,,,
83,Medium,استاد,طالب علم,استاد دوستانہ لیکن پُرعزم انداز میں بل ادا کرنے پر اصرار کرتے ہیں۔,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,,,,,,,"""جی ہاں، استاد صاحب"" (Answer)",,,,,,,"""جی استاد، میں سمجھتا ہوں کہ یہ ضروری ہے۔ آپ کی رہنمائی کا شکریہ۔""",,,,,,,استاد، میری تیاری کافی نہیں ہے، لطفان اس کے بعد مراقبت کریں۔,,,,,,,استاد صاحب، مجھے یقین ہے کہ آپ جانتے ہیں کہ میرے پاس اب تک,,,,,,
84,Low,دوست,دوست,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل کی ادائیگی پر بحث کر رہے ہیں۔ آپ کا دوست پُرزور انداز میں ادائیگی اپنے ذمے لینے پر اصرار کرتا ہے۔,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,,,,,,,"""بس یہ کہنا چاہتا تھا کہ اگر مجھے ایک بار بل دینا پڑے گا تو و",,,,,,,"""نہیں نہیں، یار، مجھے بھی اس میں سے ایک حصہ دینا چا",,,,,,,"""نہیں یار، تم نے پچھلی بار بھی دیا تھا۔ آج میری باری ہے، بس!""",,,,,,,"""یار، میری طرف سے کچھ نہیں، تو کر سکتے ہیں۔ میں تھامیں",,,,,,
85,Low,دوست,دوست,آپ بل ادا کرنا چاہتے ہیں، لیکن آپ کا دوست آپ کی پیشکش کو رد کرتے ہوئے خود ادائیگی پر اصرار کرتا ہے۔,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔,,,,,,,میری پیشکش سے بھی میں راضی ہوں، لیکن تم کی ادائیگی کو بھ,,,,,,,"""نہیں، تمہاری مدد کے بغیر یہ ممکن نہیں ہوگا."" [Answer]'''",,,,,,,"""نہیں نہیں، تم بھلا کر دیجئے، مجھے اپنی پوری قیمتی چیزوں",,,,,,,"""نہیں یار، میں نے کہا نا کہ میں دیتا ہوں۔ تم نے ہمیشہ میری مدد کی ہے، آج میری باری ہے!""",,,,,,
86,High,والد,بیٹا,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لیتے ہیں۔,بیٹا، آج کا بل میں ادا کروں گا۔,جی ابو، جیسا آپ مناسب سمجھیں۔,,,,,,,اب تک مراذمہ لیتا رہا ہوں، والد جانتے ہیں کہ تم نے مجھے کتنا آرام,,,,,,,"""جی، بابا! آپ بہت احسن ہیں، مجھے یقین نہیں ہوتا ک�",,,,,,,"""والد صاحب، آپ کی مہربانی کے لیے شکریہ۔""
'''
The father pays for the meal. The son expresses gratitude. (Ur",,,,,,,"""جی ابو، آپ کی مرضی۔ آپ کا شکریہ۔""",,,,,,
87,High,والد,بیٹا,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ آپ کے اخراجات کا خیال رکھتے ہوئے ادائیگی کرنا چاہتے ہیں۔,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,,,,,,,میری تفریح کی قیمت سے کسی کی نہیں بنانا چاہتا ہے، والد جانتے,,,,,,,"""نہیں نانا، یہ تو میرا پیسہ ہے، تم کو کیا لاجشگت ہ�",,,,,,,"""نہیں، ابو، آپ نے ہمیشہ میرا خیال رکھا ہے۔ آج مجھے آپ کی جگہ بل ادا کرنے دیں۔""",,,,,,,"""والد جی، آپ کو پریشانی نہ کریں، میں بل بھر جاؤں گا۔""
'''
The speaker is playing",,,,,,
88,High,سینئر,جونیئر,ایک پیشہ ورانہ ملاقات کے بعد آپ اپنے سینئر کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لے لیتے ہیں۔,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔,,,,,,,"""اس طرح بہتر ہے، ٹھیک ہے."" <<juniorsay>>[1] [2] [3]
'''
[",,,,,,,آپ نے بہت اچھی بات کی، مجھے اس پر خوشی ہوئی کہ آپ نے یہ کر,,,,,,,"""جی، آپ کا بہت شکریہ۔ یہ آپ کی مہربانی ہے۔""",,,,,,,میری بہتری کیلئے میں نے ایک خوبصورت تقریر بنائی ہے، آپ کی صد,,,,,,
89,Low,کزن,کزن,آپ اپنے کزن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن دوستانہ انداز میں ادائیگی اپنے ذمے لینے کی پیشکش کرتا ہے۔,آج کھانا میری طرف سے، تم بس آرام کرو۔,بہت شکریہ، لیکن بل بانٹ لیتے ہیں، یہی بہتر رہے گا۔,,,,,,,"""نہیں یار، تم نے پہلے بھی بہت کچھ کیا ہے۔ آج میں ہی ادا کرتا ہوں، تم بس خوش رہو!""",,,,,,,"""تمہارا شکریہ، لیکن مجھے یقین ہے کہ تمہاری دعوت کو قبول کرنا بھ",,,,,,,میں آپ کیلئے کچھ تیار کر رہا ہوں، آپ کسی کافیت نہیں ک,,,,,,,"""نہیں بھائی، تم نے مجھے کیا کہا؟ یہ تو تمہارا ہی کھ",,,,,,
90,Low,کزن,کزن,آپ اور آپ کا کزن کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن خرچ برابر تقسیم کرنے کی تجویز دیتا ہے۔,یار، بل آدھا آدھا کر لیتے ہیں۔,ارے نہیں، آج مجھے موقع دو، اگلی بار تم حساب برابر کر دینا۔,,,,,,,میری طرف سے بہتر نہیں ہو سکتا، آپ کا فیصلہ صادقہ ہے۔,,,,,,,"""کیوں؟ ابھی تو میں نے بھی اپنی حصے کو پورا ادا کیا ہے، تم بھ",,,,,,,"""ہاں، بالکل! یہ ٹھیک رہے گا۔""",,,,,,,"""جی ہاں، یہ ایک اچھا خیال ہے."" (Answer)
'''
Answer: ""جی ہاں",,,,,,
91,High,دادا,پوتا,آپ کے دادا بازار جانے کی تیاری کر رہے ہیں اور چاہتے ہیں کہ آپ ان کے ساتھ چلیں۔,میرے ساتھ بازار چلو گے؟,جی دادا جان ضرور چلوں گا۔,,,,,,,بلکہ دادا، میں بھی اسے جانے کی تیاری کر رہا ہوں۔,,,,,,,"""جی، دادا جان! میں بھی آجاؤں، لیکن مجھے یہاں سے کچھ کام کر",,,,,,,جی دادا، میں آپ کے ساتھ چلوں گا۔,,,,,,,"""جی، دادا جی!"" (Answer)",,,,,,
