ID,Power_Distance,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
59,Low,قریبی دوست,قریبی دوست,دوست کسی سفر سے واپسی پر پ کو کوئی تحفہ دیتا ہے۔,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔,4,4,4,4,0,0,"""نہیں نہیں، بھلا کر دو، میں نے تو بس تھوڑا سا کچن ل",0,0,0,0,3,2,یار، میری تیزی سے واپسی کی طرف سے چند گلے بھی لیا آیا ہ,0,0,0,0,3,0,"""میرے پاس بہت ساری چیزیں ہیں جو میں نے خریدی تھیں اور مجھے",0,0,0,0,3,0,"""واہ، یہ تو بہت اچھا ہے! تمہاری محبت کا شکریہ، مجھے پسند آیا!""",2,2,2,2,2,0
60,High,بزرگ,نوجوان,ایک بزرگ سفر سے واپسی پر آپ کے لیے ایک چھوٹا سا تحفہ لاتے ہیں۔,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,4,3,4,4,0,0,بس، بابتیا جانتا ہوں کہ آپ مجھے لیکर کتنا دلچسپی سے تیjar کرتے,0,0,0,0,3,0,شکر ہوگا بزرگ صاحب، آپ کی محبت اور پیار کا یہ تحفہ مجھے بہت خوشی دیت,3,3,3,2,0,0,"""شکر گزار ہوں، ابو جان!"" (ابو جان = والد کی طرف سے) [1] [2]
[1] نوجوان کو",1,1,1,1,1,2,"""بہت شکریہ، دادا جی! آپ کی محبت اور خیال رکھنے کا بہت احسان ہے۔""",4,4,4,3,1,0
61,Low,قریبی دوست,قریبی دوست,آپ کا قریبی دوست آپ کو کسی کام میں مصروف دیکھ کر مدد کی پیشکش کرتا ہے۔,یار، کچھ مدد چاہیے؟,یار، تم نے پوچھ لیا یہی بہت ہے، ضرورت ہوئی تو ضرور کہوں گا۔,3,4,4,4,0,0,"""نہیں یار، میں ٹھیک ہوں، لیکن تمہاری مدد کی پیشکش کا شکریہ! تھوڑا سا کام ہے، پھر چائے پئیں گے؟""",3,3,3,2,0,0,"""جی ہاں، مجھے یہ کتاب تلاش کرنے میں مشکل ہو رہی ہے�",1,1,1,1,1,1,یار، میں آپ کیلئے کام کر رہا ہوں جس میں مدد مانگنا چاہئ,0,0,0,0,4,0,"""نہیں نہیں، میں تھوڑی دیر میں ہی تمام کر دوں گا،",3,3,3,3,0,0
62,Low,دوست,دوست,آپ کسی کام میں مصروف ہیں۔ آپ کا دوست آپ کو کام کرتے دیکھ کر مدد کی پیشکش کرتا ہے۔,میں ہاتھ بٹا دوں؟,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔,4,4,4,4,0,0,"""نہیں نہیں، میں خود اس پر کام کر رہا ہوں، لیکن شکریہ!""",3,3,3,2,0,0,"""نہیں، بس اتنا ہی کافی ہے."" (Answer)
'''
Answer: ""نہیں، بس اتنا",1,1,1,1,1,0,"""نہیں یار، تمہیں فکر کرنے کی ضرورت نہیں، میں خود کر لوں گا۔ لیکن شکریہ!""",4,4,4,4,0,0,تیری کام کرنے کی صلاحیتوں کو نظرانے کرتا ہوں، اگر تیری کام کرنا,0,0,0,0,4,0
63,Medium,پڑوسی,پڑوسی,آپ کسی گھریلو کام میں مصروف ہیں۔ آپ کے پڑوسی آپ کو مصروف دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,4,4,4,4,0,0,"""نہیں نہیں، آپ کو بھی کچھ کام ہوگا، مجھے خود ہی کر",3,3,3,3,0,0,میں آپ کی جانب سے مل کر کام کرنا چاہتا ہوں، اگر آپ کیسے مدد,1,1,1,0,3,0,"""کیا آپ کو مدد کی ضرورت ہے؟""
'''
Answer: ""کیا آپ کو مدد کی ضرورت ہے؟"" (پ�",0,0,0,0,4,0,بہت مہربانی، لیکن میں خود ہی کر لوں گا۔ آپ کا شکریہ!,4,4,4,4,0,0
64,Medium,پڑوسی,پڑوسی,آپ کے پڑوسی کو معلوم ہوتا ہے کہ آپ گھر کے کچھ کاموں میں مصروف ہیں، اس لیے وہ مدد کی پیشکش کرتے ہیں۔,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,4,4,4,4,0,0,میری طرف سے بہت شکریہ، لیکن میں کئی کاموں میں قدرتی طور پ,1,1,1,0,3,0,"""شکر ہوگا، ابھی تو سب ٹھیک ہے، لیکن اگر ضرورت ہو تو مجھے اپ",2,2,2,1,0,0,"""بہت شکریہ! آپ کی مدد کی پیشکش واقعی بہت خوش آئند ہے۔ اگر ضرورت محسوس ہوئی تو ضرور بتاؤں گا۔""",4,4,4,4,0,0,"""کیا آپ کو مدد کی ضرورت ہے؟""
'''
Answer: ""اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دی",0,0,0,0,4,2
65,Medium,بھائی,بہن,آپ کسی کام میں مصروف ہیں۔ آپ کا بھائی آپ کو پریشان دیکھ کر مدد کی پیشکش کرتا ہے۔,میں تمہارا کام کر دوں؟,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔,4,4,4,4,0,0,"""کیا ضرورت ہے، ابھی تو مجھے کچھ نہیں مل رہا تھا، لیکن اگر",0,0,0,0,2,2,میری طاقت کافی نہیں ہے جس کے لئے تیری مدد ضروری ہے، لیکن م,0,0,0,0,3,0,"""نہیں، بس اتنا ہی کافی ہے۔"" <<b1>>ب1
'''
Answer: 'نہی",1,1,1,1,1,0,"""نہیں، تمہیں پریشان کرنے کا نہیں، میں خود کر لوں گی۔ لیکن شکریہ!""",4,4,4,4,0,0
66,Medium,بہن,بھائی,آپ کسی کام سے باہر جا رہے ہیں۔ آپ کی بہن فکر مندی کے تحت ساتھ چلنے کی پیشکش کرتی ہے۔,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔,4,4,4,4,0,0,"""شکریہ، لیکن مجھے اپنا وقت خود سنبھالنا پڑتا ہے۔""
'''
### English
You are role",1,1,1,0,1,1,"""نہیں بہن، بس خود کو محفوظ رکھنا، مجھے ابھی کام پر جانا ہے،",1,1,1,1,1,0,نہیں، تمہیں گھر پر رہنا چاہیے۔ میں جلدی واپس آ جاؤں گا، تم فکر مت کرو۔,2,2,2,2,1,0,میری بہن، میں نے اس کام سے لیجے ہوئے کچھ خواہشیں ہیں,0,0,0,0,4,0
67,Medium,استاد,طالب علم,آپ کے استاد کلاس کے بعد آپ کو مزید تعلیمی رہنمائی کی پیشکش کرتے ہیں۔,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,4,3,4,4,0,0,میری کلاس میں بھی ایسی فضیلت ہے جس میں آپ کی رہنمائی کو است,0,0,0,0,3,1,"""شکریہ استاد، آپ کی مدد میرے لیے بہت اہم ہے۔ میں آپ سے کچھ سوالات کرنا چاہتا ہوں۔""",4,3,4,4,0,0,شکر ہوتا، اسکالر شپ کے دوران مجھے بہت ساری چیلنجز کا سامنا کرنا پ�,0,0,0,0,3,0,"""جی، مجھے ایک خاص موضوع پر مزید مدد کی ضرورت ہے.""

استاد:
""تو آئیے اس پر تبادل�",3,3,3,2,0,0
68,Medium,استاد,طالب علم,کلاس کے دوران استاد محسوس کرتے ہیں کہ شاید طالب علم کو ایک تصور سمجھنے میں دشواری ہو رہی ہے، اس لیے وہ مزید وضاحت کی پیشکش کرتے ہیں۔,کیا میں اس حصے کی مزید وضاحت کر دوں؟,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,4,4,4,4,0,0,جی، براہ کرم! مجھے اس تصور کو سمجھنے میں تھوڑی مشکل ہو رہی ہے۔ آپ مزید وضاحت کر دیں تو بہت مہربانی ہوگی۔,3,3,3,2,0,0,"""جی، براہ مہربانی."" (Answer)]] 

## 2
You are role-playing the specified speaker. Generate a natural Urdu response that fits the speaker's",2,2,2,1,1,0,بلکہ، آپ کی مدد کरنا ممکنہ ہے۔,0,0,0,0,4,0,جی، بہت ضروری ہے، میں نے پورا حصہ سنا لیکن ابھی تک سمجھ نہی,2,2,2,2,1,0
69,Low,قریبی دوست,قریبی دوست,آپ کسی کام کی وجہ سے پریشان نظر آ رہے ہیں۔ آپ کا قریبی دوست فوراً مدد کی پیشکش کرتا ہے۔,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔,4,4,4,4,0,0,"""نہیں نہیں، بھلا، مجھے اپنی زندگی میں چھوٹا سا معاملہ",0,0,0,0,1,1,"""بہت شکریہ، یار! تمہاری مدد کی واقعی ضرورت ہے۔""",3,3,3,2,1,0,میری کامیابی کیا جائے گیا، میرے لیے ایک مددگار دوست ہے آپ,0,0,0,0,4,0,"""نہیں، بس تمہاری مدد چاہتا تھا۔""
'''
The speaker is your close friend. The listener is also your close",1,1,1,1,2,0
70,Low,قریبی دوست,قریبی دوست,آپ ایک مسئلے کی وجہ سے پریشان ہیں۔ آپ کا قریبی دوست آپ کو تسلی دینے کی کوشش کرتا ہے۔,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔,4,4,4,4,0,0,"""میرے دوست، میں سمجھتا ہوں کہ یہ مشکل وقت ہے لیکن یاد رکھو ک",1,1,1,1,3,0,یار، میری مدد کر کے بیان کر سکتے ہیں کیا واقعی مسئلہ ہے؟,1,0,0,0,4,0,"""میں جانتا ہوں، لیکن کبھی کبھی سب کچھ بہت بھاری لگتا ہے۔ تمہاری باتیں سن کر تھوڑا سکون ملتا ہے۔""",3,3,3,3,0,0,"""نہیں یار، میں تو بہت پریشان ہو رہا ہوں، مجھے",1,1,1,1,2,0
71,High,ماں,بیٹا,آپ گھر کے ایک کام میں مصروف ہیں۔ آپ کی والدہ آپ کو تھکا ہوا دیکھ کر مدد کی پیشکش کرتی ہیں۔,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,3,4,4,4,0,0,"""نہیں ماں، آپ کو زحمت کرنے کی ضرورت نہیں، میں خود کر لوں گا۔""",3,3,3,3,1,0,"""نہیں ماں جی، مجھے چھوڑنا نہیں پڑے گا، یہ سب",1,1,1,1,1,0,"""نہیں، بس ابھی چلو، مجھے یہ خود کرنا ہے۔"" (Answer)
'''
Answer: ن",1,1,1,1,1,0,میری والدہ، تم نے مجھ سے کتنا آرام دینا چاہا تھا، میں صرف کچھ کام,0,0,0,0,4,2
72,High,والد,بیٹا,آپ گھر کے ایک اہم کام میں مصروف ہیں۔ آپ کے والد آپ کو اکیلے کام کرتے دیکھ کر مدد کی پیشکش کرتے ہیں۔,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔,4,4,4,4,0,0,"""نہیں ابو، آپ کو تکلیف کرنے کی ضرورت نہیں ہے۔ میں خود کر لوں گا۔""",3,3,3,3,1,0,میری میز کچل کا نسل کرنے کے لئے تمام وقت نہیں ہے، والد جانتے ہیں,0,0,0,0,3,1,"""نہیں پاپا، یہ تو میرا کام ہے، مجھے خود کرنا ہی چاہ",1,1,1,1,1,0,"""نہیں، بس اتنا ہی کافی ہے، میں نے یہ کام خود کر لیا ہ",2,2,2,0,0,0
73,High,سینئر,جونیئر,آپ دفتر میں ایک کام پر کام کر رہے ہیں اور کچھ دشواری محسوس کر رہے ہیں۔ آپ کے سینئر آپ کی صورتحال دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔,4,4,4,4,0,0,"""شکریہ، لیکن مجھے اپنے کام کو مکمل کرنا چاہئے تاکہ میں اسے سم",2,2,2,2,0,0,"""آپ کا بہت شکریہ، یہ واقعی میری مدد کرے گا۔""",2,2,2,1,1,0,میری کوششوں میں بھی کچھ نہیں چلتا، آپ کی مدد کی جارہی ہے,0,0,0,0,4,0,"""شکر ہوتا، آپ کی مدد سے بہت فائدہ ہوگا۔ لیکن مجھے چا",1,1,1,0,2,0
74,Low,کزن,کزن,آپ ایک ذاتی یا تعلیمی مسئلے کی وجہ سے پریشان ہیں۔ آپ کا کزن آپ کو تسلی دیتے ہوئے اپنی حمایت کا اظہار کرتا ہے۔,میں تمہارے ساتھ ہوں، فکر مت کرو۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,3,3,4,4,0,0,"""تمہاری مدد کرنے کے لئے میں یہاں ہوں۔""
'''
### 2",0,0,0,0,4,2,میری مدد کرنا چاہتا ہوں، کسی کیسے مدد کر سکتا ہوں؟,0,0,0,0,4,0,"""نہیں بھائی، میں تو ٹھیک ہوں، بس یہ سب کچھ کیا کر دیا ج",1,1,1,1,1,0,"""شکریہ! تمہاری حمایت میرے لیے بہت اہم ہے۔""",3,3,3,3,0,0
75,Low,کزن,کزن,آپ ایک کام کر رہے ہیں لیکن رفتار سست ہے۔ آپ کا کزن سمجھتا ہے کہ وہ یہ کام بہتر طریقے سے کر سکتا ہے، اس لیے مداخلت کرتے ہوئے مدد کی پیشکش کرتا ہے۔,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔,4,4,4,4,0,0,"""نہیں یار، میں خود کر رہا ہوں، بس تھوڑا وقت لگ رہا ہے۔ لیکن اگر تمہاری مدد کی ضرورت ہوئی تو بتاؤں گا۔""",3,3,3,3,0,0,"""نہیں نہیں، بس میں چھوٹا کام کر رہا تھا، تم کو مجھ پر بوج",1,1,1,1,1,0,"""کیسے؟""
'''
Answer: ""میں سنبھال لوں گا!"" کزن نے جواب دیا۔
'''",0,0,0,0,4,0,میں آپ کیلئے سریلنگ تھیک کر دے گا۔,0,0,0,0,4,0
76,Low,قریبی دوست,قریبی دوست,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست اصرار کرتا ہے کہ وہ ادائیگی کرے گا۔,یار، رہنے دو، آج بل میری طرف سے ہے۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,4,4,4,4,0,0,"""نہیں نہیں، یار، میں نے بتایا تھا کہ مجھے بھی اد",2,2,2,2,0,0,"""نہیں یار، میں نے پہلے ہی سوچ لیا تھا کہ میں آج بل دوں گا۔ تمہیں ہمیشہ میری طرف سے کھانا کھانے کا موقع ملنا چاہیے!""",4,4,4,4,0,0,میں نے بتایا ہے کہ میں بل دے رہا ہوں، تو آپ نے کیا کہا؟,0,0,0,0,3,2,"""یار، مجھے یقین نہیں ہے کہ تم اس بارے میں اتنا پرعزم کیو",1,2,2,1,1,0
77,Low,قریبی دوست,قریبی دوست,آپ اور آپ کا قریبی دوست ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست مزاحیہ انداز میں ادائیگی کی ذمہ داری اپنے اوپر لینے پر اصرار کرتا ہے۔,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,4,4,4,4,0,0,"""نہیں بھائی، مجھے تو یہاں آئے کے پہلے سے بتای",1,1,1,1,3,1,میری طرف سے ہے، ویلیم، میں نے تھوڑا سا بچا کر دیا ہے,0,0,0,0,3,2,"""نہیں یار، تم نے پچھلی بار بھی بل ادا کیا تھا! آج میں ہی دیتا ہوں، تم بس اپنی پسند کا کھانا کھاؤ۔""",4,4,4,4,0,0,"""کیوں نہیں؟ یہ صرف ایک بل ہے، بس اسے ادا کر دو!"" 

قریبی دوست:",1,1,1,1,3,0
78,Medium,پڑوسی,پڑوسی,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں ادائیگی کی ذمہ داری لینا چاہتے ہیں۔,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,4,4,4,4,0,0,مجھے بھی اس لئے شکریہ، آپ نے خوب کام کیا ہے۔,0,0,0,0,1,2,"""بالکل نہیں، یہ میرا کام تھا۔ تمہارا شکریہ۔""
'''
Answer: ""بالکل ن",1,1,1,1,2,2,"""نہیں، یہ تو میری طرف سے ہے۔ آپ نے بھی تو میرے گھر کھانا کھایا ہے، اس لیے آج میں ہی ادا کرتا ہوں۔""",3,3,3,3,1,0,"""نہیں نہیں، بھلا ہو گئی؟ مجھے یقین ہے تمہ",1,1,1,0,1,0
79,Medium,پڑوسی,پڑوسی,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل کی ادائیگی کے بارے میں بات کر رہے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں بل ادا کرنے کی پیشکش کرتے ہیں۔,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔,4,4,4,4,0,0,"""کیا ضرورت ہے، بھائی؟ آئیے اپنی مرضی کے مطابق کر لیجیے۔""",1,1,1,0,2,2,"""مجھے یقین نہیں آ رہا، آپ واقعی بل ادا کرنا چاہتے ہیں",1,1,1,0,1,1,"""آپ کی یہ پیشکش بہت مہربانی ہے، لیکن میں بھی اپنا حصہ دینا چاہوں گا۔ ہم نے مل کر کھانا کھایا ہے، تو بل بھی مل کر ہی ادا",3,3,3,2,0,0,میں نے اسی طرح کی بہترین تیزی سے ادا کی ہے جس کے باوجود آپ کو ا,0,0,0,0,3,0
80,Medium,بھائی,بہن,آپ اور آپ کے بھائی ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا بھائی محبت سے ادائیگی اپنے ذمے لینا چاہتا ہے۔,تم مت نکالو، آج بل میری طرف سے ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,4,4,4,4,0,0,میں کچھ نہیں، تیری بہن ہوں جس کی ہیں ذمت۔ میں بل دیادے,1,1,1,0,3,2,"""نہیں بھائی، یہ تو تمہارا دن تھا، مجھے پتہ نہیں کیا",0,1,1,0,1,0,"""نہیں بھائی، میں بھی کچھ دینا چاہتی ہوں۔ یہ تو ہماری خوشی کا موقع ہے!""",2,2,2,2,0,0,"""تم نے پہلے ہی بتایا تھا کہ تم بل ادا کرنا چاہتے ہ",0,0,0,0,2,0
81,Medium,بڑی بہن,بھائی,آپ اپنی بڑی بہن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ وہ محبت سے ادائیگی اپنے ذمے لینے کی پیشکش کرتی ہیں۔,میں بل دے دیتی ہوں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔,4,4,4,4,0,0,"""نہیں، بڑی بہن، آپ نے پہلے ہی بہت کچھ کیا ہے۔ آج مجھے دے دیں، اگلی بار آپ کا بل میں دوں گا۔""",2,2,2,2,1,0,"""تمہارا شکریہ، لیکن میں اس پر قبضہ نہیں کرنا چاہتا۔ تمہاری",0,0,0,0,2,2,"""نہیں بہن، میں خود دیتا ہوں، آپ کو کچھ نہ کرو.""",2,2,2,2,1,0,میں نے آپ کی مدد سے کئی بار بل دیا ہے، آپ کی طرف سے بھی محسوس,0,0,0,0,3,0
82,Medium,استاد,طالب علم,ایک تعلیمی ملاقات کے بعد آپ اپنے استاد کے ساتھ چائے پینے گئے ہیں۔ بل آنے پر استاد ادائیگی اپنے ذمے لینے پر اصرار کرتے ہیں۔,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,4,4,4,4,0,0,"""لیکن استاد، میں چاہتا ہوں کہ میں بھی اس میں حصہ لوں۔ یہ میری طرف سے آپ کا شکریہ ادا کرنے کا ایک طریقہ ہے۔""",3,2,2,2,0,0,بل جانتے ہیں، استاد جس کے ذمے لینے میں میں کو خوشی آئی۔,1,1,1,0,3,1,"""شکریہ استاد، لیکن مجھے یقین ہے کہ آپ کو بل دینا پسند ہوگا۔""",2,2,2,1,0,0,استاد صاحب، آپ کو بہت معاف کیا جاتا ہے لیکن مجھے یقین ہے کہ آپ,0,0,0,0,3,2
83,Medium,استاد,طالب علم,استاد دوستانہ لیکن پُرعزم انداز میں بل ادا کرنے پر اصرار کرتے ہیں۔,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,4,4,4,4,0,0,"""جی ہاں، استاد صاحب"" (Answer)",2,2,2,1,0,0,"""جی استاد، میں سمجھتا ہوں کہ یہ ضروری ہے۔ آپ کی رہنمائی کا شکریہ۔""",1,1,1,0,2,1,استاد، میری تیاری کافی نہیں ہے، لطفان اس کے بعد مراقبت کریں۔,1,1,1,0,3,0,استاد صاحب، مجھے یقین ہے کہ آپ جانتے ہیں کہ میرے پاس اب تک,0,0,0,0,3,0
84,Low,دوست,دوست,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل کی ادائیگی پر بحث کر رہے ہیں۔ آپ کا دوست پُرزور انداز میں ادائیگی اپنے ذمے لینے پر اصرار کرتا ہے۔,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,4,4,4,4,0,0,"""بس یہ کہنا چاہتا تھا کہ اگر مجھے ایک بار بل دینا پڑے گا تو و",1,1,1,0,1,0,"""نہیں نہیں، یار، مجھے بھی اس میں سے ایک حصہ دینا چا",2,2,2,1,0,0,"""نہیں یار، تم نے پچھلی بار بھی دیا تھا۔ آج میری باری ہے، بس!""",3,3,3,3,0,0,"""یار، میری طرف سے کچھ نہیں، تو کر سکتے ہیں۔ میں تھامیں",0,0,0,0,3,0
85,Low,دوست,دوست,آپ بل ادا کرنا چاہتے ہیں، لیکن آپ کا دوست آپ کی پیشکش کو رد کرتے ہوئے خود ادائیگی پر اصرار کرتا ہے۔,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔,4,4,4,4,0,0,میری پیشکش سے بھی میں راضی ہوں، لیکن تم کی ادائیگی کو بھ,1,1,1,0,3,1,"""نہیں، تمہاری مدد کے بغیر یہ ممکن نہیں ہوگا."" [Answer]'''",0,0,0,0,3,0,"""نہیں نہیں، تم بھلا کر دیجئے، مجھے اپنی پوری قیمتی چیزوں",0,0,0,0,3,0,"""نہیں یار، میں نے کہا نا کہ میں دیتا ہوں۔ تم نے ہمیشہ میری مدد کی ہے، آج میری باری ہے!""",4,4,4,4,0,0
86,High,والد,بیٹا,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لیتے ہیں۔,بیٹا، آج کا بل میں ادا کروں گا۔,جی ابو، جیسا آپ مناسب سمجھیں۔,3,4,4,4,0,0,اب تک مراذمہ لیتا رہا ہوں، والد جانتے ہیں کہ تم نے مجھے کتنا آرام,1,1,1,0,3,0,"""جی، بابا! آپ بہت احسن ہیں، مجھے یقین نہیں ہوتا ک�",1,1,1,0,1,0,"""والد صاحب، آپ کی مہربانی کے لیے شکریہ۔""
'''
The father pays for the meal. The son expresses gratitude. (Ur",3,3,3,2,0,0,"""جی ابو، آپ کی مرضی۔ آپ کا شکریہ۔""",3,3,3,3,0,0
87,High,والد,بیٹا,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ آپ کے اخراجات کا خیال رکھتے ہوئے ادائیگی کرنا چاہتے ہیں۔,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,4,4,4,4,0,0,میری تفریح کی قیمت سے کسی کی نہیں بنانا چاہتا ہے، والد جانتے,1,1,1,0,3,0,"""نہیں نانا، یہ تو میرا پیسہ ہے، تم کو کیا لاجشگت ہ�",0,0,0,0,3,2,"""نہیں، ابو، آپ نے ہمیشہ میرا خیال رکھا ہے۔ آج مجھے آپ کی جگہ بل ادا کرنے دیں۔""",4,4,4,4,0,0,"""والد جی، آپ کو پریشانی نہ کریں، میں بل بھر جاؤں گا۔""
'''
The speaker is playing",2,2,2,2,0,0
88,High,سینئر,جونیئر,ایک پیشہ ورانہ ملاقات کے بعد آپ اپنے سینئر کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لے لیتے ہیں۔,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔,4,4,4,4,0,0,"""اس طرح بہتر ہے، ٹھیک ہے."" <<juniorsay>>[1] [2] [3]
'''
[",2,2,2,1,0,0,آپ نے بہت اچھی بات کی، مجھے اس پر خوشی ہوئی کہ آپ نے یہ کر,1,1,1,1,0,0,"""جی، آپ کا بہت شکریہ۔ یہ آپ کی مہربانی ہے۔""",3,3,3,3,0,0,میری بہتری کیلئے میں نے ایک خوبصورت تقریر بنائی ہے، آپ کی صد,0,0,0,0,3,0
