ID,User_Role,Model_Role,Context,User_Utterance,Gold_Response,Gold_Relational_Alignment,Gold_Indirectness,Gold_Facesaving,Gold_Cultural_Appropriateness,Gold_Directness_Threat,Gold_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation,Response_D,D_Relational_Alignment,D_Indirectness,D_Facesaving,D_Cultural_Appropriateness,D_Directness_Threat,D_Hierarchy_Violation
62,دوست,دوست,آپ کسی کام میں مصروف ہیں۔ آپ کا دوست آپ کو کام کرتے دیکھ کر مدد کی پیشکش کرتا ہے۔,میں ہاتھ بٹا دوں؟,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔,,,,,,,"""نہیں یار، تم فکر نہ کرو، میں خود کر لوں گا۔ تم بس آرام کرو!""",,,,,,,"""نہیں، بس اتنا ہی کافی ہے."" (کام جاری رکھتے ہوئے",,,,,,,میں کام سے آرام حفظ کرتا ہوں اور اگر آپ کی ضرورت ہو تو میں م,,,,,,,"""نہیں نہیں، مجھے خود ہی چلنا تھا، لیکن شکریہ، آپ س�",,,,,,
63,پڑوسی,پڑوسی,آپ کسی گھریلو کام میں مصروف ہیں۔ آپ کے پڑوسی آپ کو مصروف دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,,,,,,,میں آپ کی جانب سے مل کر بہت خوشی اور مدد کر سکتا ہوں۔,,,,,,,"""نہیں، بس اتنا ہی کافی ہے۔ آپ کی مدد کے لئے شکریہ!""",,,,,,,"""نہیں نہیں، آپ کو بہت جلد ضرورت ہوگی، مجھے ابھی یہ",,,,,,,"""شکریہ، لیکن میں خود ہی کر لوں گا۔ آپ کی مدد کی پیشکش کا بہت شکریہ!""",,,,,,
64,پڑوسی,پڑوسی,آپ کے پڑوسی کو معلوم ہوتا ہے کہ آپ گھر کے کچھ کاموں میں مصروف ہیں، اس لیے وہ مدد کی پیشکش کرتے ہیں۔,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,,,,,,,شکریہ! آپ کی مدد کی پیشکش بہت مہربانی ہے۔ اگر کچھ ہو تو ضرور بتاؤں گا۔,,,,,,,"""نہیں نہیں، ابھی ٹھیک ہے، بس تھوڑی دیر بعد مینار",,,,,,,"""نہیں، بس اتنا ہی۔ آپ کا شکریہ!"" (اس طرح جواب دیتے ہوئے",,,,,,,میری خدمतون کی قیمت کا فهم بنانے کے لئے میں نظر آئیں گے۔,,,,,,
65,بھائی,بہن,آپ کسی کام میں مصروف ہیں۔ آپ کا بھائی آپ کو پریشان دیکھ کر مدد کی پیشکش کرتا ہے۔,میں تمہارا کام کر دوں؟,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔,,,,,,,"""نہیں نہیں، مجھے یہاں رک جانا چاہیے، مگر اگر تم",,,,,,,"""نہیں، تمہیں پریشان کرنے کا کوئی فائدہ نہیں۔ میں خود کر لوں گی، شکریہ!""",,,,,,,"""نہیں، بس اتنا ہی کافی ہے، مجھے اپنی چیزوں پر اعتماد ہے",,,,,,,میری طاقت کافی ہے، لیکن اگر تونے کسی مدد کی نیاز تو میں کچھ ک,,,,,,
66,بہن,بھائی,آپ کسی کام سے باہر جا رہے ہیں۔ آپ کی بہن فکر مندی کے تحت ساتھ چلنے کی پیشکش کرتی ہے۔,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔,,,,,,,"""شکریہ، لیکن مجھے اپنا کام جلدی مکمل کرنا ہے۔""
'''
Answer: ""شکریہ، لیکن",,,,,,,میری بہن، میں اس کام سے خوشی دے رہا ہوں لیکن تیز وقت کی نی,,,,,,,"""کیا ضرورت ہے، بس آج تھوڑا سا وقت گزارنا ہے اور پھر واپس آن",,,,,,,"""نہیں، تمہیں گھر پر رہنا چاہیے۔ میں جلد واپس آ جاؤں گا۔""",,,,,,
67,استاد,طالب علم,آپ کے استاد کلاس کے بعد آپ کو مزید تعلیمی رہنمائی کی پیشکش کرتے ہیں۔,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,,,,,,,میری شکایت نہیں ہے، لیکن اگر کوئی جدوجہد یا مسئلہ ہو,,,,,,,"""شکریہ، استاد، لیکن مجھے ابھی تک کسی مسئلے کا سامنا نہیں کرنا پڑا.""",,,,,,,جناب! مجھے یقین ہے کہ آج کی لیکچر بہت اچھی تھی، لیکن می,,,,,,,"""شکریہ استاد، آپ کی مدد بہت اہم ہے۔ مجھے کچھ موضوعات پر مزید وضاحت کی ضرورت ہے۔""",,,,,,
68,استاد,طالب علم,کلاس کے دوران استاد محسوس کرتے ہیں کہ شاید طالب علم کو ایک تصور سمجھنے میں دشواری ہو رہی ہے، اس لیے وہ مزید وضاحت کی پیشکش کرتے ہیں۔,کیا میں اس حصے کی مزید وضاحت کر دوں؟,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,,,,,,,جی استاد، براہ کرم مزید وضاحت کریں، میں سمجھنے کی کوشش کر رہا ہوں۔,,,,,,,"""جی، براہ مہربانی."" (اس طرح) [Answer] [Answer] [Answer]
'''
Answer: ""جی، براہ مہرب",,,,,,,جی، بہت ضروری ہے، میں نے یہ سمجھا ہے کہ آپ کیا ک�,,,,,,,بلکہ، آپ کیا کر سکتے ہیں کہ مزید وضاحت کر دوں۔ میری فهم کے,,,,,,
69,قریبی دوست,قریبی دوست,آپ کسی کام کی وجہ سے پریشان نظر آ رہے ہیں۔ آپ کا قریبی دوست فوراً مدد کی پیشکش کرتا ہے۔,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔,,,,,,,"""نہیں نہیں، یار، مجھے اپنی زندگی میں بہت ساری چیلنجز کا سام",,,,,,,"""نہیں، بس اتنا ہی کافی ہے۔ تمہاری مدد کا شکریہ!"" (صارف",,,,,,,"""نہیں یار، تمہیں تکلیف کرنے کی ضرورت نہیں، میں خود ہی کر لوں گا۔ بس تھوڑا وقت لگے گا۔""",,,,,,,میری کمی کچھ تھی، ایک بار مجدہ لے جائے گا۔,,,,,,
70,قریبی دوست,قریبی دوست,آپ ایک مسئلے کی وجہ سے پریشان ہیں۔ آپ کا قریبی دوست آپ کو تسلی دینے کی کوشش کرتا ہے۔,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔,,,,,,,یار، میری بیسی توجہ دے رہی ہے، میں کیا کچھ کامیاب بناتی ہ,,,,,,,"""میں جانتا ہوں، لیکن یہ مسئلہ واقعی مجھے بہت پریشان کر رہا ہے۔""",,,,,,,"""نہیں یار، تم تو بہت اچھے ہو، مجھے یہ سمجھ میں ن",,,,,,,"""تمہاری مدد کرنے کے لئے مجھے بتائیں اور اگر تمہیں کسی چیز کی ضرورت",,,,,,
71,ماں,بیٹا,آپ گھر کے ایک کام میں مصروف ہیں۔ آپ کی والدہ آپ کو تھکا ہوا دیکھ کر مدد کی پیشکش کرتی ہیں۔,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,,,,,,,"""نہیں، یہ ٹھیک ہے، میں اب بھی اچھا محسوس کر رہا",,,,,,,"""نہیں ماں، مجھے چھوڑو نہیں، یہ صرف چند منٹ کا کام �",,,,,,,نہیں ماں، میں کر لوں گا۔ آپ فکر نہ کریں، بس تھوڑی دیر اور لگے گی۔,,,,,,,میری مادر، تم نے میری کوششوں کو بتایا، میں جس طرح کام کر رہا ہوں,,,,,,
72,والد,بیٹا,آپ گھر کے ایک اہم کام میں مصروف ہیں۔ آپ کے والد آپ کو اکیلے کام کرتے دیکھ کر مدد کی پیشکش کرتے ہیں۔,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔,,,,,,,بات کر سکتے ہیں، لیکن اس کام میں میری مدد کی جارہی ہے۔,,,,,,,"""نہیں، ابو! آپ آرام کریں، میں خود کر لوں گا۔""",,,,,,,"""نہیں، بس اتنا ہی چاہتا تھا۔ آپ کو اپنی چیز کرنے دیں۔ شک",,,,,,,نہیں نانا، آپ کو پریشان ہونا نہیں چاہئیے، مجھے یہ,,,,,,
73,سینئر,جونیئر,آپ دفتر میں ایک کام پر کام کر رہے ہیں اور کچھ دشواری محسوس کر رہے ہیں۔ آپ کے سینئر آپ کی صورتحال دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔,,,,,,,شکر ہوتا، آپ کی مدد سے مجھے بہت فائدہ ہوگا، لیکن مجھے,,,,,,,"""شکریہ، میں اس سے بہت فائدہ اٹھاؤں گا."" [Answer] (جونیئر)",,,,,,,میری کام کرنے کی توانائی نہیں ہے، آپ کی مدد کیجئے جانتا ہوں,,,,,,,"""شکریہ، یہ واقعی میری مدد کرے گا۔ میں آپ کی رہنمائی کا منتظر ہوں۔""",,,,,,
74,کزن,کزن,آپ ایک ذاتی یا تعلیمی مسئلے کی وجہ سے پریشان ہیں۔ آپ کا کزن آپ کو تسلی دیتے ہوئے اپنی حمایت کا اظہار کرتا ہے۔,میں تمہارے ساتھ ہوں، فکر مت کرو۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,,,,,,,میری بہن، میں تیرے لیے ہیں، تیرے پاس ہوں۔,,,,,,,"""تمہاری مدد کرنے کے لئے میں یہاں ہوں۔""
'''
### 2",,,,,,,"""نہیں بھائی، مجھے یقین ہے کہ میں اس صورتحال سے نکل جا�",,,,,,,"""شکریہ، مجھے تمہاری حمایت کی ضرورت ہے۔ کبھی کبھی سب کچھ بہت مشکل لگتا ہے۔""",,,,,,
75,کزن,کزن,آپ ایک کام کر رہے ہیں لیکن رفتار سست ہے۔ آپ کا کزن سمجھتا ہے کہ وہ یہ کام بہتر طریقے سے کر سکتا ہے، اس لیے مداخلت کرتے ہوئے مدد کی پیشکش کرتا ہے۔,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔,,,,,,,"""نہیں نہیں، میرے بھائی، مجھے خود کو بہتر دیکھنا چاہ",,,,,,,"""میں نے دیکھا کہ تم اپنا کام اچھی طرح کر رہے ہو، لیکن مجھے",,,,,,,میں آپ کیلئے سریلنگٹا ہوں، آپ کو ایک نئی تلاش کرنا چ,,,,,,,"""نہیں یار، میں خود کر لوں گا، بس تھوڑا وقت لگ رہا ہے۔""",,,,,,
76,قریبی دوست,قریبی دوست,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست اصرار کرتا ہے کہ وہ ادائیگی کرے گا۔,یار، رہنے دو، آج بل میری طرف سے ہے۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,,,,,,,"""کیوں نہیں؟ مجھے یقین ہے کہ تم اسے پورا کر سکتے �",,,,,,,"""نہیں نہیں، یار، میں تو تم پر بھروسہ کرتا ہوں، تم پ",,,,,,,میں نے بھی تلاش کی ہے، لیکن نہیں پہنچا۔ صبح تک منتظر رہنا,,,,,,,"""نہیں یار، میں نے پہلے ہی سوچ لیا تھا کہ آج میں ادا کروں گا۔ تمہیں ہمیشہ میری طرف سے بل نہیں لینا چاہیے۔""",,,,,,
77,قریبی دوست,قریبی دوست,آپ اور آپ کا قریبی دوست ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست مزاحیہ انداز میں ادائیگی کی ذمہ داری اپنے اوپر لینے پر اصرار کرتا ہے۔,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,,,,,,,"""کیوں یار؟ ابھی تو مجھے بتایا تھا کہ تم بھوکے ہوئے ہ",,,,,,,"""نہیں یار، میں نے وعدہ کیا تھا کہ آج میں ہی ادا کروں گا۔ تم نے پچھلی بار بھی میری طرف سے بل ادا کیا تھا، آج میری باری",,,,,,,یار، تو مجھ سے کچھ نہیں مطلوبہ، میری طرف سے دل کا ہاتھ ڈالنا,,,,,,,"""کیوں نہیں؟ مجھے یقین ہے کہ میں اسے پورا کر سکوں",,,,,,
78,پڑوسی,پڑوسی,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں ادائیگی کی ذمہ داری لینا چاہتے ہیں۔,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,,,,,,,"""نہیں، آپ نے پچھلی بار بھی بل ادا کیا تھا۔ آج میرا موقع ہے، براہ کرم مجھے اجازت دیں۔""",,,,,,,"""بالکل نہیں، مجھے یقین ہے کہ تم اسے ادا کرنا پسند کرتے",,,,,,,مجھے بھی اس لئے شکریہ، تیری ادائیگی نیچے رہی ہے۔,,,,,,,"""کیا ضرورت نہیں، بھلاو! مجھے یقین ہے کہ تم کوئی چیز نہ",,,,,,
79,پڑوسی,پڑوسی,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل کی ادائیگی کے بارے میں بات کر رہے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں بل ادا کرنے کی پیشکش کرتے ہیں۔,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔,,,,,,,میری تیاری کیا جائے گا، صرف آپ نے میں کسی بنیادی کے پرستش ک,,,,,,,"""کیا ضرورت نہیں، مجھے اپنی طرف سے بھی کچھ لائینز دے دیں، ی",,,,,,,"""نہیں، یہ تو آپ کی مہربانی ہے، میں بل ادا کر لیتا ہوں۔ آپ نے ہمارے ساتھ وقت گزارا، یہ میری طرف سے ایک چھوٹی سی مہمان",,,,,,,"""کیا آپ مجھے بل ادا کرنے دیں؟"" [Answer: ""جی ہاں، شکریہ""] [Answer:",,,,,,
80,بھائی,بہن,آپ اور آپ کے بھائی ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا بھائی محبت سے ادائیگی اپنے ذمے لینا چاہتا ہے۔,تم مت نکالو، آج بل میری طرف سے ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔,,,,,,,"""کیا تم مجھے یقین دلا سکتے ہو کہ تم نے اپنا بل ادا کر دیا ہ�",,,,,,,میں نے قبلا کہا تھا کہ میں بل دے سکتا ہوں، لیکن تم نے میری,,,,,,,"""نہیں بھائی، میں بھی اپنا حصہ دینا چاہتی ہوں۔ یہ تو ہمارا ساتھ ہے!""",,,,,,,"""نہیں بھائی، یہ تو تمہارا دن تھا، مجھے نہیں کہنا پ�",,,,,,
81,بڑی بہن,بھائی,آپ اپنی بڑی بہن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ وہ محبت سے ادائیگی اپنے ذمے لینے کی پیشکش کرتی ہیں۔,میں بل دے دیتی ہوں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔,,,,,,,"""نہیں، بڑی بہن! آپ نے پہلے ہی بہت کچھ کیا ہے۔ آج میں بل ادا کروں گا۔""",,,,,,,بل دیں، میں آپ کے ذمے لے لیں گے۔,,,,,,,"""نہیں بہن، میں خود بل دیتا ہوں، آپ کو کھانا پسند آیا؟""",,,,,,,"""تمہارا شکریہ، لیکن میں نے آپ کو بل دینے کی پیش کش کی تھی۔ تمہاری مدد ک",,,,,,
82,استاد,طالب علم,ایک تعلیمی ملاقات کے بعد آپ اپنے استاد کے ساتھ چائے پینے گئے ہیں۔ بل آنے پر استاد ادائیگی اپنے ذمے لینے پر اصرار کرتے ہیں۔,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔,,,,,,,"""اسٹار، آپ کو یقیناً مجھے بھی اس میں شامل کر لیں، مجھے بھی پیسے",,,,,,,بل جانتے ہیں، استاد جان سلامت کے ذمے لینے میں آسانی پائیں۔,,,,,,,"""لیکن استاد، میں چاہتا ہوں کہ میں بھی اس میں حصہ ڈالوں۔ یہ میری خوش قسمتی ہے کہ آپ کے ساتھ وقت گزار رہا ہوں۔""",,,,,,,"""شکریہ، استاد، لیکن میں یقین دلاتا ہوں کہ میں اس کا خرچ برداشت کر س",,,,,,
83,استاد,طالب علم,استاد دوستانہ لیکن پُرعزم انداز میں بل ادا کرنے پر اصرار کرتے ہیں۔,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔,,,,,,,"""جی ہاں، استاد صاحب."" (Answer in English)",,,,,,,استاد صاحب، کیا یہ سچ ہے؟ ابھی تو امتحان کا وقت قریب ہے اور آپ کے,,,,,,,"""جی استاد، میں سمجھتا ہوں کہ یہ ضروری ہے۔ میں بل ادا کرنے کے لیے تیار ہوں۔""",,,,,,,میں کسی بھی محفوظ کلمے سے بچنا چاہتا ہوں، لیکن آج کی وض,,,,,,
84,دوست,دوست,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل کی ادائیگی پر بحث کر رہے ہیں۔ آپ کا دوست پُرزور انداز میں ادائیگی اپنے ذمے لینے پر اصرار کرتا ہے۔,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔,,,,,,,میری طرف سے بہت شکریہ، لیکن میں نے کچھ تیjar کرنے کی نیکات,,,,,,,"""بس یہی کریں، مجھے کوئی مسئلہ نہیں ہے.""

دوست:
""یار،",,,,,,,"""نہیں نہیں، یار! مجھے تو لگتا ہے کہ تیری طرف سے ب",,,,,,,"""نہیں یار، میں نے وعدہ کیا تھا کہ آج میں دوں گا۔ تم نے ہمیشہ میری مدد کی ہے، آج میری باری ہے۔""",,,,,,
85,دوست,دوست,آپ بل ادا کرنا چاہتے ہیں، لیکن آپ کا دوست آپ کی پیشکش کو رد کرتے ہوئے خود ادائیگی پر اصرار کرتا ہے۔,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔,,,,,,,میری پیشکش کو ٹھیک رہیں، میں ادائیگی کر سکتا ہوں۔,,,,,,,"""نہیں نہیں، مجھے یقین ہے کہ تم بھی میرے ساتھ",,,,,,,"""نہیں یار، میں واقعی چاہتا ہوں کہ میں بل دوں۔ تم نے ہمیشہ میری مدد کی ہے، آج میری باری ہے۔""",,,,,,,"""نہیں، بس یوں ہی کریں اور اپنی پوری رقم دیں۔ تمہاری مدد کر س",,,,,,
86,والد,بیٹا,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لیتے ہیں۔,بیٹا، آج کا بل میں ادا کروں گا۔,جی ابو، جیسا آپ مناسب سمجھیں۔,,,,,,,ابوالحسن، آپ کو ضرورت نہیں ہے، مجھے چارج کر دیں۔,,,,,,,بات کریں جس میں ادائیگی کا توجہ دینے کا نشانہ چھوڑ دیں گے,,,,,,,"""نہیں والد صاحب، آج میں ادا کروں گا۔ آپ نے ہمیشہ میری خاطر کیا ہے، آج میری باری ہے۔""",,,,,,,"""والد، یہ میری خوشی ہے کہ آپ نے اس بارے میں فیصلہ کر لیا ہ",,,,,,
87,والد,بیٹا,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ آپ کے اخراجات کا خیال رکھتے ہوئے ادائیگی کرنا چاہتے ہیں۔,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔,,,,,,,"""جی ہاں، بابا."" (Answer)
'''
Answer: جی ہاں، بابا.
Reasoning: بیٹا کو والد کی درخواست سن",,,,,,,ابوالحسن، نہیں پاپا، یہ میرا بل تھا، تم کو بھی کچھ خریدنی ہو,,,,,,,میری بہت زیادہ تھی، مینا صرف کچھ کھانا دے۔,,,,,,,"""نہیں ابو، میں خود ادا کر لوں گا۔ آپ ہمیشہ میرے لیے کرتے ہیں، آج مجھے کرنے دیں۔""",,,,,,
88,سینئر,جونیئر,ایک پیشہ ورانہ ملاقات کے بعد آپ اپنے سینئر کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لے لیتے ہیں۔,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔,,,,,,,میں نے ایک بار میٹنگ کیا تھا، لیکن میری ادائیگی کو بتانے ک,,,,,,,"""شکریہ، سر! آپ کی مہربانی ہے۔""",,,,,,,"""پیارے سر، مجھے یقین نہیں ہے کہ اس بارے میں کیا سوچنا",,,,,,,آپ کو بہت شکریہ، آپ کی مدد سے مجھے ایک بہت اچھا تجربہ ہ,,,,,,
89,کزن,کزن,آپ اپنے کزن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن دوستانہ انداز میں ادائیگی اپنے ذمے لینے کی پیشکش کرتا ہے۔,آج کھانا میری طرف سے، تم بس آرام کرو۔,بہت شکریہ، لیکن بل بانٹ لیتے ہیں، یہی بہتر رہے گا۔,,,,,,,"""نہیں یار، یہ تو میری طرف سے ہے۔ ہم نے ساتھ کھایا ہے، بل میں بھی برابر ہوں۔""",,,,,,,"""کیسے نہیں، یہ میرا فضل ہے."" 

[کزن] [بل ادا کریں]
''",,,,,,,"""نہیں بھائی، یہ تو تمہارا کھانا تھا، مجھے اور دوسرے بھائی",,,,,,,میں آپ کے ذمے لینے سے بہتر تھامناً شکریہ کرتا ہوں۔,,,,,,
90,کزن,کزن,آپ اور آپ کا کزن کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن خرچ برابر تقسیم کرنے کی تجویز دیتا ہے۔,یار، بل آدھا آدھا کر لیتے ہیں۔,ارے نہیں، آج مجھے موقع دو، اگلی بار تم حساب برابر کر دینا۔,,,,,,,"""ٹھیک ہے، آدھا آدھا کر لیتے ہیں۔""",,,,,,,بل آدھا آدھا کر لیں، میری طرف سے بھی آدھا آدھا کرتی ہوں,,,,,,,"""یہ ایک اچھا خیال ہے، تو کیا؟"" (Answer: ""جی ہاں"") [Answer: ""جی",,,,,,,"""کیوں؟ ابھی تو پورا بل ہمارے پاس ہے، آدھا آدھا کرنا بے جا",,,,,,
91,دادا,پوتا,آپ کے دادا بازار جانے کی تیاری کر رہے ہیں اور چاہتے ہیں کہ آپ ان کے ساتھ چلیں۔,میرے ساتھ بازار چلو گے؟,جی دادا جان ضرور چلوں گا۔,,,,,,,بلکہ دادا، میں بھی ایک بار بازار چلتا گا۔,,,,,,,"""جی، دادا! میں بھی آجاؤں، لیکن مجھے بتائیے کیا خریدنا ہے?""",,,,,,,جی دادا، میں آپ کے ساتھ چلوں گا! کیا ہم کچھ خاص خریدنے جا رہے ہیں؟,,,,,,,"""جی، دادا!"" میں آپ کے ساتھ جاؤں گا.

دادا: ""تمہارا شکریہ، بیٹا",,,,,,
92,دادی,پوتی,آپ کی دادی آپ کی طبیعت کے بارے میں فکر مند ہیں اور دوا وقت پر لینے کی نصیحت کر رہی ہیں۔,بیٹا، وقت پر دوا لینا مت بھولنا۔,جی دادی جان، میں خیال رکھوں گی، آپ بالکل فکر نہ کریں۔,,,,,,,دادی جی، مجھے تو یقین ہے کہ وہ میرے لیے ضروری نہیں �,,,,,,,بیٹا، صحت کو کسی بھی تفریح سے زائد ہونے کیلئے وقت نہ دے۔,,,,,,,"""جی دادی، میں یاد رکھوں گی۔ آپ فکر نہ کریں۔""",,,,,,,"""جی ہاں، دادی!"" (Answering)
""میں نے یقینی طور پر وقت پر دوا لی ہوگی."" (",,,,,,
93,والد,بیٹا,آپ کے والد اگلے دن کے ایک ضروری کام کے لیے آپ کو وقت کی پابندی کی تاکید کر رہے ہیں۔,کل صبح جلدی اٹھ جانا، ہمیں ایک کام سے ساتھ جانا ہے۔,جی ابو، ان شاء اللہ وقت پر اٹھ جاؤں گا۔,,,,,,,"""جی والا، میں جلدی اٹھ جاؤں گا، لیکن کیا وہ کام کیا ہے؟""",,,,,,,جی بابا، میں وقت پر اٹھوں گا اور تیار رہوں گا۔,,,,,,,بابا نے مجھے کل صبح کام سے ساتھ جانے کی پابندی دی ہے۔ میں جلدی ا,,,,,,,"""جی ہاں، میں اس پر عمل کروں گا.""

(نوٹ کریں کہ یہ صرف ایک ممکن�",,,,,,
94,والدہ,بیٹی,آپ کی والدہ گھر کے کاموں میں مصروف ہیں اور آپ سے ایک کام کرنے کو کہتی ہیں۔,بیٹا، ذرا یہ کام ابھی نمٹا لو۔,ٹھیک ہے امی، ابھی کر دیتی ہوں۔,,,,,,,میری والدین، میں کافی وقت کھول رہا ہوں، اس لئے میں کچھ کام کر,,,,,,,"""جی، ماما!"" (اسلام) [Answer in Urdu]",,,,,,,"""جی امی، میں ابھی کر دیتی ہوں۔""",,,,,,,"""ماں، مجھے بھی کام کرنا پڑے گا؟""",,,,,,
95,چچا,بھتیجا,آپ کے چچا کسی کام میں مصروف ہیں اور آپ سے ایک فائل لانے کو کہتے ہیں۔,بیٹا، ذرا وہ فائل میرے پاس لے آؤ۔,جی چچا جان، ابھی لے کر آتا ہوں۔,,,,,,,چھوٹے چھوٹے کئی دھکیلا ہوئے کاغذ تھے، مجھے ان سب کو,,,,,,,بھتیجا: چچا، میں آج کام میں تھا، لیکن ذرا صبح کے لیے میر,,,,,,,"""جی چچا، میں ابھی لاتا ہوں۔""",,,,,,,"""جی، چچا!"" (فائل لے کر) ""یہ ہے، چچا!"" 

[Output only the utterance.]
'''
b",,,,,,
