Language,Topic,User Role,Model Role,Power Distance,Register,Pragmatic Genre,Sensitivity,User Utterance,Context,Candidates
,,,,,,,,,,بہت شکریہ، آپ کا تحفہ مجھے بہت اچھا لگا۔
,,,,,,,,,,بہت شکریہ، یہ اچھا تحفہ ہے، مجھے پسند آیا۔
Urdu,Receiving Gifts,استاد,شاگرد,High,Formal,Humility,Neutral,یہ تمہاری محنت کا انعام ہے۔,ایک تعلیمی تقریب میں آپ کے استاد آپ کو اچھی کارکردگی پر انعام دیتے ہیں۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے سب سے بڑا اعزاز ہے۔
,,,,,,,,,,سر، بہت شکریہ، یہ میرے لیے بہت خوشی کی بات ہے۔
,,,,,,,,,,سر، بہت شکریہ، مجھے یہ انعام بہت اچھا لگا۔
Urdu,Receiving Gifts,قریبی دوست,قریبی دوست,Low,Informal,Modest thanks,Negative,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,دوست کسی سفر سے واپسی پر پ کو کوئی تحفہ دیتا ہے۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔
,,,,,,,,,,ارے یار، بہت شکریہ، مجھے یہ تحفہ بہت اچھا لگا۔
,,,,,,,,,,ارے یار، بہت شکریہ، تم نے میرے لیے تحفہ لایا، بہت اچھا لگا۔
Urdu,Receiving Gifts,بزرگ,نوجوان,High,Formal,Deferential acceptance,Positive,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,ایک بزرگ سفر سے واپسی پر آپ کے لیے ایک چھوٹا سا تحفہ لاتے ہیں۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔
,,,,,,,,,,آپ کی بہت مہربانی، مجھے بہت خوشی ہوئی۔
,,,,,,,,,,بہت شکریہ، مجھے یہ تحفہ بہت اچھا لگا۔
Urdu,Offering Help,قریبی دوست,قریبی دوست,Low,Informal,Friendly offer,Positive,یار، کچھ مدد چاہیے؟,آپ کا قریبی دوست آپ کو کسی کام میں مصروف دیکھ کر مدد کی پیشکش کرتا ہے۔,یار، تم نے پوچھ لیا یہی بہت ہے، ضرورت ہوئی تو ضرور کہوں گا۔
,,,,,,,,,,یار، شکریہ، ابھی ضرورت نہیں ہے۔
,,,,,,,,,,یار، شکریہ، میں خود کر لوں گا۔
Urdu,Offering Help,دوست,دوست,Low,Informal,Casual offer,Neutral,میں ہاتھ بٹا دوں؟,آپ کسی کام میں مصروف ہیں۔ آپ کا دوست آپ کو کام کرتے دیکھ کر مدد کی پیشکش کرتا ہے۔,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔
,,,,,,,,,,یار، شکریہ، لیکن میں خود کر لوں گا۔
,,,,,,,,,,نہیں یار، ابھی ضرورت نہیں، میں خود کر رہا ہوں۔
Urdu,Offering Help,پڑوسی,پڑوسی,Medium,Formal,Polite offer,Positive,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کسی گھریلو کام میں مصروف ہیں۔ آپ کے پڑوسی آپ کو مصروف دیکھ کر مدد کی پیشکش کرتے ہیں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔
,,,,,,,,,,آپ کی مہربانی، ابھی ضرورت نہیں ہے، کام چل رہا ہے۔
,,,,,,,,,,شکریہ، ابھی مجھے مدد کی ضرورت نہیں ہے، میں خود کر لوں گا۔
Urdu,Offering Help,پڑوسی,پڑوسی,Medium,Formal,Soft offer,Neutral,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کے پڑوسی کو معلوم ہوتا ہے کہ آپ گھر کے کچھ کاموں میں مصروف ہیں، اس لیے وہ مدد کی پیشکش کرتے ہیں۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔
,,,,,,,,,,شکریہ، فی الحال مجھے کسی مدد کی ضرورت نہیں ہے۔
,,,,,,,,,,بہت شکریہ، لیکن ابھی میں خود سب سنبھال لوں گا۔
Urdu,Offering Help,بھائی,بہن,Medium,Informal,Supportive offer,Positive,میں تمہارا کام کر دوں؟,آپ کسی کام میں مصروف ہیں۔ آپ کا بھائی آپ کو پریشان دیکھ کر مدد کی پیشکش کرتا ہے۔,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔
,,,,,,,,,,شکریہ، لیکن ابھی مجھے تمہاری مدد کی ضرورت نہیں ہے۔
,,,,,,,,,,نہیں، شکریہ، میں اپنا کام خود کر لوں گی۔
Urdu,Offering Help,بہن,بھائی,Medium,Informal,Concerned offer,Neutral,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,آپ کسی کام سے باہر جا رہے ہیں۔ آپ کی بہن فکر مندی کے تحت ساتھ چلنے کی پیشکش کرتی ہے۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔
,,,,,,,,,,نہیں، مجھے ضرورت نہیں، میں خود چلا جاؤں گا۔
,,,,,,,,,,نہیں، تم آنے کی ضرورت نہیں، میں خود سنبھال لوں گا۔
Urdu,Offering Help,استاد,طالب علم,Medium,Formal,Guiding offer,Positive,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,آپ کے استاد کلاس کے بعد آپ کو مزید تعلیمی رہنمائی کی پیشکش کرتے ہیں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔
,,,,,,,,,,سر، شکریہ، فی الحال مجھے رہنمائی کی ضرورت نہیں ہے۔
,,,,,,,,,,سر، ضرورت ہوئی تو آپ سے پوچھ لوں گا۔
Urdu,Offering Help,استاد,طالب علم,Medium,Formal,Professional offer,Neutral,کیا میں اس حصے کی مزید وضاحت کر دوں؟,کلاس کے دوران استاد محسوس کرتے ہیں کہ شاید طالب علم کو ایک تصور سمجھنے میں دشواری ہو رہی ہے، اس لیے وہ مزید وضاحت کی پیشکش کرتے ہیں۔,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔
,,,,,,,,,,سر، ابھی مجھے مزید وضاحت کی ضرورت نہیں ہے، میں خود دیکھ لوں گا۔
,,,,,,,,,,سر، شکریہ، میں پہلے خود کوشش کر لیتا ہوں۔
Urdu,Offering Help,قریبی دوست,قریبی دوست,Low,Informal,Eager offer,Positive,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,آپ کسی کام کی وجہ سے پریشان نظر آ رہے ہیں۔ آپ کا قریبی دوست فوراً مدد کی پیشکش کرتا ہے۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔
,,,,,,,,,,یار، ٹھیک ہے، تم یہ کام کر دو۔
,,,,,,,,,,ارے یار، تم یہ کام کر دو تو بہت اچھا ہوگا۔
Urdu,Offering Help,قریبی دوست,قریبی دوست,Low,Informal,Reassuring offer,Negative,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,آپ ایک مسئلے کی وجہ سے پریشان ہیں۔ آپ کا قریبی دوست آپ کو تسلی دینے کی کوشش کرتا ہے۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔
,,,,,,,,,,ہاں یار، امید ہے سب ٹھیک ہو جائے گا۔
,,,,,,,,,,ٹھیک ہے یار، شکریہ، دیکھتے ہیں کیا ہوتا ہے۔
Urdu,Offering Help,ماں,بیٹا,High,Informal,Caring offer,Positive,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,آپ گھر کے ایک کام میں مصروف ہیں۔ آپ کی والدہ آپ کو تھکا ہوا دیکھ کر مدد کی پیشکش کرتی ہیں۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔
,,,,,,,,,,امی، ابھی مجھے مدد کی ضرورت نہیں، میں خود کر لوں گا۔
,,,,,,,,,,امی، نہیں، آپ رہنے دیں، میں اپنا کام خود کر لوں گا۔
Urdu,Offering Help,والد,بیٹا,High,Formal,Directive offer,Neutral,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,آپ گھر کے ایک اہم کام میں مصروف ہیں۔ آپ کے والد آپ کو اکیلے کام کرتے دیکھ کر مدد کی پیشکش کرتے ہیں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔
,,,,,,,,,,ابا جان، ابھی مجھے مدد کی ضرورت نہیں ہے، میں خود کر لوں گا۔
,,,,,,,,,,ابا جان، ابھی ضرورت نہیں، میں یہ کام خود مکمل کر لوں گا۔
Urdu,Offering Help,سینئر,جونیئر,High,Formal,Authoritative offer,Negative,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,آپ دفتر میں ایک کام پر کام کر رہے ہیں اور کچھ دشواری محسوس کر رہے ہیں۔ آپ کے سینئر آپ کی صورتحال دیکھ کر مدد کی پیشکش کرتے ہیں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔
,,,,,,,,,,سر، ابھی میں خود کر لوں گا، ضرورت ہوئی تو آپ کو بتا دوں گا۔
,,,,,,,,,,سر، شکریہ، ابھی میں خود یہ حصہ سنبھال لیتا ہوں۔
Urdu,Offering Help,کزن,کزن,Low,Informal,Friendly support,Positive,میں تمہارے ساتھ ہوں، فکر مت کرو۔,آپ ایک ذاتی یا تعلیمی مسئلے کی وجہ سے پریشان ہیں۔ آپ کا کزن آپ کو تسلی دیتے ہوئے اپنی حمایت کا اظہار کرتا ہے۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔
,,,,,,,,,,ہاں یار، دیکھتے ہیں کیا ہوتا ہے۔
,,,,,,,,,,ہاں یار، شکریہ۔
Urdu,Offering Help,کزن,کزن,Low,Informal,Dismissive offer,Negative,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,آپ ایک کام کر رہے ہیں لیکن رفتار سست ہے۔ آپ کا کزن سمجھتا ہے کہ وہ یہ کام بہتر طریقے سے کر سکتا ہے، اس لیے مداخلت کرتے ہوئے مدد کی پیشکش کرتا ہے۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔
,,,,,,,,,,یار، ابھی رہنے دو، میں خود ہی کر لیتا ہوں۔
,,,,,,,,,,نہیں یار، مجھے تمہاری مدد کی ضرورت نہیں، میں خود کر لوں گا۔
Urdu,Offering Help,پھوپھی,بھتیجی,High,Formal,Respectful refusal,Neutral,لاؤ بیٹا، میں تمہاری کچھ مدد کر دیتی ہوں۔,عید کی تیاریوں میں مصروف آپ مختلف کام ایک ساتھ سنبھال رہی ہے۔ اس بوجھ  کو کم کرنے کے لیےآپ کی پھوپھو مدد کرنا چاہتی ہیں۔,پھوپھو جان، میں سارا کام سنبھال لوں گی، آپ بس آرام کریں۔
,,,,,,,,,,پھوپھو جان، ابھی مجھے مدد کی ضرورت نہیں ہے، میں خود کر لوں گی۔
,,,,,,,,,,پھوپھو، آپ رہنے دیں، میں یہ کام خود کر لوں گی۔
Urdu,Offering Help,ٹیم لیڈر,ٹیم ممبر,Medium,Formal,Polite decline,Neutral,گر تم چاہو تو میں تمہاری مدد کر دوں، اس سے تم پر بوجھ بھی نہیں پڑے گا۔,دفتر میں ٹیم لیڈر دیکھتے ہیں کہ آپ ایک اہم رپورٹ مقررہ وقت پر مکمل کرنے کی کوشش کر رہا ہے اور کام کے دباؤ میں ہے۔ آپ کی مدد کرنا چاہتے ہیں۔,سر، بہت شکریہ، مگر ابھی صرف تھوڑا سا کام باقی ہے، میں خود مکمل کر لوں گا
,,,,,,,,,,سر، ابھی مجھے مدد کی ضرورت نہیں ہے، میں خود مکمل کر لوں گا۔
,,,,,,,,,,سر، شکریہ، آپ رہنے دیں، میں یہ کام خود کر لوں گا۔
Urdu,Offering Help,کزن,کزن,Low,Informal,Grateful acknowledgment,Positive,آؤ، ہم دونوں مل کر یہ کام کر لیتے ہیں۔,شادی کی تقریب کی تیاریوں کے دوران آپ ایک ساتھ کئی ذمہ داریاں نبھا رہے ہیں۔ آپ کا کام آسان کرنے کے لیے آپ کا کزن آپ کی مدد کرنا چاہتا ہے۔,یار، بس کام مکمل ہو گیا، تمہارا بہت شکریہ۔
,,,,,,,,,,یار، شکریہ، کام ہو گیا، تم نے مدد کر دی۔
,,,,,,,,,,شکریہ یار، اب کام مکمل ہو گیا ہے۔
Urdu,Paying for a Meal,قریبی دوست,قریبی دوست,Low,Informal,Friendly insistence,Positive,یار، رہنے دو، آج بل میری طرف سے ہے۔,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست اصرار کرتا ہے کہ وہ ادائیگی کرے گا۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔
,,,,,,,,,,شکریہ، چلو تم دے دو۔
,,,,,,,,,,اگر چاہو تو دے سکتے ہو، لیکن مجھے بھی کوئی مسئلہ نہیں۔
Urdu,Paying for a Meal,قریبی دوست,قریبی دوست,Low,Informal,Playful insistence,Neutral,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,آپ اور آپ کا قریبی دوست ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست مزاحیہ انداز میں ادائیگی کی ذمہ داری اپنے اوپر لینے پر اصرار کرتا ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔
,,,,,,,,,,ہر بار کی طرح آج بھی تم دو گے، بل ہے نا؟
,,,,,,,,,,اس بار بھی تم بل دینا چاہتے ہو؟
Urdu,Paying for a Meal,پڑوسی,پڑوسی,Medium,Formal,Polite insistence,Positive,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں ادائیگی کی ذمہ داری لینا چاہتے ہیں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔
,,,,,,,,,,اس میں اجازت کی کیا بات ہے، آپ کر سکتے ہیں۔
,,,,,,,,,,تم کرو یا میں، اس میں کیا مسئلہ ہے؟ ایک ہی بات ہے۔
Urdu,Paying for a Meal,پڑوسی,پڑوسی,Medium,Formal,Soft offer,Neutral,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل کی ادائیگی کے بارے میں بات کر رہے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں بل ادا کرنے کی پیشکش کرتے ہیں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔
,,,,,,,,,,آج بل میں ادا کروں گا، آپ رہنے دیں۔
,,,,,,,,,,آج کا بل مجھے دینے دیں۔
Urdu,Paying for a Meal,بھائی,بہن,Medium,Informal,Supportive insistence,Positive,تم مت نکالو، آج بل میری طرف سے ہے۔,آپ اور آپ کے بھائی ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا بھائی محبت سے ادائیگی اپنے ذمے لینا چاہتا ہے۔,بھائی، ہر بار آپ ہی دیتے ہیں، اس بار مجھے دینے دیجیے۔
,,,,,,,,,,بھائی، میں آج کا بل دے دیتی ہوں۔
,,,,,,,,,,بھائی، تم رہنے دو، میں بل دے دوں گی۔
Urdu,Paying for a Meal,بڑی بہن,بھائی,Medium,Informal,Casual refusal,Neutral,میں بل دے دیتی ہوں۔,آپ اپنی بڑی بہن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ وہ محبت سے ادائیگی اپنے ذمے لینے کی پیشکش کرتی ہیں۔,باجی، آپ کی مہربانی، لیکن اس بار مجھے دینے دیجیے۔
,,,,,,,,,,باجی، میں آج کا بل دے دیتا ہوں۔
,,,,,,,,,,باجی، تم رہنے دو، میں خود بل دے دوں گا۔
Urdu,Paying for a Meal,استاد,طالب علم,Medium,Formal,Respectful offer,Positive,آج آپ میرے مہمان ہیں، بل کی فکر نہ کریں۔,ایک تعلیمی ملاقات کے بعد آپ اپنے استاد کے ساتھ چائے پینے گئے ہیں۔ بل آنے پر استاد ادائیگی اپنے ذمے لینے پر اصرار کرتے ہیں۔,سر، آپ کی عنایت ہے، لیکن آپ نے پہلے ہی بہت وقت دیا، مجھے بھی کچھ خدمت کا موقع دیجیے۔
,,,,,,,,,,سر، آج بل میں ہی ادا کر دیتا ہوں۔
,,,,,,,,,,سر، آپ رہنے دیں، آج بل میں دے دیتا ہوں۔
Urdu,Paying for a Meal,استاد,طالب علم,Medium,Formal,Professional insistence,Neutral,اس پر مزید بحث نہیں، آج بل میں ادا کروں گا۔,استاد دوستانہ لیکن پُرعزم انداز میں بل ادا کرنے پر اصرار کرتے ہیں۔,سر، یہ آپ کی مہربانی ہے، لیکن واقعی اس کی ضرورت نہیں۔
,,,,,,,,,,سر، آج بل میں ہی ادا کر دیتا ہوں۔
,,,,,,,,,,سر، آپ رہنے دیں، آج بل میں دے دیتا ہوں۔
Urdu,Paying for a Meal,دوست,دوست,Low,Informal,Assertive insistence,Negative,یار، بس آج بل میں دے رہا ہوں، بات ختم۔,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل کی ادائیگی پر بحث کر رہے ہیں۔ آپ کا دوست پُرزور انداز میں ادائیگی اپنے ذمے لینے پر اصرار کرتا ہے۔,اچھا یار، اس بار تمہاری مرضی، لیکن اگلی بار مجھے موقع دینا۔
,,,,,,,,,,ٹھیک ہے یار، تم ہی دے دو۔
,,,,,,,,,,اچھا، تم دے دو، مجھے کوئی مسئلہ نہیں۔
Urdu,Paying for a Meal,دوست,دوست,Low,Informal,Dismissive insistence,Negative,تمہیں بل دینے کی ضرورت نہیں، میں دے دوں گا۔,آپ بل ادا کرنا چاہتے ہیں، لیکن آپ کا دوست آپ کی پیشکش کو رد کرتے ہوئے خود ادائیگی پر اصرار کرتا ہے۔,شکریہ یار، لیکن اگلی بار مجھے موقع ضرور دینا۔
,,,,,,,,,,ٹھیک ہے، تم دے دو۔
,,,,,,,,,,ٹھیک ہے، تم دے دو، اگلی بار دیکھیں گے۔
Urdu,Paying for a Meal,والد,بیٹا,High,Formal,Parental authority,Positive,بیٹا، آج کا بل میں ادا کروں گا۔,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لیتے ہیں۔,جی ابو، جیسا آپ مناسب سمجھیں۔
,,,,,,,,,,ابو، ٹھیک ہے۔
,,,,,,,,,,ٹھیک ہے، آپ بل دے دیں، میں کچھ نہیں کہتا۔
Urdu,Paying for a Meal,والد,بیٹا,High,Formal,Directive offer,Neutral,بل مجھے دے دو، میں ادا کر دیتا ہوں۔,آپ اپنے والد کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ آپ کے اخراجات کا خیال رکھتے ہوئے ادائیگی کرنا چاہتے ہیں۔,ابو، آپ کا خیال اپنی جگہ، لیکن اس بار مجھے موقع دیجیے۔
,,,,,,,,,,آپ رہنے دیں، بل میں ادا کر دیتا ہوں۔
,,,,,,,,,,ابو، آج بل میں دوں گا، آپ بل مجھے دے دیں۔
Urdu,Paying for a Meal,سینئر,جونیئر,High,Formal,Authoritative control,Negative,نہیں، یہ بل کمپنی کی طرف سے سمجھیں، میں دیکھ لیتا ہوں۔,ایک پیشہ ورانہ ملاقات کے بعد آپ اپنے سینئر کے ساتھ کھانے پر ہیں۔ بل آنے پر وہ فیصلہ کن انداز میں ادائیگی اپنے ذمے لے لیتے ہیں۔,جی سر، بہت شکریہ، میں آپ کی بات کا احترام کرتا ہوں۔
,,,,,,,,,,سر، ٹھیک ہے، آپ ہی بل ادا کر دیں۔
,,,,,,,,,,اچھا سر، آپ ہی بل دے دیں۔
Urdu,Paying for a Meal,کزن,کزن,Low,Informal,Friendly sharing,Positive,آج کھانا میری طرف سے، تم بس آرام کرو۔,آپ اپنے کزن کے ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن دوستانہ انداز میں ادائیگی اپنے ذمے لینے کی پیشکش کرتا ہے۔,بہت شکریہ، لیکن بل بانٹ لیتے ہیں، یہی بہتر رہے گا۔
,,,,,,,,,,ٹھیک ہے، آج تم دے دو۔
,,,,,,,,,,اچھا یار، تم دے دو، میں رہنے دیتا ہوں۔
Urdu,Paying for a Meal,کزن,کزن,Low,Informal,Light insistence,Neutral,یار، بل آدھا آدھا کر لیتے ہیں۔,آپ اور آپ کا کزن کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا کزن خرچ برابر تقسیم کرنے کی تجویز دیتا ہے۔,ارے نہیں، آج مجھے موقع دو، اگلی بار تم حساب برابر کر دینا۔
,,,,,,,,,,یار، اس بار بل میں دوں گا، تم آدھا مت دینا۔
,,,,,,,,,,میں پورا دے دیتا ہوں، کوئی بات نہیں۔
Urdu,Paying for a Meal,ماموں,بھانجا,High,Formal,Respectful reciprocity,Positive,آج کے کھانے کا بل میں ہی ادا کروں گا۔,آپ اپنے ماموں کے ساتھ دوپہر کا کھانا کھا رہے ہیں۔ کھانا ختم ہونے کے بعد آپ کے ماموں چاہتے ہیں کہ بل وہی ادا کریں۔,ماموں جان، آپ کی محبت کا بے حد شکریہ، مگر آج کا کھانا میری طرف سے رہنے دیجیے۔
,,,,,,,,,,ماموں، شکریہ، لیکن آج بل میں ہی دے دیتا ہوں۔
,,,,,,,,,,ماموں جان، آج بل میں دوں گا، آپ ادا نہ کریں۔
Urdu,Paying for a Meal,سینئر ساتھی,جونیئر ساتھی,Medium,Formal,Reciprocal insistence,Positive,کامیابی کی خوشی میں آج کا کھانا میری طرف سے ہے۔,کامیاب منصوبہ مکمل ہونے پر آپ اپنے سینئر ساتھی کے ساتھ کھانا کھانے آئے ہیں۔ کھانے کے بعد آپ کے سینئر چاہتے ہیں کہ اس بار بل وہی ادا کریں۔,سر، آپ کی مہربانی اپنی جگہ، مگر آج مجھے یہ موقع دیجیے۔ آج کی کامیابی کی خوشی میں کھانے کا بل میں ہی ادا کروں گا۔
,,,,,,,,,,سر، آج بل میں دوں گا، آپ رہنے دیں۔
,,,,,,,,,,سر، بہت شکریہ، لیکن آج بل میں ادا کر دیتا ہوں۔
Urdu,Paying for a Meal,قریبی دوست,قریبی دوست,Low,Informal,Reciprocal offer,Positive,یار، آج کی کافی میری طرف سے ہے۔,آپ اپنے قریبی دوست کے ساتھ کافی پینے آئے ہیں۔ بل آنے پر آپ کا قریبی دوست اصرار کرتا ہے کہ آج کی ادائیگی وہ کرے گا۔,یار، اس بار میری طرف سے رہنے دو، پھر کبھی تم پلا دینا۔
,,,,,,,,,,یار، بل مجھے ہی دینا ہے، تم مت دو۔
,,,,,,,,,,چلو، آج تمہاری طرف سے کافی پی لیتے ہیں۔
Urdu,Respect for Elders,دادا,پوتا,High,Formal,Deferential response,Positive,میرے ساتھ بازار چلو گے؟,آپ کے دادا بازار جانے کی تیاری کر رہے ہیں اور چاہتے ہیں کہ آپ ان کے ساتھ چلیں۔,جی دادا جان ضرور چلوں گا۔
,,,,,,,,,,دادا جان، اچھا، میں چلتا ہوں۔
,,,,,,,,,,اچھا دادا ٹھیک ہے۔
Urdu,Respect for Elders,دادی,پوتی,High,Formal,Respectful compliance,Positive,بیٹا، وقت پر دوا لینا مت بھولنا۔,آپ کی دادی آپ کی طبیعت کے بارے میں فکر مند ہیں اور دوا وقت پر لینے کی نصیحت کر رہی ہیں۔,جی دادی جان، میں خیال رکھوں گی، آپ بالکل فکر نہ کریں۔
,,,,,,,,,,ٹھیک ہے دادی، میں دوا لے لوں گی۔
,,,,,,,,,,ہاں دادی، میں لے لوں گی دوا۔
Urdu,Respect for Elders,والد,بیٹا,High,Formal,Obedient acknowledgment,Neutral,کل صبح جلدی اٹھ جانا، ہمیں ایک کام سے ساتھ جانا ہے۔,آپ کے والد اگلے دن کے ایک ضروری کام کے لیے آپ کو وقت کی پابندی کی تاکید کر رہے ہیں۔,جی ابو، ان شاء اللہ وقت پر اٹھ جاؤں گا۔
,,,,,,,,,,اچھا ابو، میں صبح اٹھ جاؤں گا۔
,,,,,,,,,,ٹھیک ہے ابو۔
Urdu,Respect for Elders,والدہ,بیٹی,High,Informal,Affectionate respect,Positive,بیٹا، ذرا یہ کام ابھی نمٹا لو۔,آپ کی والدہ گھر کے کاموں میں مصروف ہیں اور آپ سے ایک کام کرنے کو کہتی ہیں۔,ٹھیک ہے امی، ابھی کر دیتی ہوں۔
,,,,,,,,,,اچھا، ابھی کر دیتی ہوں۔
,,,,,,,,,,امی، تھوڑی دیر تک کر دیتی ہوں۔
Urdu,Respect for Elders,چچا,بھتیجا,High,Formal,Deferential acceptance,Positive,بیٹا، ذرا وہ فائل میرے پاس لے آؤ۔,آپ کے چچا کسی کام میں مصروف ہیں اور آپ سے ایک فائل لانے کو کہتے ہیں۔,جی چچا جان، ابھی لے کر آتا ہوں۔
,,,,,,,,,,ابھی لاتا ہوں۔
,,,,,,,,,,ٹھیک ہے۔
Urdu,Respect for Elders,خالہ,بھانجی,High,Formal,Polite obedience,Neutral,بیٹا، ذرا وہ بیگ میرے کمرے سے لے آؤ۔,آپ کی خالہ کسی کام میں مصروف ہیں اور اپنے کمرے سے ایک بیگ منگواتی ہیں۔,جی خالہ جان، ابھی لے آتی ہوں۔
,,,,,,,,,,ایک منٹ لاتی ہوں۔
,,,,,,,,,,ٹھیک ہے۔
Urdu,Respect for Elders,ماموں,بھانجا,High,Formal,Respectful agreement,Positive,بیٹا، کل میرے ساتھ جانا، مجھے تمہاری ضرورت پڑے گی۔,آپ کے ماموں کسی کام کے لیے آپ کی مدد چاہتے ہیں اور آپ کو اپنے ساتھ چلنے کو کہتے ہیں۔,جی ماموں جان، آپ فرمائیں، میں ضرور ساتھ چلوں گا۔
,,,,,,,,,,ٹھیک ہے۔
,,,,,,,,,,ٹھیک ہے ماموں، کل ساتھ چلوں گا۔
Urdu,Respect for Elders,استاد,طالب علم,Medium,Formal,Academic respect,Positive,امتحان سے پہلے یہ باب دوبارہ پڑھ لینا۔,آپ کے استاد امتحان کی تیاری کے سلسلے میں آپ کو ایک اہم باب پر توجہ دینے کا مشورہ دیتے ہیں۔,جی سر، میں اس پر دوبارہ توجہ دوں گا۔
,,,,,,,,,,ٹھیک ہے، دوبارہ پڑھ لوں گا۔
,,,,,,,,,,ٹھیک ہے سر۔
Urdu,Respect for Elders,استاد,طالب علم,Medium,Formal,Corrective respect,Neutral,یہ طریقہ درست نہیں، اسے دوبارہ کرو۔,آپ کے استاد آپ کے حل یا کام میں ایک غلطی کی نشاندہی کرتے ہیں اور اسے درست کرنے کا کہتے ہیں۔,جی سر، میں اسے درست کر لیتا ہوں۔
,,,,,,,,,,سر، میرے خیال سے صحیح ہے۔
,,,,,,,,,,ٹھیک ہے سر، میں دیکھتا ہوں۔
