ID,User_Role,Model_Role,Power_Distance,Context,User_Utterance,Gold_Response,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_A,A_Relational_Alignment,A_Indirectness,A_Facesaving,A_Cultural_Appropriateness,A_Directness_Threat,A_Hierarchy_Violation,Response_B,B_Relational_Alignment,B_Indirectness,B_Facesaving,B_Cultural_Appropriateness,B_Directness_Threat,B_Hierarchy_Violation,Response_C,C_Relational_Alignment,C_Indirectness,C_Facesaving,C_Cultural_Appropriateness,C_Directness_Threat,C_Hierarchy_Violation
40,سسر,داماد,High,آپ کے سسرملاقات کے اختتام پر آپ کو کچھ رقم دینا چاہتے ہیں۔,یہ کچھ رقم رکھ لیجیے، بعد میں کام آئے گی,ابا جان، فی الحال ضرورت نہیں، آپ کا خیال ہی میرے لیے کافی ہے۔,1,1,1,1,0,0,بہت شکریہ! آئے گی، تھوڑی دیر تک اٹھا لوں گا۔,1,1,1,1,0,0,بہتر، آپ رہیں، رکھ لوٹھی۔,1,1,1,1,0,0,"ارے یار، تم آ گئے، ابھی آؤ، دل جلا دیتا ہوں۔
بہت شکری",2,2,2,2,0,0
41,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے اختتام پر آپ کو ایک تحفہ دینا چاہتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کی نیک نیتی ہی میرے لیے کافی ہے، اتنا تکلف نہ کرتے۔,2,2,2,2,0,0,بہت شکریہ۔,2,2,2,2,0,0,شکریہ! آپ کی بہت مہربانی۔,2,2,2,1,0,0,سر، اس سب کی ضرورت نہیں، بس آپ کی بہت مہربانی۔ آپ کی رہنمائی ہی م,2,2,2,2,0,0
42,بزرگ,نوجوان,High,آپ کے سفر پررخصت ہوتے وقت ایک بزرگ آپ کو کچھ رقم دینا چاہتے ہیں۔,یہ کچھ رقم رکھ لو، سفر میں کام آئے گی۔,آپ کی دعا ہی میرے لیے  کافی ہے بہت شکریہ اسکی ضرورت نہیں۔,2,2,2,2,0,0,بہت شکریہ! تمہاری بہت مہربانی۔ آئندہ کوشش کروں گا کہ ان رقم ک,2,2,2,2,0,0,سر، آپ کی بہت مہربانی، مگر معذرت چاہتی ہوں۔ مجھ سے زیادہ,2,2,2,1,0,0,بہت شکریہ۔ آپ کی رہنمائی میرے لیے بہت اہم ہے۔,3,3,3,3,0,0
43,نند,بھابھی,Medium,آپ کی نند آپ کو خاندانی ملاقات کے دوران ایک شال تحفے میں دینا چاہتی ہیں۔,بھابھی، یہ شال آپ کے لیے لائی ہوں۔,تم نے میرے لیے سوچا، یہی میرے لیے خوشی کی بات ہے، اتنا تکلف نہ کرتی۔,2,2,2,2,0,0,جی بھابی، تمہاری بہت مہربانی۔ آج کل میں ضرور پہن لوں گی۔,2,2,2,2,0,0,بھابھی، اس سب کی ضرورت نہیں، بس آپ کی نند ہی میرے لیے کافی ہ�,2,2,2,2,0,1,شکریہ บھائی! یار، آپ کی ضرورت نہیں، ان شاء اللہ میں یہ ب,2,2,2,2,0,1
44,استاد,شاگرد,High,آپ کے استاد آپ کی کارکردگی سے خوش ہو کر آپ کو انعام دینا چاہتے ہیں۔,یہ خصوصی انعام تمہارے لیے ہے۔,سر، آپ کی حوصلہ افزائی ہی میرے لیے بڑی بات ہے۔,2,2,2,1,0,0,جی، اس کی بہت مبارک ہو۔ میرے لیے بہت اہم ہے۔,2,2,2,1,0,0,سر، میں واقعی شکر گزار ہوں۔ آپ کی رہنمائی سے میرے اندر یہ جذب�,3,3,3,3,0,0,بہت شکریہ!,2,2,2,2,0,0
45,بزرگ خاتون,نوجوان,High,آپ کو ایک بزرگ خاتون اپنے ہاتھ سے بنا ہوا سویٹردینا چاہتی ہیں۔,یہ سویٹر تمہارے لیے بنایا تھا، رکھ لو۔,دادی جان، آپ نے اپنے ہاتھ سے بنایا، یہی میرے لیے سب سے بڑا تحفہ ہے، اتنی زحمت نہ کرتیں۔,2,2,2,1,0,0,بہت شکریہ یار، آپ کی بہت مہربانی۔ میں ضرور رکھ لوں گا، اس ک,2,2,2,1,0,0,جی دادی، رکھ لوں گی۔,2,2,2,2,0,0,جی دادی، اس کی فکر نہ کریں، آپ کی مہربانی۔,1,1,1,1,0,0
46,خالہ,بھانجی,Medium,آپ اپنی خالہ سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو ایک تحفہ دیتی ہیں۔,یہ تمہارے لیے ایک چھوٹا سا تحفہ ہے۔,خالہ جان، آپ نے بہت محبت سے دیا ہے، آپ کا خلوص ہی میرے لیے کافی ہے بہت شکریہ۔,3,3,3,3,0,0,خالہ جان، یہی یہی کافی تھا۔ آپ کی اس چھوٹی سی چیز نے میرا دن مبارک,3,3,3,3,0,0,شکریہ یار، یہی بھی میرے لیے کافی تھا۔,2,2,2,2,0,0,خالہ جان، اس کی ضرورت نہیں، آپ رہیں۔,1,1,1,0,0,0
47,قریبی دوست,قریبی دوست,Low,آپ کا قریبی دوست ملاقات کے دوران آپ کو ایک تحفہ دیتا ہے۔,یار، یہ تحفہ تمہارے لیے خاص طور پر لیا تھا۔,ارے یار، اس کی کیا ضرورت تھی؟ پھر بھی تم نے یاد رکھا، اچھا لگا۔,2,2,2,2,0,0,بہت شکریہ یار، تمہاری رہنمائی میرے لیے بہت اہم ہے,2,2,2,2,0,0,شکریہ یار! یہ سب کی ضرورت نہیں، بلکہ بہتر ہے نہیں دی,1,1,1,1,0,0,ارے یار، یہ تحفہ تمہارے لیے خاص طور پر لیا تھا۔ چلو، لے لو�,3,3,3,3,0,0
48,ساس,بہو,High,آپ کی ساس گھر میں ملاقات کے دوران آپ کو کپڑوں کا ایک جوڑا تحفے میں دیتی ہیں۔,یہ کپڑے تمہارے لیے لائی ہوں۔,امی جان، آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,2,2,2,2,0,0,شکریہ یار! آپ کی بہت مہربانی۔,2,2,2,2,0,0,آپی، یہ کپڑے تمہاری لیے آئے ہیں۔ ان شاء اللہ، جلدی,2,2,2,2,0,1,ساسی، آپ کی رہنمائی میرے لیے بہت اہم ہے۔,3,3,3,3,0,1
49,ماموں,بھانجا,High,آپ کے ماموں ملاقات کے دوران آپ کو ایک تحفہ دیتے ہیں۔,یہ تمہارے لیے تحفہ ہے۔,ماموں جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,3,3,3,3,0,1,بہت شکریہ! یار، تمہاری بھائی۔,3,3,3,3,0,1,سر، تمہاری رہنمائی۔,2,2,2,2,0,0,ماموں، اس کی بہت مبارک ہو! آپ کی یہی فکر ہمیشہ میرے لیے ک,1,1,1,1,0,0
50,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ایک خوشی کے موقع پر آپ کے گھر آئے ہیں۔ رخصت ہونے سے پہلے وہ آپ کو ایک تحفہ دیتے ہیں۔,یہ چھوٹا سا تحفہ ہماری طرف سے قبول کیجیے۔,آپ کا آنا ہی کافی تھا، لیکن پھر بھی بہت شکریہ۔,2,2,2,2,0,0,شکریہ! آپ کی مہربانی۔ یار، آپ کی تھانی بہت میرے لیے معنی,2,2,2,2,0,0,بہت شکریہ! یہ تحفہ ان شاء اللہ ضرور استعمال کریں گے۔ آپ کی مہرب,2,2,2,2,0,0,بہت شکریہ۔,3,3,3,3,0,0
51,استاد,طالب علم,Medium,آپ کے استاد آپ کی تعلیمی کارکردگی سے خوش ہو کر آپ کو ایک کتاب تحفے میں دیتے ہیں۔,یہ کتاب رکھ لو۔,سر، یہ میرے لیے اعزاز ہے، بہت شکریہ۔,1,1,1,1,0,0,سر، اس سب کی ضرورت نہیں، بس آپ کی رہنمائی کافی ہے۔,1,1,1,1,0,0,بہت شکریہ ساری ہی۔,3,3,3,3,0,0,سر، اساتذہ صاحب، آپ کی بہت مہربانی۔ میں ضرور یہ کتاب رکھ لوں گا�,2,1,2,2,0,0
52,کزن,کزن,Low,آپ اپنے کزن سے ملاقات کر رہی ہیں۔ گفتگو کے دوران وہ آپ کو ایک تحفہ پیش کرتی ہے۔,یہ تحفہ خاص تمہارے لیے لائی ہوں، رکھ لو۔,بہت شکریہ! تم نے اتنی محبت سے دیا ہے تو رکھ لیتی ہوں، ورنہ اس تکلف کی بالکل ضرورت نہیں تھی۔,3,3,3,3,0,0,ارے یار، یہی وہی تحفہ تھا جس کا میں انتظار کر رہا تھا۔,3,3,3,3,0,0,بہت شکریہ! یار، یہی یہی چیز جی کرنی چاہتی تھی۔,2,2,2,2,0,0,ارے یار، تمہاری رہنمائی، میرے لیے یہی کافی ہے۔,3,3,3,3,0,0
53,چچا,بھتیجا,High,آپ اپنے چچا سے ملاقات کر رہے ہیں۔ گفتگو کے اختتام پر وہ آپ کو محبت میں کوئی چیز یا تحفہ پیش کرتے ہیں۔,بیٹا، یہ میری طرف سے ایک چھوٹا سا تحفہ ہے، رکھ لو۔,چچا جان، آپ نے میرے لیے اتنا سوچا، یہ میرے لیے بہت معنی رکھتا ہے۔,3,3,3,3,0,1,چچا جان، اس سب کی بہت مہربانی، مگر مجھ سے زیادہ ضرورت نہیں۔ آپ کی,3,3,3,3,0,1,چچا جان، تمہاری بہت مبارک ہو۔ مجھ سے چلو، یہ بس ایک بہت,2,2,2,2,0,1,چچا جان، تمہاری رہنمائی میرے لیے سب سے بہتر ہے، اس کے لی,2,2,2,2,0,0
54,دوست,دوست,Low,آپ کا دوست ملاقات کے دوران آپ کو ایک تحفہ دیتا ہے۔,یہ تمہارے لیے خاص تحفہ ہے۔,یار، تم نے یاد رکھا، یہ میرے لیے واقعی خاص بات ہے۔,2,2,2,2,0,0,بہت شکریہ! آپی، تمہاری رہنمائی میں میرے لیے یہ سب ممکن ہو,2,2,2,2,0,0,جی، میرے لیے بہت مبارک ہے۔,2,2,2,2,0,0,ارے یار، یہ تمہاری لیے خاص ہے۔ چلو، اگلی بار میں دیتا ہ,3,3,3,3,0,0
55,خالہ,بھانجا,High,آپ کی خالہ ملاقات کے دوران آپ کو ایک تحفہ دیتی ہیں۔,یہ تمہارے لیے لائی ہوں۔,خالہ جان، آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔ اس شفقت کے لیے بہت شکریہ۔,1,1,1,0,0,0,شکریہ ڈیجی، ان شاء اللہ یہ سب کا پہلا ہو جانے واقعی ہے۔,1,1,1,0,0,0,آپی، یہ تمہاری لیے لو، یہی تھی میری خالہ کی میریجی۔ یہی و,2,2,2,2,0,1,جی، خالہ جان، یہ تمہاری رہی۔,3,2,3,3,0,1
56,سسر,داماد,High,آپ کے سسر ملاقات کے دوران آپ کو ایک تحفہ پیش کرتے ہیں۔,یہ تحفہ قبول کریں۔,ابا جان، اس کی کیا ضرورت تھی، لیکن آپ نے اتنا خیال رکھا، میں شکر گزار ہوں۔,2,2,2,2,0,0,جی، اس کا بہت شکریہ۔,2,2,2,2,0,0,بہت شکریہ۔,2,2,2,2,0,0,سر، اس کی بہت مہربانی، میں سارا سامان اپنے گھر لے جاؤں گا۔,3,3,3,3,0,0
57,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی ملاقات کے دوران آپ کو ایک چھوٹا سا تحفہ پیش کرتے ہیں۔,یہ ہماری طرف سے تحفہ ہے۔,آپ نے اتنا خیال رکھا، یہ میرے لیے بہت خوشی کی بات ہے۔,2,2,2,2,0,0,ارے یار، یہی وہی تحفہ تھا جس کا تمیں انتظار تھا۔ اس سے,2,2,2,2,0,0,بہت شکریہ۔ آئندہ انتظار کرتی ہوں۔,2,2,2,2,0,0,جی، تمہاری بہت مبارک ہو۔ مجھ سے بھی مبارک ہو۔,2,3,3,2,0,0
58,استاد,شاگرد,High,ایک تعلیمی تقریب میں آپ کے استاد آپ کو اچھی کارکردگی پر انعام دیتے ہیں۔,یہ تمہاری محنت کا انعام ہے۔,سر، آپ نے مجھے اس قابل سمجھا، یہی میرے لیے سب سے بڑا اعزاز ہے۔,2,2,2,2,0,0,سر، اس کی وجہ صرف میری محنت نہیں بلکہ آپ کی رہنمائی بھی ہے۔ آپ,2,2,2,2,0,0,بہت شکریہ۔,3,3,3,3,0,0,آپ کی بہت مبارک ہو۔ میرے لیے بھی اس کام کا سعادت ہے۔,3,3,3,3,0,0
59,قریبی دوست,قریبی دوست,Low,دوست کسی سفر سے واپسی پر پ کو کوئی تحفہ دیتا ہے۔,یار، یہ ایک چھوٹی سی چیز تمہارے لیے لایا ہوں، رکھ لو۔,ارے یار! تم خود ملنے آ گئے میرے لیے یہی بہت تھا، اس تکلف کی کیا ضرورت تھی۔,3,3,3,3,0,0,بہت شکریہ یار، آپ کی رہنمائی میرے لیے بہت اہم ہے۔,3,3,3,3,0,0,دست میں یہی پ تھا، ابھی آ گئی۔ ارے یار، اس کا شکریہ! تمہ,1,1,1,1,0,0,شکریہ یار، یہی میرے لیے بہت معنی دانی ہے۔,2,2,2,2,0,0
60,بزرگ,نوجوان,High,ایک بزرگ سفر سے واپسی پر آپ کے لیے ایک چھوٹا سا تحفہ لاتے ہیں۔,بیٹا، یہ تمہارے لیے لایا ہوں، رکھ لو۔,آپ نے میرے لیے اتنا خیال رکھا، یہ میرے لیے بہت معنی رکھتا ہے۔,2,3,3,2,0,1,سر، اس سب کی ضرورت نہیں، بس آپ کی بہت مہربانی۔ آپ زحمت نہ کریں، می,2,3,3,2,0,1,"شکریہ爸爸，我明白了，我会收好的。""(Translation: Thank you, I will keep it.)""",3,3,3,3,0,0,بھائی، اسے رکھ لوں گا۔,2,2,2,2,0,0
61,قریبی دوست,قریبی دوست,Low,آپ کا قریبی دوست آپ کو کسی کام میں مصروف دیکھ کر مدد کی پیشکش کرتا ہے۔,یار، کچھ مدد چاہیے؟,یار، تم نے پوچھ لیا یہی بہت ہے، ضرورت ہوئی تو ضرور کہوں گا۔,3,3,3,3,0,0,جی یار، تمہاری مدد کرنے کا بہت شکریہ۔ ابھی میں یہی کام ک,3,3,3,3,0,0,بہت شکریہ یار، آپ کی بہت مہربانی۔ اگر ممکن ہو تو میں ضرورت پڑی,3,3,3,3,0,0,جی یار، آپ کی مدد میرے لیے بہت اہم ہے۔ آج مجھے واقعی زحمت,2,2,2,2,0,0
62,دوست,دوست,Low,آپ کسی کام میں مصروف ہیں۔ آپ کا دوست آپ کو کام کرتے دیکھ کر مدد کی پیشکش کرتا ہے۔,میں ہاتھ بٹا دوں؟,شکریہ یار، تم نے پوچھ لیا یہی کافی ہے، ابھی کام تقریباً ہو گیا ہے۔,2,2,2,2,0,0,بہت مبارک ہو! میری مدد کی جائیں گا، اگر آپ کی بہت کام ہے,2,2,2,2,0,0,جی، تم مدد لے لو۔,2,2,2,2,0,0,ارے یار، تم زحمت نہ کر، میں سارا کام سنبھال لوں گا۔ چلو، شروع کر دو۔,1,1,1,1,0,0
63,پڑوسی,پڑوسی,Medium,آپ کسی گھریلو کام میں مصروف ہیں۔ آپ کے پڑوسی آپ کو مصروف دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر آپ چاہیں تو میں مدد کر دوں۔,آپ کی مہربانی، ابھی تو کام چل رہا ہے، لیکن آپ نے خیال کیا یہی بہت ہے۔,3,3,3,3,0,0,ارے یار، تمہاری بہت مہربانی، مگر ابھی میں یہ کام خود مکمل کر لوں گ,3,3,3,3,0,0,بہت شکریہ! تمہاری بہت مبارک حیاتی مدد ہے۔,3,3,3,3,0,0,پڑوسی صاحب، آپ کی بہت مہربانی، مگر میں سارا کام مکمل کر لوں گا، آپ بس آرام کری�,3,3,3,3,0,0
64,پڑوسی,پڑوسی,Medium,آپ کے پڑوسی کو معلوم ہوتا ہے کہ آپ گھر کے کچھ کاموں میں مصروف ہیں، اس لیے وہ مدد کی پیشکش کرتے ہیں۔,اگر کسی چیز کی ضرورت ہو تو بے تکلف بتا دیجیے گا۔,آپ کی مہربانی، فی الحال تو سب ٹھیک ہے، لیکن ضرورت پڑی تو ضرور بتاؤں گا۔,2,2,2,2,0,0,بہت شکریہ یار، تمہاری بہت مہربانی۔ اگر ضرورت پڑی تو ضرور تمہاری,2,2,2,2,0,0,پڑوسی جان، تم زحمت نہ کری۔ میں یہ کام خود مکمل کر لوں گا۔,1,1,1,1,0,0,پڑوسی جان، تمہاری مدد سب کرنے کی ہی چاہت ہو۔,2,2,2,2,0,0
65,بھائی,بہن,Medium,آپ کسی کام میں مصروف ہیں۔ آپ کا بھائی آپ کو پریشان دیکھ کر مدد کی پیشکش کرتا ہے۔,میں تمہارا کام کر دوں؟,ارے نہیں، تم زحمت نہیں کرو لیکن تم نے پوچھا، یہی بہت ہے۔,2,2,2,2,0,1,بھائی، آپ زحمت نہ کریں۔ میں یہ کام خود مکمل کر لوں گا۔,2,2,2,2,0,1,بھائی، اب تک میں سب کر دیتا تھا، ابھی یہی کام چاہتा,3,3,3,3,0,0,بھائی، تمہاری بہت مہربانی، مگر میں سارا کام خود مکمل کر لوں گا۔ اگر ضرورت,1,1,1,0,0,0
66,بہن,بھائی,Medium,آپ کسی کام سے باہر جا رہے ہیں۔ آپ کی بہن فکر مندی کے تحت ساتھ چلنے کی پیشکش کرتی ہے۔,اگر چاہو تو میں تمہارے ساتھ چل سکتی ہوں۔,نہیں، فکر نہ کرو، میں سنبھال لوں گا، پھر بھی تم نے پوچھا اچھا لگا۔,2,2,2,2,0,0,بہن جان، آپ زحمت نہ کریں۔ میں آگئی ہوں۔ آپ بس چلو، می�,2,2,2,2,0,0,بہو، تمہاری فکر کرنے کا بہت شکریہ۔ مجھے یہ موقع دیجیے، آ,2,2,2,2,0,0,بہن، اب تک میرے لیے ہی ہیں، آپ نہیں جا لوں گی۔,3,3,3,3,0,1
67,استاد,طالب علم,Medium,آپ کے استاد کلاس کے بعد آپ کو مزید تعلیمی رہنمائی کی پیشکش کرتے ہیں۔,اگر کوئی مسئلہ ہو تو میں رہنمائی کر سکتا ہوں۔,سر، یہ میرے لیے بہت حوصلہ افزا بات ہے، آپ کی رہنمائی سے یقیناً فائدہ ہوگا۔,2,2,2,2,0,0,آبے، تمہاری بہت مہربانی، مگر ابھی میں خود مہربان ہوں۔,2,2,2,2,0,0,بہت شک، اگر آپ چاہتے ہیں تو آج رات ایک گروپ اسٹڈی کے لی,2,2,2,2,0,0,استاد صاحب، آپ کی رہنمائی سے بہت مبارک ہو۔ اگر ممکن ہو تو میں آپ سے,3,3,3,2,0,0
68,استاد,طالب علم,Medium,کلاس کے دوران استاد محسوس کرتے ہیں کہ شاید طالب علم کو ایک تصور سمجھنے میں دشواری ہو رہی ہے، اس لیے وہ مزید وضاحت کی پیشکش کرتے ہیں۔,کیا میں اس حصے کی مزید وضاحت کر دوں؟,سر، آپ کی مہربانی، میں ایک بار خود بھی دیکھ لیتا ہوں، پھر ضرورت ہوئی تو آپ سے پوچھ لوں گا۔,2,2,2,2,0,0,جی، آپ کی بہت مہربانی، میں اس کام کے لیے بہت نیاز ہوں۔,2,2,2,2,0,0,جی، ان شروعات میں اگر تم پہلے سے نہیں سن چکے تو اب سن لو۔,2,2,2,2,0,0,جی، اگر آپ چاہیں تو میں یہی حصہ دوبارہ سنادیتا ہوں تاکہ,1,1,1,1,0,0
69,قریبی دوست,قریبی دوست,Low,آپ کسی کام کی وجہ سے پریشان نظر آ رہے ہیں۔ آپ کا قریبی دوست فوراً مدد کی پیشکش کرتا ہے۔,یار، فکر نہ کرو، میں یہ کام کر دیتا ہوں۔,ارے یار، تم نے فکر کی یہی بہت ہے، لیکن اگر تم ساتھ دے دو تو کام جلد ہو جائے گا۔,2,2,2,2,0,0,شکریہ یار! تمہاری بہت مہربانی۔,2,2,2,2,0,0,بہت شکریہ یار، آپ کی بہت مہربانی۔ چلو، آپ زحمت نہ کریں، می�,2,2,2,2,0,0,بھائی، تم زحمت نہ کریں۔ میں سنبھال لوں گا۔,2,2,2,2,0,0
70,قریبی دوست,قریبی دوست,Low,آپ ایک مسئلے کی وجہ سے پریشان ہیں۔ آپ کا قریبی دوست آپ کو تسلی دینے کی کوشش کرتا ہے۔,یار، اتنی فکر نہ کرو، سب ٹھیک ہو جائے گا۔,امید ہے ایسا ہی ہوگا، تم نے حوصلہ دیا اس کے لیے شکریہ۔,2,2,2,2,0,0,شکریہ یار، تمہاری بہت مہربانی۔ چلو، دیکھتے ہیں، اگر ی,2,2,2,2,0,0,جی یار، تمہاری بہت مہربانی، میں بس آرام کر لوں گا۔,2,2,2,2,0,0,بھائی، تم سونے دے، میں سنبھال لوں گا۔,2,2,2,2,0,0
71,ماں,بیٹا,High,آپ گھر کے ایک کام میں مصروف ہیں۔ آپ کی والدہ آپ کو تھکا ہوا دیکھ کر مدد کی پیشکش کرتی ہیں۔,چھوڑو، میں کر دیتی ہوں، تم کافی تھک گئے ہو۔,امی، آپ زحمت نہ کریں، میں کر لوں گا، بس تھوڑا سا کام باقی ہے۔,2,2,2,2,0,0,جی امی، آپ زحمت نہ کریں۔ میں یہ مکھن لگا لوں گی اور پھر آپ مک,2,2,2,2,0,0,جانی، بس کر لو، تمہاری بہت مہربانی، میں سنبھال لوں گی۔,3,3,3,3,0,1,امّ جان، معذرت چاہتی ہوں، آپ زحمت نہ کریں۔ میں یہ کام خود مک,1,2,2,1,0,0
72,والد,بیٹا,High,آپ گھر کے ایک اہم کام میں مصروف ہیں۔ آپ کے والد آپ کو اکیلے کام کرتے دیکھ کر مدد کی پیشکش کرتے ہیں۔,یہ کام اکیلے مت کرو، میں بھی تمہاری مدد کر دیتا ہوں۔,ابا جان، آپ کی مہربانی، میں تقریباً مکمل کر چکا ہوں، پھر بھی ضرورت ہوئی تو ضرور بتاؤں گا۔,3,3,3,3,0,0,باپ، آپ کی بہت مہربانی، مگر یہی مجھ سے ممکن نہیں۔ آپ زحمت ن,3,3,3,3,0,0,والد جان، اگر شاید کسی معاملے میں ضرورت ہو تو مدد کرتا ہوں، مگ,2,2,2,2,0,0,سر، آپ زحمت نہ کریں۔ میں یہ کام مکمل کر لوں گا، اگر ضرورت پڑی تو ضرور,3,3,3,3,0,0
73,سینئر,جونیئر,High,آپ دفتر میں ایک کام پر کام کر رہے ہیں اور کچھ دشواری محسوس کر رہے ہیں۔ آپ کے سینئر آپ کی صورتحال دیکھ کر مدد کی پیشکش کرتے ہیں۔,اگر مشکل ہو رہی ہے تو یہ حصہ میں سنبھال لیتا ہوں۔,سر، آپ کی مہربانی، میں ایک بار خود کوشش کر لیتا ہوں، ضرورت پڑی تو ضرور آپ سے رہنمائی لوں گا۔,3,3,3,3,0,0,سر، اگر تم حتمی ہو، تو میں سنبھال لوں گا۔,3,3,3,3,0,0,سر، آپ کی بہت مہربانی، مگر میں یہ کام خود مکمل کر لوں گا۔ اگر ضرورت پڑ,3,3,3,3,0,0,سر، تمہاری بہت مہربانی، مگر اب تک میرے پہلے کام کامل نہیں ہو,3,3,3,3,0,0
74,کزن,کزن,Low,آپ ایک ذاتی یا تعلیمی مسئلے کی وجہ سے پریشان ہیں۔ آپ کا کزن آپ کو تسلی دیتے ہوئے اپنی حمایت کا اظہار کرتا ہے۔,میں تمہارے ساتھ ہوں، فکر مت کرو۔,یار، تمہارا ساتھ ہونا ہی حوصلہ دیتا ہے۔,2,2,2,2,0,0,دادی، فکر نہ کریں۔ میں سب کام اچھی طرح سنبھال لوں گا۔ آپ بس آرام کریں،,2,2,2,2,0,0,جی، میری بہت شکریہ، تمہاری رہنمائی میرے لیے بہت اہم ہے۔,3,3,3,3,0,1,بہت شک، میں تمہاری۔ چلو، یہ سب گزشتہ ہو گیا، اب آگے می,2,2,2,2,0,0
75,کزن,کزن,Low,آپ ایک کام کر رہے ہیں لیکن رفتار سست ہے۔ آپ کا کزن سمجھتا ہے کہ وہ یہ کام بہتر طریقے سے کر سکتا ہے، اس لیے مداخلت کرتے ہوئے مدد کی پیشکش کرتا ہے۔,یار، تم رہنے دو، میں سنبھال لیتا ہوں۔,نہیں یار، مجھے ایک بار اور کوشش کرنے دو، ضرورت ہوئی تو تمہاری مدد لے لوں گا۔,2,2,2,2,0,0,سر، تمہاری بہت مہربانی، مگر میں یہ کام خود مکمل کر لوں گا۔ اگر ضرورت پ,2,2,2,2,0,0,بہت شکریہ یار! تمہاری مدد ہی میرے لیے کافی ہے۔,3,3,3,3,0,0,جی یار، تم رہو، میں سنبھال لوں گا۔,3,3,3,3,0,0
76,قریبی دوست,قریبی دوست,Low,آپ اور آپ کا قریبی دوست کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست اصرار کرتا ہے کہ وہ ادائیگی کرے گا۔,یار، رہنے دو، آج بل میری طرف سے ہے۔,یارتمہاری مہربانی اس دفعہ مجھے دینے دو اگلی بار تم دے دینا۔,2,2,2,2,0,0,بھائی، تم ادا کر لو، آج مجھے تھوڑی رہی۔,2,2,2,2,0,0,شکریہ یار! تمہاری بہت مہربانی، مگر میں ادائیگی کروں گا۔,2,2,2,2,0,0,ارے یار، تم اڑ جاؤ، میں ادا کر لوں گا۔ چلو، ابھی آگے تم ا�,0,0,0,0,0,0
77,قریبی دوست,قریبی دوست,Low,آپ اور آپ کا قریبی دوست ایک ریسٹورنٹ میں کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کا دوست مزاحیہ انداز میں ادائیگی کی ذمہ داری اپنے اوپر لینے پر اصرار کرتا ہے۔,یار، آج تم جیب میں ہاتھ نہیں ڈالنا، بل میری طرف سے ہے۔,یار، ایسا نہیں ہو سکتا ہر بار تم ہی بچ جاتے ہو، آج مجھے بل دینے دو۔,3,3,3,1,0,0,ارے یار، تم زحمت نہ کریں، آج مجھے بل دیجیے۔,3,3,3,1,0,0,جی یار، تمہاری بہت مہربانی، مگر فکر نہ کریں، یہی چلوں,2,2,2,2,0,0,ارے یار، تم ارو، مجھ سے زیادہ شکر گزار کون ہو گا؟ چلو، اڑھائی ک,1,1,1,1,0,0
78,پڑوسی,پڑوسی,Medium,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل ادا کرنے لگتے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں ادائیگی کی ذمہ داری لینا چاہتے ہیں۔,اجازت دیجیے، آج کا بل میں ادا کر دیتا ہوں۔,بہت مہربانی، لیکن اس بار مجھے یہ موقع دیجیے۔,1,1,1,1,0,0,پڑوسی جان، تمہاری بہت مہربانی، میں بس اب تک انتظار کرتا تھا۔,1,1,1,1,0,0,بہت شکریہ! آپ کی بہت مہربانی۔ چلو، آپ اگلی بار ادا کریں، میں اس,3,3,3,3,0,0,بہت مبارک ہو۔ چلو، ادا کر لو۔,2,2,2,1,0,0
79,پڑوسی,پڑوسی,Medium,آپ اور آپ کے پڑوسی ایک ساتھ کھانا کھانے کے بعد بل کی ادائیگی کے بارے میں بات کر رہے ہیں۔ آپ کے پڑوسی مؤدبانہ انداز میں بل ادا کرنے کی پیشکش کرتے ہیں۔,اگر آپ مناسب سمجھیں تو میں بل ادا کر دوں۔,آپ کی نوازش ہے، لیکن اس بار مجھے یہ خوشی حاصل کرنے دیجیے۔,3,3,3,3,0,0,بہت شکریہ، آپ کی مہربانی اپنی جگہ۔,3,3,3,3,0,0,بہت شکریہ! آپ کی بہت مہربانی، میں سارا بل اپنے ذمہ دارانہ طور,3,3,3,3,0,0,بہت شکریہ! تمہاری بہت مہربانی، مگر میں یہ بھی کامیابی,2,2,2,1,0,0
